StatusUrn,Meaning
urn:cite:hmt:edstatus.0,"Initial editing submitted to archive"
urn:cite:hmt:edstatus.1beta,"Passed MOM 2013"
urn:cite:hmt:edstatus.2,"Passed MOM version 0.4.0"
urn:cite:hmt:edstatus.3,"Passed MOM version 0.5.0"
urn:cite:hmt:edstatus.4,"Passed MOM version 1.0 series"
