CtsUrn,Comments,VisualEvidence,FolioUrn
"urn:cts:greekLit:tlg5026.msA.hmt:1.1","1st main scholion of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.09125620,0.11955275,0.70064910,0.06909404","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.2","2nd main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.16265750,0.17631881,0.62733868,0.02494266","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.3","3rd main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.16265750,0.18721330,0.62733868,0.02752294","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.4","4th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.57426499,0.19896789,0.20962199,0.02350917","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.5","5th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.56510118,0.20871560,0.22451317,0.05160550","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.6","6th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.57311951,0.24827982,0.22451317,0.04644495","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.7","7th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.56204658,0.29386468,0.23864070,0.10693807","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.8","8th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.56166476,0.39650229,0.25200458,0.10149083","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.9","9th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.56166476,0.49541284,0.21114929,0.02637615","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.10","10th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.57082856,0.50802752,0.22336770,0.06192661","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.11","11th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.14967545,0.55647936,0.65903016,0.23365826","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.12","12th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.14242077,0.78354358,0.65559374,0.04271789","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.13","13th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.13936617,0.81622706,0.65024819,0.04959862","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.14","14th main scholia of Iliad 1 with ???","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.14509355,0.84690367,0.63879343,0.05189220","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.15","15th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.14471172,0.88044725,0.63917526,0.02838303","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.16","16th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012RN_0013.v1@0.14852997,0.88962156,0.63535701,0.02838303","urn:cite:hmt:msA.12r"
"urn:cts:greekLit:tlg5026.msA.hmt:1.33","17th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012VN_0514.v1@0.20817981,0.10816044,0.62011791,0.03430152","urn:cite:hmt:msA.12v"
"urn:cts:greekLit:tlg5026.msA.hmt:1.34","18th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012VN_0514.v1@0.20817981,0.12226833,0.62011791,0.04177040","urn:cite:hmt:msA.12v"
"urn:cts:greekLit:tlg5026.msA.hmt:1.35","19th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012VN_0514.v1@0.20817981,0.14273859,0.62011791,0.03015214","urn:cite:hmt:msA.12v"
"urn:cts:greekLit:tlg5026.msA.hmt:1.36","20th main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012VN_0514.v1@0.20817981,0.15242047,0.62011791,0.03181189","urn:cite:hmt:msA.12v"
"urn:cts:greekLit:tlg5026.msA.hmt:1.37","21st main scholia of Iliad 1","urn:cite:hmt:vaimg.VA012VN_0514.v1@0.19196758,0.16293223,0.65549005,0.15684647","urn:cite:hmt:msA.12v"
