Text,Comment,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:14.C1,"First intermarginal scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.52984525,0.35573997,0.11422255,0.02157676",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAim.hmt:14.C2,"Second intermarginal scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.56079587,0.54218534,0.08179808,0.02047026",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAim.hmt:14.C3,"Third intermarginal scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.56300663,0.60912863,0.10316875,0.01659751",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAim.hmt:14.C4,"First intermarginal scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.43183493,0.22780083,0.07295505,0.05435685",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAim.hmt:14.C5,"Second intermarginal scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.45283714,0.47842324,0.05637436,0.02987552",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAim.hmt:14.C6,"Third intermarginal scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.45781135,0.52074689,0.04863670,0.04107884",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAim.hmt:14.C7,"Fourth intermarginal scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.45062638,0.60995851,0.04476787,0.03734440",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAim.hmt:14.C8,"Fifth intermarginal scholion of 184v","urn:cite:hmt:vaimg.VA184VN_0686@0.45283714,0.68340249,0.05250553,0.03112033",urn:cite:hmt:msA.184v
urn:cts:greekLit:tlg5026.msAim.hmt:14.C9,"1st intermarginal scholion of 185r","urn:cite:hmt:vaimg.VA185RN_0356@0.555,0.4399,0.044,0.0203",urn:cite:hmt:msA.185r
urn:cts:greekLit:tlg5026.msAim.hmt:14.H1,Intermarginal,"urn:cite:hmt:vaimg.VA185VN_0687@0.43717760,0.34993084,0.07166544,0.04896266",urn:cite:hmt:msA.185v
