CtsUrn,Comments,VisualEvidence,FolioUrn
"urn:cts:greekLit:tlg5026.msA.hmt:5.1000","","urn:cite:hmt:vaimg.VA062RN_0063@0.61643331,0.24674965,0.21039057,0.13001383","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1001","","urn:cite:hmt:vaimg.VA062RN_0063@0.60243183,0.37399723,0.21960206,0.31452282","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1002","","urn:cite:hmt:vaimg.VA062RN_0063@0.16396463,0.69183956,0.64848931,0.04647303","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1003","","urn:cite:hmt:vaimg.VA062RN_0063@0.16433309,0.72005533,0.64885777,0.05919779","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1004","","urn:cite:hmt:vaimg.VA062RN_0063@0.15180545,0.77427386,0.66470155,0.06058091","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1005","","urn:cite:hmt:vaimg.VA062RN_0063@0.17096536,0.81853389,0.66654385,0.04508990","urn:cite:hmt:msA.62r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1006","","urn:cite:hmt:vaimg.VA062VN_0564@0.19528371,0.12337483,0.65806927,0.08105118","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1007","","urn:cite:hmt:vaimg.VA062VN_0564@0.20596905,0.18755187,0.64775239,0.03125864","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1008","","urn:cite:hmt:vaimg.VA062VN_0564@0.19159912,0.21798064,0.20854827,0.09515906","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1009","","urn:cite:hmt:vaimg.VA062VN_0564@0.18791452,0.31092669,0.22844510,0.21964039","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1010","","urn:cite:hmt:vaimg.VA062VN_0564@0.19491525,0.52724758,0.22365512,0.04840941","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1011","","urn:cite:hmt:vaimg.VA062VN_0564@0.18349300,0.57372061,0.24465733,0.11701245","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1012","","urn:cite:hmt:vaimg.VA062VN_0564@0.19380987,0.68547718,0.68091378,0.07441217","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1013","","urn:cite:hmt:vaimg.VA062VN_0564@0.21075903,0.73471646,0.66249079,0.05255878","urn:cite:hmt:msA.62v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1014","","urn:cite:hmt:vaimg.VA063RN_0064@0.18275608,0.10318119,0.64038320,0.07413555","urn:cite:hmt:msA.63r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1015","","urn:cite:hmt:vaimg.VA063RN_0064@0.18754606,0.16154910,0.63596168,0.03291840","urn:cite:hmt:msA.63r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1016","","urn:cite:hmt:vaimg.VA063RN_0064@0.67207074,0.30926694,0.13411938,0.06445367","urn:cite:hmt:msA.63r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1017","","urn:cite:hmt:vaimg.VA063RN_0064@0.16212233,0.71673582,0.64848931,0.03540802","urn:cite:hmt:msA.63r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1018","","urn:cite:hmt:vaimg.VA063RN_0064@0.16654385,0.73499308,0.63448784,0.05089903","urn:cite:hmt:msA.63r"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1019","","urn:cite:hmt:vaimg.VA063VN_0565@0.19528371,0.11728907,0.65585851,0.02876902","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1020","","urn:cite:hmt:vaimg.VA063VN_0565@0.19159912,0.14605809,0.67649226,0.17814661","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1021","","urn:cite:hmt:vaimg.VA063VN_0565@0.18975682,0.31452282,0.24170965,0.05145228","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1022","","urn:cite:hmt:vaimg.VA063VN_0565@0.17870302,0.35878285,0.23249816,0.05366528","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1023","","urn:cite:hmt:vaimg.VA063VN_0565@0.18201916,0.40331950,0.24834193,0.11922545","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1024","","urn:cite:hmt:vaimg.VA063VN_0565@0.19196758,0.53941909,0.24134119,0.05477178","urn:cite:hmt:msA.63v"
"urn:cts:greekLit:tlg5026.msA.hmt:5.1025","","urn:cite:hmt:vaimg.VA063VN_0565@0.20191599,0.58091286,0.24134119,0.06168741","urn:cite:hmt:msA.63v"
