CtsUrn,Comments,VisualEvidence,FolioUrn
"urn:cts:greekLit:tlg5026.msA.hmt:6.1","Main Scholion 1","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.16857038,0.10788382,0.69859985,0.05103734","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.2","Main Scholion 2","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.16028003,0.15145228,0.69970523,0.02240664","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.3","Main Scholion 3","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.17133382,0.16721992,0.60574797,0.02116183","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.4","Main Scholion 4","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.15862196,0.17842324,0.70246868,0.08298755","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.5","Main Scholion 5","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.15641120,0.25518672,0.23323508,0.14813278","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.6","Main Scholion 6","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.15198968,0.39834025,0.23544584,0.08174274","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.7","Main Scholion 7","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.15696389,0.46639004,0.23047163,0.04979253","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.8","Main Scholion 8","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.16525424,0.50995851,0.21610169,0.05020747","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.9","Main Scholion 9","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.19786293,0.69958506,0.67317612,0.04439834","urn:cite:hmt:msA.80v"
"urn:cts:greekLit:tlg5026.msA.hmt:6.10","Main Scholion 10","urn:cite:hmt:vaimg.VA080VN_0583.v1@0.34598379,0.72074689,0.49797347,0.02323651","urn:cite:hmt:msA.80v"
