Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:19.2015office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.127,0.5522,0.083,0.0218",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAext.hmt:19.hc_1,"urn:cite:hmt:vaimg.VA259RN-0430@0.831,0.3764,0.037,0.021",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAext.hmt:19.hc_2,"urn:cite:hmt:vaimg.VA259RN-0430@0.822,0.6657,0.075,0.0225",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAext.hmt:19.hc_3,"urn:cite:hmt:vaimg.VA259VN-0761@0.173,0.2186,0.046,0.0195",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAext.hmt:19.hc_4,"urn:cite:hmt:vaimg.VA259VN-0761@0.175,0.2344,0.039,0.0225",urn:cite:hmt:msA.259v
