Text,Comments,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:15.1,Comments,"urn:cite:hmt:vaimg.VA191RN-0362@0.811,0.3561,0.036,0.0218",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAext.hmt:15.2,Comments,"urn:cite:hmt:vaimg.VA191VN-0693@0.147,0.5222,0.048,0.0233",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAext.hmt:15.2a,Comments,"urn:cite:hmt:vaimg.VA191VN-0693@0.134,0.6213,0.035,0.0233",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAext.hmt:15.3,Comments,"urn:cite:hmt:vaimg.VA191VN-0693@0.15,0.6784,0.051,0.0203",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAext.hmt:15.4,Comments,"urn:cite:hmt:vaimg.VA192RN-0363@0.816,0.2246,0.053,0.0248",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.5,Comments,"urn:cite:hmt:vaimg.VA192RN-0363@0.819,0.3381,0.061,0.0233",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.6,Comments,"urn:cite:hmt:vaimg.VA192RN-0363@0.804,0.5071,0.07,0.024",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.7,Comments,"urn:cite:hmt:vaimg.VA192RN-0363@0.811,0.5898,0.079,0.0338",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.8,Comments,"urn:cite:hmt:vaimg.VA192VN-0694@0.16,0.3569,0.036,0.0188",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAext.hmt:15.9,Comments,"urn:cite:hmt:vaimg.VA194RN-0365@0.816,0.3584,0.055,0.024",urn:cite:hmt:msA.194r
urn:cts:greekLit:tlg5026.msAext.hmt:15.10,Comments,"urn:cite:hmt:vaimg.VA195RN-0366@0.809,0.2968,0.058,0.0225",urn:cite:hmt:msA.195r
urn:cts:greekLit:tlg5026.msAext.hmt:15.11,Comments,"urn:cite:hmt:vaimg.VA195RN-0366@0.804,0.6807,0.067,0.024",urn:cite:hmt:msA.195r
urn:cts:greekLit:tlg5026.msAext.hmt:15.12,Comments,"urn:cite:hmt:vaimg.VA196VN-0698@0.142,0.6026,0.036,0.0225",urn:cite:hmt:msA.196v
urn:cts:greekLit:tlg5026.msAext.hmt:15.13,Comments,"urn:cite:hmt:vaimg.VA197RN-0368@0.836,0.3148,0.041,0.0255",urn:cite:hmt:msA.197r
