CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msA.hmt:4.4,Main Scholion 1,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.57277082,0.29917012,0.17391304,0.09280775",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.8,Main Scholion 2,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.56945468,0.37496542,0.18957259,0.25186722",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.785,Main Scholion 3,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.57148121,0.60733057,0.18570376,0.06721992",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.5,Main Scholion 4,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.14222550,0.67385892,0.62122329,0.04149378",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.9,Main Scholion 5,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.14167281,0.69834025,0.62232867,0.06680498",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.786,Main Scholion 6,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.14277819,0.74896266,0.60740604,0.03734440",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.787,Main Scholion 7,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.14388357,0.77261411,0.60740604,0.02572614",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.10,Main Scholion 8,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.13817244,0.78755187,0.61459101,0.11701245",urn:cite:hmt:msA.51r
urn:cts:greekLit:tlg5026.msA.hmt:4.27,Main Scholion 1,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.22439204,0.31300138,0.20504790,0.17385892",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.32,Main Scholion 2,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.22660280,0.47275242,0.19731024,0.04439834",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.37,Main Scholion 3,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.21720707,0.51217151,0.20394252,0.04356846",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.39,Main Scholion 4,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.23157701,0.55366528,0.19841562,0.12282158",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.44,Main Scholion 5,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.21997052,0.67067773,0.25755343,0.07136929",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.47,Main Scholion 6,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.23157701,0.70539419,0.68201916,0.10124481",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.57,Main Scholion 7,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.34837878,0.77759336,0.48489315,0.02932227",urn:cite:hmt:msA.51v
urn:cts:greekLit:tlg5026.msA.hmt:4.62,Main Scholion 1,"urn:cite:hmt:vaimg.VA052RN_0053.v1@0.14848931,0.10553250,0.61072218,0.03443983",urn:cite:hmt:msA.52r
urn:cts:greekLit:tlg5026.msA.hmt:4.70,Main Scholion 2,"urn:cite:hmt:vaimg.VA052RN_0053.v1@0.14572587,0.13748271,0.60961680,0.05643154",urn:cite:hmt:msA.52r
