urn:cite:hmt:bmpap114.114_1,"Bankes Papyrus (British Museum Papyrus 114), columns 1-2","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License""
urn:cite:hmt:bmpap114.114_2,"Bankes Papyrus (British Museum Papyrus 114), columns 3-4","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_3,"Bankes Papyrus (British Museum Papyrus 114), columns 5-6","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_4,"Bankes Papyrus (British Museum Papyrus 114), columns 7-8","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_5,"Bankes Papyrus (British Museum Papyrus 114), columns 9-10","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_6,"Bankes Papyrus (British Museum Papyrus 114), columns 11-12","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_7,"Bankes Papyrus (British Museum Papyrus 114), columns 13-14","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.114_8,"Bankes Papyrus (British Museum Papyrus 114), columns 15-16","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:bmpap114.Pap114_pano,"Bankes Papyrus (British Museum Papyrus 114), panorama of the entire extant roll","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
