"urn:cite:hmt:e4img.E4017r-535","Manuscript Escorialensis Ω 1.12, folio 17 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4017v-229","Manuscript Escorialensis Ω 1.12, folio 17 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4018r-534","Manuscript Escorialensis Ω 1.12, folio 18 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4018v-228","Manuscript Escorialensis Ω 1.12, folio 18 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4019r-533","Manuscript Escorialensis Ω 1.12, folio 19 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4019v-227","Manuscript Escorialensis Ω 1.12, folio 19 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4020r-532","Manuscript Escorialensis Ω 1.12, folio 20 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4020v-226","Manuscript Escorialensis Ω 1.12, folio 20 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4021r-531","Manuscript Escorialensis Ω 1.12, folio 21 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4021v-225","Manuscript Escorialensis Ω 1.12, folio 21 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4022r-530","Manuscript Escorialensis Ω 1.12, folio 22 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4022v-224","Manuscript Escorialensis Ω 1.12, folio 22 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4023r-529","Manuscript Escorialensis Ω 1.12, folio 23 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
