urn:cite:hmt:e3bifolio.E3-122v-123r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 122v and 123r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-123v-124r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 123v and 124r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-124v-125r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 124v and 125r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-125v-126r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 125v and 126r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-126v-127r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 126v and 127r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-127v-128r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 127v and 128r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-128v-129r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 128v and 129r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-12v-13r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 12v and 13r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-130v-131r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 130v and 131r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-131v-132r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 131v and 132r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-132v-133r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 132v and 133r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-133v-134r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 133v and 134r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3-134v-135r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 134v and 135r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
