"urn:cite:hmt:scholia.26","urn:cts:greekLit:tlg5026.msA.hmt:8.45","Main scholion 26","urn:cite:hmt:chsimg.VA101VN-0604@0.1846,0.4638,0.2237,0.0772","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.27","urn:cts:greekLit:tlg5026.msA.hmt:8.46","Main scholion 27","urn:cite:hmt:chsimg.VA101VN-0604@0.1897,0.5293,0.2331,0.0663","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.28","urn:cts:greekLit:tlg5026.msA.hmt:8.47","Main scholion 28","urn:cite:hmt:chsimg.VA101VN-0604@0.1906,0.5784,0.2386,0.074","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.29","urn:cts:greekLit:tlg5026.msA.hmt:8.48","Main scholion 29","urn:cite:hmt:chsimg.VA101VN-0604@0.1889,0.6451,0.2334,0.0644","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.30","urn:cts:greekLit:tlg5026.msA.hmt:8.49","Main scholion 30","urn:cite:hmt:chsimg.VA101VN-0604@0.1869,0.6968,0.2537,0.0729","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.31","urn:cts:greekLit:tlg5026.msA.hmt:8.50","Main scholion 31","urn:cite:hmt:chsimg.VA101VN-0604@0.1909,0.7438,0.6123,0.0554","urn:cite:hmt:msA.101v"
"urn:cite:hmt:scholia.32","urn:cts:greekLit:tlg5026.msA.hmt:8.63","Main scholion 32","urn:cite:hmt:chsimg.VA102RN-0103@0.1663,0.1208,0.6189,0.044","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.33","urn:cts:greekLit:tlg5026.msA.hmt:8.64","Main scholion 33","urn:cite:hmt:chsimg.VA102RN-0103@0.17,0.1448,0.5577,0.0298","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.34","urn:cts:greekLit:tlg5026.msA.hmt:8.65","Main scholion 34","urn:cite:hmt:chsimg.VA102RN-0103@0.1677,0.1581,0.6317,0.0504","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.35","urn:cts:greekLit:tlg5026.msA.hmt:8.5000","Main Scholion 35","urn:cite:hmt:chsimg.VA102RN-0103@0.5591,0.1798,0.2083,0.0242","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.36","urn:cts:greekLit:tlg5026.msA.hmt:8.66","Main scholion 35","urn:cite:hmt:chsimg.VA102RN-0103@0.1663,0.1914,0.636,0.0637","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.37","urn:cts:greekLit:tlg5026.msA.hmt:8.67","Main scholion 36","urn:cite:hmt:chsimg.VA102RN-0103@0.602,0.2465,0.2183,0.1461","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.38","urn:cts:greekLit:tlg5026.msA.hmt:8.68","Main scholion 37","urn:cite:hmt:chsimg.VA102RN-0103@0.6249,0.572,0.2026,0.0603","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.39","urn:cts:greekLit:tlg5026.msA.hmt:8.69","Main scholion 38","urn:cite:hmt:chsimg.VA102RN-0103@0.6146,0.6213,0.2354,0.0545","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.40","urn:cts:greekLit:tlg5026.msA.hmt:8.70","Main scholion 39","urn:cite:hmt:chsimg.VA102RN-0103@0.1714,0.661,0.6763,0.1311","urn:cite:hmt:msA.102r"
"urn:cite:hmt:scholia.41","urn:cts:greekLit:tlg5026.msA.hmt:8.78","Main scholion 40","urn:cite:hmt:chsimg.VA102VN-0605@0.1723,0.1311,0.2397,0.1821","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.42","urn:cts:greekLit:tlg5026.msA.hmt:8.79","Main scholion 41","urn:cite:hmt:chsimg.VA102VN-0605@0.4203,0.1236,0.4329,0.0702","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.43","urn:cts:greekLit:tlg5026.msA.hmt:8.80","Main scholion 42","urn:cite:hmt:chsimg.VA102VN-0605@0.4317,0.1828,0.4271,0.0433","urn:cite:hmt:msA.102v"
