ClassId,Meaning
urn:cite:hmt:tokentypes.lexical.v1,"A 'word', or single instance of a lexeme."
urn:cite:hmt:tokentypes.numeric.v1,"A token written using numeric notation in the Milesian system."
urn:cite:hmt:tokentypes.waw.v1,"A quoted 'word as word', a token representing a literally quoted string of text."
urn:cite:hmt:tokentypes.sic.v1,"A token evaluated by HMT editors as an error in the writing of the text."
