ClassId,Meaning
urn:cite:hmt:disambig.lexical.v1,"Automated disambiguation of lexical token"
urn:cite:hmt:disambig.numeric.v1,"Automated disambiguation of numeric token"
urn:cite:hmt:disambig.literal.v1,"Literal value not further disambiguated"
