Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:2.44,"urn:cite:hmt:vaimg.VA025RN-0026@0.161,0.3561,0.412,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:2.45,"urn:cite:hmt:vaimg.VA025RN-0026@0.16,0.3764,0.395,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:2.46,"urn:cite:hmt:vaimg.VA025RN-0026@0.167,0.3967,0.385,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:2.47,"urn:cite:hmt:vaimg.VA025RN-0026@0.163,0.4162,0.41,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.48,"urn:cite:hmt:vaimg.VA025RN-0026@0.154,0.4313,0.42,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:2.49,"urn:cite:hmt:vaimg.VA025RN-0026@0.156,0.4493,0.398,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:2.50,"urn:cite:hmt:vaimg.VA025RN-0026@0.159,0.4733,0.387,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:2.51,"urn:cite:hmt:vaimg.VA025RN-0026@0.157,0.4899,0.414,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:2.52,"urn:cite:hmt:vaimg.VA025RN-0026@0.163,0.5109,0.393,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:2.53,"urn:cite:hmt:vaimg.VA025RN-0026@0.161,0.5312,0.379,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:2.54,"urn:cite:hmt:vaimg.VA025RN-0026@0.157,0.5477,0.402,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:2.55,"urn:cite:hmt:vaimg.VA025RN-0026@0.153,0.5665,0.411,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:2.56,"urn:cite:hmt:vaimg.VA025RN-0026@0.157,0.5845,0.424,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:2.57,"urn:cite:hmt:vaimg.VA025RN-0026@0.157,0.5845,0.424,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:2.58,"urn:cite:hmt:vaimg.VA025RN-0026@0.157,0.6221,0.4,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:2.59,"urn:cite:hmt:vaimg.VA025RN-0026@0.151,0.6424,0.425,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:2.60,"urn:cite:hmt:vaimg.VA025RN-0026@0.145,0.6612,0.412,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:2.61,"urn:cite:hmt:vaimg.VA025VN-0527@0.4575,0.2117,0.3974,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:2.62,"urn:cite:hmt:vaimg.VA025VN-0527@0.4565,0.2357,0.3864,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.63,"urn:cite:hmt:vaimg.VA025VN-0527@0.4585,0.256,0.3864,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.64,"urn:cite:hmt:vaimg.VA025VN-0527@0.4915,0.2763,0.3564,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.65,"urn:cite:hmt:vaimg.VA025VN-0527@0.4865,0.2935,0.3564,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.66,"urn:cite:hmt:vaimg.VA025VN-0527@0.4865,0.3131,0.3604,0.021"
