TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.59,"urn:cite:hmt:vaimg.VA101VN-0604@0.4595,0.5853,0.4014,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.60,"urn:cite:hmt:vaimg.VA101VN-0604@0.4364,0.6041,0.4134,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.61,"urn:cite:hmt:vaimg.VA101VN-0604@0.4605,0.6191,0.4314,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.62,"urn:cite:hmt:vaimg.VA101VN-0604@0.4404,0.6416,0.4214,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.63,"urn:cite:hmt:vaimg.VA101VN-0604@0.4565,0.6612,0.3934,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.64,"urn:cite:hmt:vaimg.VA101VN-0604@0.4585,0.6777,0.4174,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.65,"urn:cite:hmt:vaimg.VA101VN-0604@0.4454,0.6972,0.4404,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.66,
urn:cts:greekLit:tlg0012.tlg001.msA:8.67,
urn:cts:greekLit:tlg0012.tlg001.msA:8.68,
urn:cts:greekLit:tlg0012.tlg001.msA:8.69,
urn:cts:greekLit:tlg0012.tlg001.msA:8.70,
urn:cts:greekLit:tlg0012.tlg001.msA:8.71,
urn:cts:greekLit:tlg0012.tlg001.msA:8.72,
urn:cts:greekLit:tlg0012.tlg001.msA:8.73,
urn:cts:greekLit:tlg0012.tlg001.msA:8.74,
urn:cts:greekLit:tlg0012.tlg001.msA:8.75,
urn:cts:greekLit:tlg0012.tlg001.msA:8.76,
urn:cts:greekLit:tlg0012.tlg001.msA:8.77,
urn:cts:greekLit:tlg0012.tlg001.msA:8.78,
urn:cts:greekLit:tlg0012.tlg001.msA:8.79,
urn:cts:greekLit:tlg0012.tlg001.msA:8.80,
urn:cts:greekLit:tlg0012.tlg001.msA:8.81,
urn:cts:greekLit:tlg0012.tlg001.msA:8.82,
urn:cts:greekLit:tlg0012.tlg001.msA:8.83,
urn:cts:greekLit:tlg0012.tlg001.msA:8.84,
urn:cts:greekLit:tlg0012.tlg001.msA:8.85,
urn:cts:greekLit:tlg0012.tlg001.msA:8.86,
urn:cts:greekLit:tlg0012.tlg001.msA:8.87,
urn:cts:greekLit:tlg0012.tlg001.msA:8.88,
urn:cts:greekLit:tlg0012.tlg001.msA:8.89,
urn:cts:greekLit:tlg0012.tlg001.msA:8.90,
urn:cts:greekLit:tlg0012.tlg001.msA:8.91,"urn:cite:hmt:vaimg.VA102VN-0605@0.4505,0.2337,0.3944,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.92,"urn:cite:hmt:vaimg.VA102VN-0605@0.4505,0.2547,0.4014,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.93,"urn:cite:hmt:vaimg.VA102VN-0605@0.4484,0.2727,0.3854,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.94,"urn:cite:hmt:vaimg.VA102VN-0605@0.4545,0.2893,0.4294,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:8.95,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.314,0.4054,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.96,"urn:cite:hmt:vaimg.VA102VN-0605@0.4535,0.3336,0.4204,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.97,"urn:cite:hmt:vaimg.VA102VN-0605@0.4414,0.3539,0.4334,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.98,"urn:cite:hmt:vaimg.VA102VN-0605@0.4565,0.3734,0.3834,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.99,"urn:cite:hmt:vaimg.VA102VN-0605@0.4384,0.3907,0.4454,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.100,"urn:cite:hmt:vaimg.VA102VN-0605@0.4555,0.4102,0.3984,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.101,"urn:cite:hmt:vaimg.VA102VN-0605@0.4545,0.426,0.4184,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.102,"urn:cite:hmt:vaimg.VA102VN-0605@0.4535,0.444,0.4164,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:8.103,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.4681,0.4204,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.104,"urn:cite:hmt:vaimg.VA102VN-0605@0.4595,0.4853,0.4354,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.105,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.5019,0.4084,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.106,"urn:cite:hmt:vaimg.VA102VN-0605@0.4434,0.5192,0.3984,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.107,"urn:cite:hmt:vaimg.VA102VN-0605@0.4474,0.5357,0.4565,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:8.108,"urn:cite:hmt:vaimg.VA102VN-0605@0.4404,0.5605,0.4434,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.109,"urn:cite:hmt:vaimg.VA102VN-0605@0.4434,0.5793,0.4404,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.110,"urn:cite:hmt:vaimg.VA102VN-0605@0.4625,0.5943,0.4254,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.111,"urn:cite:hmt:vaimg.VA102VN-0605@0.4665,0.6161,0.4304,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.112,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.6319,0.4444,0.0421"
urn:cts:greekLit:tlg0012.tlg001.msA:8.113,"urn:cite:hmt:vaimg.VA102VN-0605@0.4685,0.6521,0.4274,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.114,"urn:cite:hmt:vaimg.VA102VN-0605@0.4515,0.6732,0.4354,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.115,"urn:cite:hmt:vaimg.VA102VN-0605@0.4615,0.6927,0.4194,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.116,
urn:cts:greekLit:tlg0012.tlg001.msA:8.117,
urn:cts:greekLit:tlg0012.tlg001.msA:8.118,
urn:cts:greekLit:tlg0012.tlg001.msA:8.119,
urn:cts:greekLit:tlg0012.tlg001.msA:8.120,
urn:cts:greekLit:tlg0012.tlg001.msA:8.121,
urn:cts:greekLit:tlg0012.tlg001.msA:8.122,
urn:cts:greekLit:tlg0012.tlg001.msA:8.123,
urn:cts:greekLit:tlg0012.tlg001.msA:8.124,
urn:cts:greekLit:tlg0012.tlg001.msA:8.125,
urn:cts:greekLit:tlg0012.tlg001.msA:8.126,
urn:cts:greekLit:tlg0012.tlg001.msA:8.127,
urn:cts:greekLit:tlg0012.tlg001.msA:8.128,
urn:cts:greekLit:tlg0012.tlg001.msA:8.129,
urn:cts:greekLit:tlg0012.tlg001.msA:8.130,
urn:cts:greekLit:tlg0012.tlg001.msA:8.131,
urn:cts:greekLit:tlg0012.tlg001.msA:8.132,
urn:cts:greekLit:tlg0012.tlg001.msA:8.133,
urn:cts:greekLit:tlg0012.tlg001.msA:8.134,
urn:cts:greekLit:tlg0012.tlg001.msA:8.135,
urn:cts:greekLit:tlg0012.tlg001.msA:8.136,
urn:cts:greekLit:tlg0012.tlg001.msA:8.137,
urn:cts:greekLit:tlg0012.tlg001.msA:8.138,
urn:cts:greekLit:tlg0012.tlg001.msA:8.139,
urn:cts:greekLit:tlg0012.tlg001.msA:8.140,
urn:cts:greekLit:tlg0012.tlg001.msA:8.141,
urn:cts:greekLit:tlg0012.tlg001.msA:8.142,"urn:cite:hmt:vaimg.VA103VN-0606@0.4464,0.2434,0.3453,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.143,"urn:cite:hmt:vaimg.VA103VN-0606@0.4515,0.2637,0.3534,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.144,"urn:cite:hmt:vaimg.VA103VN-0606@0.4525,0.281,0.3644,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.145,"urn:cite:hmt:vaimg.VA103VN-0606@0.4505,0.299,0.3744,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.146,"urn:cite:hmt:vaimg.VA103VN-0606@0.4535,0.3156,0.3864,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.147,"urn:cite:hmt:vaimg.VA103VN-0606@0.4565,0.3343,0.3984,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.148,"urn:cite:hmt:vaimg.VA103VN-0606@0.4484,0.3554,0.3734,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.149,"urn:cite:hmt:vaimg.VA103VN-0606@0.4414,0.3757,0.3904,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.150,"urn:cite:hmt:vaimg.VA103VN-0606@0.4434,0.3944,0.4064,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.151,"urn:cite:hmt:vaimg.VA103VN-0606@0.4595,0.4155,0.3844,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.152,"urn:cite:hmt:vaimg.VA103VN-0606@0.4575,0.432,0.3564,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.153,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.4478,0.3984,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.154,"urn:cite:hmt:vaimg.VA103VN-0606@0.4595,0.4711,0.3373,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.155,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.4906,0.3483,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.156,"urn:cite:hmt:vaimg.VA103VN-0606@0.4585,0.5086,0.4084,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.157,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.5252,0.3984,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.158,"urn:cite:hmt:vaimg.VA103VN-0606@0.4655,0.5485,0.3544,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.159,"urn:cite:hmt:vaimg.VA103VN-0606@0.4625,0.5672,0.3263,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.160,"urn:cite:hmt:vaimg.VA103VN-0606@0.4625,0.5845,0.3914,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.161,"urn:cite:hmt:vaimg.VA103VN-0606@0.4675,0.6063,0.3483,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:8.162,"urn:cite:hmt:vaimg.VA103VN-0606@0.4645,0.6236,0.3403,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.163,"urn:cite:hmt:vaimg.VA103VN-0606@0.4535,0.6424,0.3624,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.164,"urn:cite:hmt:vaimg.VA103VN-0606@0.4444,0.6604,0.3624,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.165,"urn:cite:hmt:vaimg.VA103VN-0606@0.4505,0.6799,0.3774,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.166,"urn:cite:hmt:vaimg.VA103VN-0606@0.4434,0.6987,0.3604,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.167,
urn:cts:greekLit:tlg0012.tlg001.msA:8.168,
urn:cts:greekLit:tlg0012.tlg001.msA:8.169,
urn:cts:greekLit:tlg0012.tlg001.msA:8.170,
urn:cts:greekLit:tlg0012.tlg001.msA:8.171,
urn:cts:greekLit:tlg0012.tlg001.msA:8.172,
urn:cts:greekLit:tlg0012.tlg001.msA:8.173,
urn:cts:greekLit:tlg0012.tlg001.msA:8.174,
urn:cts:greekLit:tlg0012.tlg001.msA:8.175,
urn:cts:greekLit:tlg0012.tlg001.msA:8.176,
urn:cts:greekLit:tlg0012.tlg001.msA:8.177,
urn:cts:greekLit:tlg0012.tlg001.msA:8.178,
urn:cts:greekLit:tlg0012.tlg001.msA:8.179,
urn:cts:greekLit:tlg0012.tlg001.msA:8.180,
urn:cts:greekLit:tlg0012.tlg001.msA:8.181,
urn:cts:greekLit:tlg0012.tlg001.msA:8.182,
urn:cts:greekLit:tlg0012.tlg001.msA:8.184,
urn:cts:greekLit:tlg0012.tlg001.msA:8.185,
urn:cts:greekLit:tlg0012.tlg001.msA:8.186,
urn:cts:greekLit:tlg0012.tlg001.msA:8.187,
urn:cts:greekLit:tlg0012.tlg001.msA:8.188,
urn:cts:greekLit:tlg0012.tlg001.msA:8.189,
urn:cts:greekLit:tlg0012.tlg001.msA:8.190,
urn:cts:greekLit:tlg0012.tlg001.msA:8.191,
urn:cts:greekLit:tlg0012.tlg001.msA:8.192,
urn:cts:greekLit:tlg0012.tlg001.msA:8.193,"urn:cite:hmt:vaimg.VA104VN-0607@0.4434,0.2374,0.4274,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:8.194,"urn:cite:hmt:vaimg.VA104VN-0607@0.4555,0.2592,0.3704,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.195,"urn:cite:hmt:vaimg.VA104VN-0607@0.4585,0.275,0.4234,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.196,"urn:cite:hmt:vaimg.VA104VN-0607@0.4625,0.2968,0.3984,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.197,"urn:cite:hmt:vaimg.VA104VN-0607@0.4635,0.3156,0.3463,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.198,"urn:cite:hmt:vaimg.VA104VN-0607@0.4535,0.3291,0.4234,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.199,"urn:cite:hmt:vaimg.VA104VN-0607@0.4494,0.3524,0.4374,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.200,"urn:cite:hmt:vaimg.VA104VN-0607@0.4665,0.3719,0.4014,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.201,"urn:cite:hmt:vaimg.VA104VN-0607@0.4535,0.3929,0.4204,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.202,"urn:cite:hmt:vaimg.VA104VN-0607@0.4585,0.4125,0.4204,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.203,"urn:cite:hmt:vaimg.VA104VN-0607@0.4585,0.429,0.3974,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.204,"urn:cite:hmt:vaimg.VA104VN-0607@0.4545,0.4485,0.4154,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.205,"urn:cite:hmt:vaimg.VA104VN-0607@0.4595,0.4666,0.4104,0.0346"
