Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:6.1,"urn:cite:hmt:vaimg.VA080VN-0583@0.377,0.2111,0.493,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.2,"urn:cite:hmt:vaimg.VA080VN-0583@0.388,0.2307,0.493,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:6.3,"urn:cite:hmt:vaimg.VA080VN-0583@0.39,0.2502,0.493,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:6.4,"urn:cite:hmt:vaimg.VA080VN-0583@0.397,0.272,0.493,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:6.5,"urn:cite:hmt:vaimg.VA080VN-0583@0.401,0.2885,0.493,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:6.6,"urn:cite:hmt:vaimg.VA080VN-0583@0.406,0.3073,0.493,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.7,"urn:cite:hmt:vaimg.VA080VN-0583@0.405,0.3246,0.493,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.8,"urn:cite:hmt:vaimg.VA080VN-0583@0.405,0.3426,0.493,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.9,"urn:cite:hmt:vaimg.VA080VN-0583@0.414,0.3629,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.10,"urn:cite:hmt:vaimg.VA080VN-0583@0.43,0.3824,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.11,"urn:cite:hmt:vaimg.VA080VN-0583@0.433,0.4027,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.12,"urn:cite:hmt:vaimg.VA080VN-0583@0.431,0.4215,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.13,"urn:cite:hmt:vaimg.VA080VN-0583@0.431,0.441,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.14,"urn:cite:hmt:vaimg.VA080VN-0583@0.43,0.4591,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.15,"urn:cite:hmt:vaimg.VA080VN-0583@0.426,0.4763,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.16,"urn:cite:hmt:vaimg.VA080VN-0583@0.424,0.4974,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.17,"urn:cite:hmt:vaimg.VA080VN-0583@0.427,0.5139,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.18,"urn:cite:hmt:vaimg.VA080VN-0583@0.43,0.5342,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.19,"urn:cite:hmt:vaimg.VA080VN-0583@0.431,0.5537,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.20,"urn:cite:hmt:vaimg.VA080VN-0583@0.435,0.5725,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.21,"urn:cite:hmt:vaimg.VA080VN-0583@0.437,0.589,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.22,"urn:cite:hmt:vaimg.VA080VN-0583@0.437,0.6101,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.23,"urn:cite:hmt:vaimg.VA080VN-0583@0.438,0.6281,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:6.24,"urn:cite:hmt:vaimg.VA080VN-0583@0.437,0.6454,0.455,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:6.25,"urn:cite:hmt:vaimg.VA080VN-0583@0.435,0.6649,0.455,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:6.26,"urn:cite:hmt:vaimg.VA081RN-0082@0.155,0.2141,0.438,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:6.27,"urn:cite:hmt:vaimg.VA081RN-0082@0.157,0.2367,0.438,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:6.28,"urn:cite:hmt:vaimg.VA081RN-0082@0.144,0.2554,0.438,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:6.29,"urn:cite:hmt:vaimg.VA081RN-0082@0.15,0.2742,0.438,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:6.30,"urn:cite:hmt:vaimg.VA081RN-0082@0.151,0.2923,0.438,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:6.31,"urn:cite:hmt:vaimg.VA081RN-0082@0.151,0.3088,0.438,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:6.32,"urn:cite:hmt:vaimg.VA081RN-0082@0.155,0.3313,0.438,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:6.33,"urn:cite:hmt:vaimg.VA081RN-0082@0.157,0.3486,0.438,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.34,"urn:cite:hmt:vaimg.VA081RN-0082@0.158,0.3689,0.438,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:6.35,"urn:cite:hmt:vaimg.VA081RN-0082@0.156,0.3877,0.474,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.36,"urn:cite:hmt:vaimg.VA081RN-0082@0.15,0.4072,0.474,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.37,"urn:cite:hmt:vaimg.VA081RN-0082@0.14,0.4252,0.474,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.38,"urn:cite:hmt:vaimg.VA081RN-0082@0.13,0.447,0.474,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.39,"urn:cite:hmt:vaimg.VA081RN-0082@0.129,0.4643,0.474,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:6.40,"urn:cite:hmt:vaimg.VA081RN-0082@0.145,0.4846,0.474,0.0316"
