Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.43,"urn:cite:hmt:vaimg.VA155RN-0327@0.1561,0.5327,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.44,"urn:cite:hmt:vaimg.VA155RN-0327@0.1561,0.5557,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.45,"urn:cite:hmt:vaimg.VA155RN-0327@0.1588,0.5751,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.46,"urn:cite:hmt:vaimg.VA155RN-0327@0.15,0.5936,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.47,"urn:cite:hmt:vaimg.VA155RN-0327@0.1522,0.6129,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.48,"urn:cite:hmt:vaimg.VA155RN-0327@0.155,0.6315,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.49,"urn:cite:hmt:vaimg.VA155RN-0327@0.1544,0.6504,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.50,"urn:cite:hmt:vaimg.VA155RN-0327@0.161,0.671,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.51,"urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.2261,0.4414,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.52,"urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.2494,0.4154,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.53,"urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.2712,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.54,"urn:cite:hmt:vaimg.VA155VN-0657@0.5055,0.2893,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.55,"urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.3088,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.56,"urn:cite:hmt:vaimg.VA155VN-0657@0.4925,0.3261,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.57,"urn:cite:hmt:vaimg.VA155VN-0657@0.4985,0.3449,0.4384,0.0225"
