Siglum	Sequence	URN	RV	Label	CodexURN
msB	76	urn:cite:hmt:msB.38v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 38v	urn:cite:hmt:codex.msB
msB	54	urn:cite:hmt:msB.27v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 27v	urn:cite:hmt:codex.msB
msB	625	urn:cite:hmt:msB.313r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 313r	urn:cite:hmt:codex.msB
msB	18	urn:cite:hmt:msB.9v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9v	urn:cite:hmt:codex.msB
msB	4	urn:cite:hmt:msB.2v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2v	urn:cite:hmt:codex.msB
msB	622	urn:cite:hmt:msB.311v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 311v	urn:cite:hmt:codex.msB
msB	402	urn:cite:hmt:msB.201v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 201v	urn:cite:hmt:codex.msB
msB	266	urn:cite:hmt:msB.133v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 133v	urn:cite:hmt:codex.msB
msB	487	urn:cite:hmt:msB.244r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 244r	urn:cite:hmt:codex.msB
msB	194	urn:cite:hmt:msB.97v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 97v	urn:cite:hmt:codex.msB
msB	528	urn:cite:hmt:msB.264v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 264v	urn:cite:hmt:codex.msB
msB	178	urn:cite:hmt:msB.89v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 89v	urn:cite:hmt:codex.msB
msB	93	urn:cite:hmt:msB.47r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 47r	urn:cite:hmt:codex.msB
msB	408	urn:cite:hmt:msB.204v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 204v	urn:cite:hmt:codex.msB
msB	166	urn:cite:hmt:msB.83v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 83v	urn:cite:hmt:codex.msB
msB	273	urn:cite:hmt:msB.137r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 137r	urn:cite:hmt:codex.msB
msB	580	urn:cite:hmt:msB.290v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 290v	urn:cite:hmt:codex.msB
msB	103	urn:cite:hmt:msB.52r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 52r	urn:cite:hmt:codex.msB
msB	241	urn:cite:hmt:msB.121r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 121r	urn:cite:hmt:codex.msB
msB	306	urn:cite:hmt:msB.153v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 153v	urn:cite:hmt:codex.msB
msB	676	urn:cite:hmt:msB.338v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 338v	urn:cite:hmt:codex.msB
msB	234	urn:cite:hmt:msB.117v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 117v	urn:cite:hmt:codex.msB
msB	137	urn:cite:hmt:msB.69r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 69r	urn:cite:hmt:codex.msB
msB	92	urn:cite:hmt:msB.46v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 46v	urn:cite:hmt:codex.msB
msB	486	urn:cite:hmt:msB.243v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 243v	urn:cite:hmt:codex.msB
msB	218	urn:cite:hmt:msB.109v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 109v	urn:cite:hmt:codex.msB
msB	41	urn:cite:hmt:msB.21r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 21r	urn:cite:hmt:codex.msB
msB	485	urn:cite:hmt:msB.243r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 243r	urn:cite:hmt:codex.msB
msB	23	urn:cite:hmt:msB.12r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12r	urn:cite:hmt:codex.msB
msB	222	urn:cite:hmt:msB.111v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 111v	urn:cite:hmt:codex.msB
msB	343	urn:cite:hmt:msB.172r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 172r	urn:cite:hmt:codex.msB
msB	217	urn:cite:hmt:msB.109r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 109r	urn:cite:hmt:codex.msB
msB	193	urn:cite:hmt:msB.97r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 97r	urn:cite:hmt:codex.msB
msB	156	urn:cite:hmt:msB.78v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 78v	urn:cite:hmt:codex.msB
msB	237	urn:cite:hmt:msB.119r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 119r	urn:cite:hmt:codex.msB
msB	497	urn:cite:hmt:msB.249r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 249r	urn:cite:hmt:codex.msB
msB	441	urn:cite:hmt:msB.221r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 221r	urn:cite:hmt:codex.msB
msB	489	urn:cite:hmt:msB.245r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 245r	urn:cite:hmt:codex.msB
msB	357	urn:cite:hmt:msB.179r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 179r	urn:cite:hmt:codex.msB
msB	565	urn:cite:hmt:msB.283r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 283r	urn:cite:hmt:codex.msB
msB	440	urn:cite:hmt:msB.220v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 220v	urn:cite:hmt:codex.msB
msB	658	urn:cite:hmt:msB.329v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 329v	urn:cite:hmt:codex.msB
msB	563	urn:cite:hmt:msB.282r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 282r	urn:cite:hmt:codex.msB
msB	637	urn:cite:hmt:msB.319r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 319r	urn:cite:hmt:codex.msB
msB	387	urn:cite:hmt:msB.194r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 194r	urn:cite:hmt:codex.msB
msB	383	urn:cite:hmt:msB.192r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 192r	urn:cite:hmt:codex.msB
msB	235	urn:cite:hmt:msB.118r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 118r	urn:cite:hmt:codex.msB
msB	186	urn:cite:hmt:msB.93v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 93v	urn:cite:hmt:codex.msB
msB	138	urn:cite:hmt:msB.69v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 69v	urn:cite:hmt:codex.msB
msB	664	urn:cite:hmt:msB.332v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 332v	urn:cite:hmt:codex.msB
msB	547	urn:cite:hmt:msB.274r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 274r	urn:cite:hmt:codex.msB
msB	492	urn:cite:hmt:msB.246v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 246v	urn:cite:hmt:codex.msB
msB	587	urn:cite:hmt:msB.294r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 294r	urn:cite:hmt:codex.msB
msB	42	urn:cite:hmt:msB.21v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 21v	urn:cite:hmt:codex.msB
msB	341	urn:cite:hmt:msB.171r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 171r	urn:cite:hmt:codex.msB
msB	255	urn:cite:hmt:msB.128r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 128r	urn:cite:hmt:codex.msB
msB	442	urn:cite:hmt:msB.221v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 221v	urn:cite:hmt:codex.msB
msB	56	urn:cite:hmt:msB.28v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 28v	urn:cite:hmt:codex.msB
msB	74	urn:cite:hmt:msB.37v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 37v	urn:cite:hmt:codex.msB
msB	526	urn:cite:hmt:msB.263v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 263v	urn:cite:hmt:codex.msB
msB	390	urn:cite:hmt:msB.195v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 195v	urn:cite:hmt:codex.msB
msB	457	urn:cite:hmt:msB.229r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 229r	urn:cite:hmt:codex.msB
msB	564	urn:cite:hmt:msB.282v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 282v	urn:cite:hmt:codex.msB
msB	458	urn:cite:hmt:msB.229v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 229v	urn:cite:hmt:codex.msB
msB	116	urn:cite:hmt:msB.58v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 58v	urn:cite:hmt:codex.msB
msB	141	urn:cite:hmt:msB.71r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 71r	urn:cite:hmt:codex.msB
msB	134	urn:cite:hmt:msB.67v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 67v	urn:cite:hmt:codex.msB
msB	174	urn:cite:hmt:msB.87v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 87v	urn:cite:hmt:codex.msB
msB	8	urn:cite:hmt:msB.4v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4v	urn:cite:hmt:codex.msB
msB	128	urn:cite:hmt:msB.64v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 64v	urn:cite:hmt:codex.msB
msB	35	urn:cite:hmt:msB.18r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 18r	urn:cite:hmt:codex.msB
msB	80	urn:cite:hmt:msB.40v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 40v	urn:cite:hmt:codex.msB
msB	299	urn:cite:hmt:msB.150r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 150r	urn:cite:hmt:codex.msB
msB	96	urn:cite:hmt:msB.48v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 48v	urn:cite:hmt:codex.msB
msB	483	urn:cite:hmt:msB.242r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 242r	urn:cite:hmt:codex.msB
msB	362	urn:cite:hmt:msB.181v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 181v	urn:cite:hmt:codex.msB
msB	263	urn:cite:hmt:msB.132r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 132r	urn:cite:hmt:codex.msB
msB	444	urn:cite:hmt:msB.222v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 222v	urn:cite:hmt:codex.msB
msB	600	urn:cite:hmt:msB.300v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 300v	urn:cite:hmt:codex.msB
msB	36	urn:cite:hmt:msB.18v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 18v	urn:cite:hmt:codex.msB
msB	665	urn:cite:hmt:msB.333r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 333r	urn:cite:hmt:codex.msB
msB	223	urn:cite:hmt:msB.112r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 112r	urn:cite:hmt:codex.msB
msB	660	urn:cite:hmt:msB.330v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 330v	urn:cite:hmt:codex.msB
msB	366	urn:cite:hmt:msB.183v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 183v	urn:cite:hmt:codex.msB
msB	672	urn:cite:hmt:msB.336v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 336v	urn:cite:hmt:codex.msB
msB	405	urn:cite:hmt:msB.203r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 203r	urn:cite:hmt:codex.msB
msB	400	urn:cite:hmt:msB.200v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 200v	urn:cite:hmt:codex.msB
msB	463	urn:cite:hmt:msB.232r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 232r	urn:cite:hmt:codex.msB
msB	498	urn:cite:hmt:msB.249v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 249v	urn:cite:hmt:codex.msB
msB	391	urn:cite:hmt:msB.196r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 196r	urn:cite:hmt:codex.msB
msB	336	urn:cite:hmt:msB.168v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 168v	urn:cite:hmt:codex.msB
msB	329	urn:cite:hmt:msB.165r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 165r	urn:cite:hmt:codex.msB
msB	245	urn:cite:hmt:msB.123r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 123r	urn:cite:hmt:codex.msB
msB	502	urn:cite:hmt:msB.251v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 251v	urn:cite:hmt:codex.msB
msB	114	urn:cite:hmt:msB.57v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 57v	urn:cite:hmt:codex.msB
msB	344	urn:cite:hmt:msB.172v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 172v	urn:cite:hmt:codex.msB
msB	249	urn:cite:hmt:msB.125r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 125r	urn:cite:hmt:codex.msB
msB	425	urn:cite:hmt:msB.213r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 213r	urn:cite:hmt:codex.msB
msB	582	urn:cite:hmt:msB.291v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 291v	urn:cite:hmt:codex.msB
msB	62	urn:cite:hmt:msB.31v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 31v	urn:cite:hmt:codex.msB
msB	197	urn:cite:hmt:msB.99r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 99r	urn:cite:hmt:codex.msB
msB	294	urn:cite:hmt:msB.147v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 147v	urn:cite:hmt:codex.msB
msB	490	urn:cite:hmt:msB.245v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 245v	urn:cite:hmt:codex.msB
msB	311	urn:cite:hmt:msB.156r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 156r	urn:cite:hmt:codex.msB
msB	188	urn:cite:hmt:msB.94v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 94v	urn:cite:hmt:codex.msB
msB	510	urn:cite:hmt:msB.255v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 255v	urn:cite:hmt:codex.msB
msB	302	urn:cite:hmt:msB.151v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 151v	urn:cite:hmt:codex.msB
msB	495	urn:cite:hmt:msB.248r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 248r	urn:cite:hmt:codex.msB
msB	37	urn:cite:hmt:msB.19r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 19r	urn:cite:hmt:codex.msB
msB	202	urn:cite:hmt:msB.101v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 101v	urn:cite:hmt:codex.msB
msB	65	urn:cite:hmt:msB.33r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 33r	urn:cite:hmt:codex.msB
msB	232	urn:cite:hmt:msB.116v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 116v	urn:cite:hmt:codex.msB
msB	15	urn:cite:hmt:msB.8r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8r	urn:cite:hmt:codex.msB
msB	594	urn:cite:hmt:msB.297v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 297v	urn:cite:hmt:codex.msB
msB	459	urn:cite:hmt:msB.230r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 230r	urn:cite:hmt:codex.msB
msB	251	urn:cite:hmt:msB.126r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 126r	urn:cite:hmt:codex.msB
msB	385	urn:cite:hmt:msB.193r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 193r	urn:cite:hmt:codex.msB
msB	13	urn:cite:hmt:msB.7r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7r	urn:cite:hmt:codex.msB
msB	239	urn:cite:hmt:msB.120r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 120r	urn:cite:hmt:codex.msB
msB	515	urn:cite:hmt:msB.258r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 258r	urn:cite:hmt:codex.msB
msB	183	urn:cite:hmt:msB.92r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 92r	urn:cite:hmt:codex.msB
msB	109	urn:cite:hmt:msB.55r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 55r	urn:cite:hmt:codex.msB
msB	189	urn:cite:hmt:msB.95r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 95r	urn:cite:hmt:codex.msB
msB	34	urn:cite:hmt:msB.17v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 17v	urn:cite:hmt:codex.msB
msB	579	urn:cite:hmt:msB.290r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 290r	urn:cite:hmt:codex.msB
msB	269	urn:cite:hmt:msB.135r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 135r	urn:cite:hmt:codex.msB
msB	420	urn:cite:hmt:msB.210v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 210v	urn:cite:hmt:codex.msB
msB	126	urn:cite:hmt:msB.63v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 63v	urn:cite:hmt:codex.msB
msB	14	urn:cite:hmt:msB.7v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7v	urn:cite:hmt:codex.msB
msB	221	urn:cite:hmt:msB.111r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 111r	urn:cite:hmt:codex.msB
msB	301	urn:cite:hmt:msB.151r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 151r	urn:cite:hmt:codex.msB
msB	514	urn:cite:hmt:msB.257v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 257v	urn:cite:hmt:codex.msB
msB	289	urn:cite:hmt:msB.145r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 145r	urn:cite:hmt:codex.msB
msB	513	urn:cite:hmt:msB.257r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 257r	urn:cite:hmt:codex.msB
msB	149	urn:cite:hmt:msB.75r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 75r	urn:cite:hmt:codex.msB
msB	659	urn:cite:hmt:msB.330r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 330r	urn:cite:hmt:codex.msB
msB	91	urn:cite:hmt:msB.46r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 46r	urn:cite:hmt:codex.msB
msB	381	urn:cite:hmt:msB.191r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 191r	urn:cite:hmt:codex.msB
msB	365	urn:cite:hmt:msB.183r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 183r	urn:cite:hmt:codex.msB
msB	397	urn:cite:hmt:msB.199r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 199r	urn:cite:hmt:codex.msB
msB	392	urn:cite:hmt:msB.196v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 196v	urn:cite:hmt:codex.msB
msB	401	urn:cite:hmt:msB.201r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 201r	urn:cite:hmt:codex.msB
msB	216	urn:cite:hmt:msB.108v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 108v	urn:cite:hmt:codex.msB
msB	313	urn:cite:hmt:msB.157r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 157r	urn:cite:hmt:codex.msB
msB	69	urn:cite:hmt:msB.35r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 35r	urn:cite:hmt:codex.msB
msB	437	urn:cite:hmt:msB.219r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 219r	urn:cite:hmt:codex.msB
msB	543	urn:cite:hmt:msB.272r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 272r	urn:cite:hmt:codex.msB
