Passage	Description	ImageReference	Folio
urn:cts:greekLit:tlg0012.tlg001.msA:18.161	shepherds and lion simile	urn:cite:hmt:chsimg.VA242RN-0413@0.81429624,0.39197787,0.04384672,0.02793914	urn:cite:hmt:msA.242r
urn:cts:greekLit:tlg0012.tlg001.msA:18.207	smoke simile	urn:cite:hmt:chsimg.VA243RN-0414@0.83419307,0.27524205,0.04089904,0.02876902	urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg0012.tlg001.msA:18.219	trumpet simile	urn:cite:hmt:chsimg.VA243RN-0414@0.82313928,0.49764869,0.03868828,0.02793914	urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg0012.tlg001.msA:18.318	lion and cubs simile	urn:cite:hmt:chsimg.VA245RN-0416@0.81761238,0.50290456,0.03868828,0.02517289	urn:cite:hmt:msA.245r
urn:cts:greekLit:tlg0012.tlg001.msA:19.349	falcon simile	urn:cite:hmt:chsimg.VA258RN-0429@0.82977155,0.66334716,0.04310980,0.02572614	urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg0012.tlg001.msA:19.357	snow simile	urn:cite:hmt:chsimg.VA258VN-0760@0.16543847,0.33139696,0.03021371,0.02434302	urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg0012.tlg001.msA:19.375	fire simile	urn:cite:hmt:chsimg.VA258VN-0760@0.17575534,0.66915629,0.04679440,0.03125864	urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg0012.tlg001.msA:20.164	lion simile	urn:cite:hmt:chsimg.VA263RN-0433@0.80582167,0.44066390,0.04421518,0.02876902	urn:cite:hmt:msA.263r
urn:cts:greekLit:tlg0012.tlg001.msA:20.252	women simile	urn:cite:hmt:chsimg.VA265RN-0435@0.84082535,0.20580913,0.04126750,0.02517289	urn:cite:hmt:msA.265r
urn:cts:greekLit:tlg0012.tlg001.msA:20.403	bull simile	urn:cite:hmt:chsimg.VA267VN-0769@0.17133382,0.64260028,0.05526898,0.03042877	urn:cite:hmt:msA.267v
urn:cts:greekLit:tlg0012.tlg001.msA:20.490	forest fire simile	urn:cite:hmt:chsimg.VA269VN-0771@0.17501842,0.40055325,0.03574060,0.03098202	urn:cite:hmt:msA.269v
urn:cts:greekLit:tlg0012.tlg001.msA:20.495	bull simile	urn:cite:hmt:chsimg.VA269VN-0771@0.17796610,0.50041494,0.04310980,0.03153527	urn:cite:hmt:msA.269v
urn:cts:greekLit:tlg0012.tlg001.msA:21.12	fire and locusts simile	urn:cite:hmt:chsimg.VA270RN-0440@0.84745763,0.40497925,0.05232130,0.03651452	urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg0012.tlg001.msA:21.22	dolphin simile	urn:cite:hmt:chsimg.VA270RN-0440@0.83861459,0.60027663,0.04384672,0.03236515	urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg0012.tlg001.msA:21.252	eagle simile	urn:cite:hmt:chsimg.VA275RN-0445@0.82019160,0.19004149,0.05453206,0.04370678	urn:cite:hmt:msA.275r
urn:cts:greekLit:tlg0012.tlg001.msA:21.257	channel simile	urn:cite:hmt:chsimg.VA275RN-0445@0.82019160,0.29239281,0.03721444,0.03015214	urn:cite:hmt:msA.275r
urn:cts:greekLit:tlg0012.tlg001.msA:21.346	parched plain simile	urn:cite:hmt:chsimg.VA276VN-0778@0.16470155,0.58201936,0.04642594,0.02683264	urn:cite:hmt:msA.276v
urn:cts:greekLit:tlg0012.tlg001.msA:21.362	cauldron simile	urn:cite:hmt:chsimg.VA277RN-0447@0.82682388,0.40082988,0.04384672,0.03153527	urn:cite:hmt:msA.277r
urn:cts:greekLit:tlg0012.tlg001.msA:21.493	dove and falcon simile	urn:cite:hmt:chsimg.VA279VN-0781@0.16249079,0.48243430,0.04126750,0.02710927	urn:cite:hmt:msA.279v
urn:cts:greekLit:tlg0012.tlg001.msA:21.522	smoke simile	urn:cite:hmt:chsimg.VA280RN-0450@0.81613854,0.52475795,0.04826824,0.02489627	urn:cite:hmt:msA.280r
urn:cts:greekLit:tlg0012.tlg001.msA:21.573	leopard simile	urn:cite:hmt:chsimg.VA281RN-0451@0.80140015,0.54744122,0.04937362,0.02932227	urn:cite:hmt:msA.281r
urn:cts:greekLit:tlg0012.tlg001.msA:22.22	chariot simile	urn:cite:hmt:chsimg.VA282VN-0784@0.15770081,0.48879668,0.03352985,0.02572614	urn:cite:hmt:msA.282v
urn:cts:greekLit:tlg0012.tlg001.msA:22.26	star simile	urn:cite:hmt:chsimg.VA282VN-0784@0.15917465,0.56320885,0.04679440,0.03319502	urn:cite:hmt:msA.282v
urn:cts:greekLit:tlg0012.tlg001.msA:22.93	serpent simile	urn:cite:hmt:chsimg.VA284RN-0454@0.82424466,0.39474412,0.03684598,0.02434302	urn:cite:hmt:msA.284r
urn:cts:greekLit:tlg0012.tlg001.msA:22.139	falcon and dove simile	urn:cite:hmt:chsimg.VA285RN-0455@0.81613854,0.29432918,0.04753132,0.02766252	urn:cite:hmt:msA.285r
urn:cts:greekLit:tlg0012.tlg001.msA:22.163	funeral games simile	urn:cite:hmt:chsimg.VA285VN-0787@0.17722918,0.27662517,0.03758290,0.02710927	urn:cite:hmt:msA.285v
urn:cts:greekLit:tlg0012.tlg001.msA:22.189	hound and fawn simile	urn:cite:hmt:chsimg.VA286RN-0456@0.84487841,0.30594744,0.03905674,0.02323651	urn:cite:hmt:msA.286r
urn:cts:greekLit:tlg0012.tlg001.msA:22.199	dream simile	urn:cite:hmt:chsimg.VA286RN-0456@0.84156227,0.49903181,0.04458364,0.02627939	urn:cite:hmt:msA.286r
urn:cts:greekLit:tlg0012.tlg001.msA:22.262	oaths simile	urn:cite:hmt:chsimg.VA287VN-0789@0.16985999,0.28879668,0.05305822,0.03070539	urn:cite:hmt:msA.287v
urn:cts:greekLit:tlg0012.tlg001.msA:22.308	eagle simile	urn:cite:hmt:chsimg.VA288RN-0458@0.82608696,0.66251729,0.04089904,0.02295989	urn:cite:hmt:msA.288r
urn:cts:greekLit:tlg0012.tlg001.msA:22.317	star simile	urn:cite:hmt:chsimg.VA288VN-0790@0.16212233,0.36542185,0.03500368,0.02489627	urn:cite:hmt:msA.288v
urn:cts:greekLit:tlg0012.tlg001.msA:23.222	grieving father simile	urn:cite:hmt:chsimg.VA297RN-0467@0.83714075,0.41466113,0.03795136,0.02710927	urn:cite:hmt:msA.297v
urn:cts:greekLit:tlg0012.tlg001.msA:23.598	corn simile	urn:cite:hmt:chsimg.VA304VN-0806@0.14922623,0.51590595,0.03647752,0.02517289	urn:cite:hmt:msA.304v
urn:cts:greekLit:tlg0012.tlg001.msA:23.692	fish simile	urn:cite:hmt:chsimg.VA306VN-0808@0.16838615,0.39640387,0.03684598,0.03098202	urn:cite:hmt:msA.306v
urn:cts:greekLit:tlg0012.tlg001.msA:23.760	weaving simile	urn:cite:hmt:chsimg.VA308RN-0478@0.82092852,0.20995851,0.04347826,0.02738589	urn:cite:hmt:msA.308r
urn:cts:greekLit:tlg0012.tlg001.msA:24.41	lion simile	urn:cite:hmt:chsimg.VA311VN-0813@0.14922623,0.43789765,0.03279293,0.03015214	urn:cite:hmt:msA.311v
urn:cts:greekLit:tlg0012.tlg001.msA:24.80	fishing simile (no numeral)		urn:cite:hmt:msA.312v
urn:cts:greekLit:tlg0012.tlg001.msA:24.480	exile simile (replaced)		urn:cite:hmt:msA.320v
urn:cts:greekLit:tlg0012.tlg001.msA:24.572	lion simile	urn:cite:hmt:chsimg.VA322RN-0492@0.83271923,0.51535270,0.03868828,0.02683264	urn:cite:hmt:msA.322r
