Passage	Description	ImageReference	Folio
urn:cts:greekLit:tlg0012.tlg001.msA:6.506	horse simile	urn:cite:hmt:chsimg.VA090VN-0593@0.08327192,0.26168741,0.04900516,0.03983402	urn:cite:hmt:msA.90v
urn:cts:greekLit:tlg0012.tlg001.msA:7.4	wind simile	urn:cite:hmt:chsimg.VA091RN-0263@0.84856301,0.27911480,0.04200442,0.01964039	urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg0012.tlg001.msA:7.64	ocean simile	urn:cite:hmt:chsimg.VA092RN-0264@0.82977155,0.47302905,0.04089904,0.02102351	urn:cite:hmt:msA.92r
urn:cts:greekLit:tlg0012.tlg001.msA:7.208	Ares simile (no numeral)		urn:cite:hmt:msA.95r
urn:cts:greekLit:tlg0012.tlg001.msA:7.256	lion and boar simile (no numeral)		urn:cite:hmt:msA.96r
urn:cts:greekLit:tlg0012.tlg001.msA:8.306	poppy simile	urn:cite:hmt:chsimg.VA106VN-0609@0.12601326,0.41770401,0.02542373,0.01604426	urn:cite:hmt:msA.106v
urn:cts:greekLit:tlg0012.tlg001.msA:8.338	hound simile	urn:cite:hmt:chsimg.VA107RN-0279@0.82535004,0.52420470,0.05305822,0.03208852	urn:cite:hmt:msA.107r
urn:cts:greekLit:tlg0012.tlg001.msA:8.555	heavens simile	urn:cite:hmt:chsimg.VA111RN-0283@0.87951363,0.66887967,0.03352985,0.01908714	urn:cite:hmt:msA.111r
urn:cts:greekLit:tlg0012.tlg001.msA:9.4	wave and wind simile	urn:cite:hmt:chsimg.VA111VN-0614@0.11864407,0.61383126,0.05195284,0.02323651	urn:cite:hmt:msA.111v
urn:cts:greekLit:tlg0012.tlg001.msA:9.14	cliff fountain simile	urn:cite:hmt:chsimg.VA112RN-0284@0.86256448,0.30788382,0.02321297,0.02102351	urn:cite:hmt:msA.112r
urn:cts:greekLit:tlg0012.tlg001.msA:9.323	bird simile	urn:cite:hmt:chsimg.VA118RN-0290@0.83345615,0.45726141,0.04310980,0.02517289	urn:cite:hmt:msA.118r
urn:cts:greekLit:tlg0012.tlg001.msA:10.5	Zeus simile	urn:cite:hmt:chsimg.VA126RN-0298@0.82719234,0.28769018,0.03316139,0.02351314	urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg0012.tlg001.msA:10.183	dog simile	urn:cite:hmt:chsimg.VA129VN-0632@0.11790715,0.36293223,0.05711127,0.03125864	urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg0012.tlg001.msA:10.360	hunt simile	urn:cite:hmt:chsimg.VA133RN-0305@0.83271923,0.37565698,0.04053058,0.02130014	urn:cite:hmt:msA.133r
urn:cts:greekLit:tlg0012.tlg001.msA:10.485	lion simile	urn:cite:hmt:chsimg.VA135VN-0637@0.13780398,0.35546335,0.04126750,0.02627939	urn:cite:hmt:msA.135v
urn:cts:greekLit:tlg0012.tlg001.msA:11.62	cloud and star simile	urn:cite:hmt:chsimg.VA138VN-0640@0.15401621,0.45421853,0.02800295,0.02019364	urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg0012.tlg001.msA:11.67	reaper simile	urn:cite:hmt:chsimg.VA138VN-0640@0.15770081,0.54384509,0.03463522,0.02627939	urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg0012.tlg001.msA:11.86	woodsman simile	urn:cite:hmt:chsimg.VA139RN-0311@0.81466470,0.42130014,0.03021371,0.01964039	urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg0012.tlg001.msA:11.113	lion simile	urn:cite:hmt:chsimg.VA139VN-0641@0.14701548,0.48381743,0.03979366,0.02213001	urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg0012.tlg001.msA:11.155	fire simile	urn:cite:hmt:chsimg.VA140VN-0642@0.15659543,0.31396957,0.02873987,0.02766252	urn:cite:hmt:msA.140v
urn:cts:greekLit:tlg0012.tlg001.msA:11.172	deer simile	urn:cite:hmt:chsimg.VA140VN-0642@0.17870302,0.66611342,0.03279293,0.02766252	urn:cite:hmt:msA.140v
urn:cts:greekLit:tlg0012.tlg001.msA:11.269	childbirth simile	urn:cite:hmt:chsimg.VA142VN-0644@0.16359617,0.57869986,0.03279293,0.02959889	urn:cite:hmt:msA.142v
urn:cts:greekLit:tlg0012.tlg001.msA:11.292	huntsman simile	urn:cite:hmt:chsimg.VA143RN-0315@0.78629329,0.53831259,0.03426676,0.03015214	urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg0012.tlg001.msA:11.297	wind simile	urn:cite:hmt:chsimg.VA143RN-0315@0.78850405,0.64564315,0.03610906,0.03098202	urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg0012.tlg001.msA:11.305	storm simile	urn:cite:hmt:chsimg.VA143VN-0645@0.16912307,0.32005533,0.02947679,0.02793914	urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg0012.tlg001.msA:11.324	boar simile	urn:cite:hmt:chsimg.VA143VN-0645@0.19380987,0.68907331,0.03721444,0.02959889	urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg0012.tlg001.msA:11.414	hunt simile	urn:cite:hmt:chsimg.VA145VN-0647@0.16838615,0.48049793,0.03795136,0.03208852	urn:cite:hmt:msA.145v
urn:cts:greekLit:tlg0012.tlg001.msA:11.474	jackal and lion simile	urn:cite:hmt:chsimg.VA146VN-0648@0.17612380,0.66002766,0.03389831,0.03374827	urn:cite:hmt:msA.146v
urn:cts:greekLit:tlg0012.tlg001.msA:11.493	river simile	urn:cite:hmt:chsimg.VA147RN-0319@0.80766396,0.51396957,0.03426676,0.02683264	urn:cite:hmt:msA.147r
urn:cts:greekLit:tlg0012.tlg001.msA:11.548	lion simile	urn:cite:hmt:chsimg.VA148RN-0320@0.81429624,0.61438451,0.02137067,0.01964039	urn:cite:hmt:msA.148r
urn:cts:greekLit:tlg0012.tlg001.msA:11.558	donkey simile	urn:cite:hmt:chsimg.VA148VN-0650@0.18017686,0.35159059,0.03463522,0.02130014	urn:cite:hmt:msA.148v
urn:cts:greekLit:tlg0012.tlg001.msA:12.41	hunt simile	urn:cite:hmt:chsimg.VA155RN-0327@0.81355932,0.49903181,0.03131909,0.02185339	urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg0012.tlg001.msA:12.132	mountain oak simile	urn:cite:hmt:chsimg.VA157RN-0328@0.79513633,0.32669433,0.03684598,0.02793914	urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg0012.tlg001.msA:12.146	boar simile	urn:cite:hmt:chsimg.VA157RN-0328@0.79439941,0.59917012,0.03758290,0.02019364	urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg0012.tlg001.msA:12.156	snow simile	urn:cite:hmt:chsimg.VA157VN-0659@0.18017686,0.32116183,0.02652911,0.01908714	urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg0012.tlg001.msA:12.167	wasp simile	urn:cite:hmt:chsimg.VA157VN-0659@0.18865144,0.53526971,0.03131909,0.02351314	urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg0012.tlg001.msA:12.278	snow simile	urn:cite:hmt:chsimg.VA160RN-0331@0.83050847,0.21189488,0.03279293,0.02323651	urn:cite:hmt:msA.160r
urn:cts:greekLit:tlg0012.tlg001.msA:12.299	lion simile	urn:cite:hmt:chsimg.VA160RN-0331@0.81319086,0.60829876,0.03316139,0.02185339	urn:cite:hmt:msA.160r
urn:cts:greekLit:tlg0012.tlg001.msA:12.421	measuring rod simile	urn:cite:hmt:chsimg.VA162VN-0664@0.18496684,0.56514523,0.03095063,0.01687414	urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg0012.tlg001.msA:12.432	spinning simile	urn:cite:hmt:chsimg.VA163RN-0334@0.79292557,0.28713693,0.02431835,0.01798064	urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg0012.tlg001.msA:12.451	shepherd simile	urn:cite:hmt:chsimg.VA163RN-0334@0.82240236,0.64453665,0.02873987,0.02019364	urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg0012.tlg001.msA:13.62	hawk simile	urn:cite:hmt:chsimg.VA165RN-0336@0.83161385,0.44757953,0.03758290,0.02295989	urn:cite:hmt:msA.165r
urn:cts:greekLit:tlg0012.tlg001.msA:13.102	deer simile	urn:cite:hmt:chsimg.VA166RN-0337@0.84193073,0.23928077,0.02910833,0.01659751	urn:cite:hmt:msA.166r
urn:cts:greekLit:tlg0012.tlg001.msA:13.137	boulder simile	urn:cite:hmt:chsimg.VA166VN-0668@0.13927782,0.44785615,0.03500368,0.01936376	urn:cite:hmt:msA.166v
urn:cts:greekLit:tlg0012.tlg001.msA:13.178	ash tree simile	urn:cite:hmt:chsimg.VA167VN-0669@0.13706706,0.24979253,0.03574060,0.01964039	urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg0012.tlg001.msA:13.198	lions simile	urn:cite:hmt:chsimg.VA167VN-0669@0.15143699,0.62074689,0.02616065,0.01798064	urn:cite:hmt:msA.167v
