Siglum	Sequence	URN	RV	MS	CodexURN
e4	1	urn:cite:hmt:e4.1r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 1r	urn:cite:hmt:codex.e4
e4	2	urn:cite:hmt:e4.1v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 1v	urn:cite:hmt:codex.e4
e4	3	urn:cite:hmt:e4.2r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 2r	urn:cite:hmt:codex.e4
e4	4	urn:cite:hmt:e4.2v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 2v	urn:cite:hmt:codex.e4
e4	5	urn:cite:hmt:e4.3r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 3r	urn:cite:hmt:codex.e4
e4	6	urn:cite:hmt:e4.3v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 3v	urn:cite:hmt:codex.e4
e4	7	urn:cite:hmt:e4.4r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 4r	urn:cite:hmt:codex.e4
e4	8	urn:cite:hmt:e4.4v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 4v	urn:cite:hmt:codex.e4
e4	9	urn:cite:hmt:e4.5r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 5r	urn:cite:hmt:codex.e4
e4	10	urn:cite:hmt:e4.5v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 5v	urn:cite:hmt:codex.e4
e4	11	urn:cite:hmt:e4.6r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 6r	urn:cite:hmt:codex.e4
e4	12	urn:cite:hmt:e4.6v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 6v	urn:cite:hmt:codex.e4
e4	13	urn:cite:hmt:e4.7r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 7r	urn:cite:hmt:codex.e4
e4	14	urn:cite:hmt:e4.7v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 7v	urn:cite:hmt:codex.e4
e4	15	urn:cite:hmt:e4.8r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 8r	urn:cite:hmt:codex.e4
e4	16	urn:cite:hmt:e4.8v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 8v	urn:cite:hmt:codex.e4
e4	17	urn:cite:hmt:e4.9r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 9r	urn:cite:hmt:codex.e4
e4	18	urn:cite:hmt:e4.9v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 9v	urn:cite:hmt:codex.e4
e4	19	urn:cite:hmt:e4.10r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 10r	urn:cite:hmt:codex.e4
e4	20	urn:cite:hmt:e4.10v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 10v	urn:cite:hmt:codex.e4
e4	21	urn:cite:hmt:e4.11r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 11r	urn:cite:hmt:codex.e4
e4	22	urn:cite:hmt:e4.11v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 11v	urn:cite:hmt:codex.e4
e4	23	urn:cite:hmt:e4.12r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 12r	urn:cite:hmt:codex.e4
e4	24	urn:cite:hmt:e4.12v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 12v	urn:cite:hmt:codex.e4
e4	25	urn:cite:hmt:e4.13r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 13r	urn:cite:hmt:codex.e4
e4	26	urn:cite:hmt:e4.13v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 13v	urn:cite:hmt:codex.e4
e4	27	urn:cite:hmt:e4.14r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 14r	urn:cite:hmt:codex.e4
e4	28	urn:cite:hmt:e4.14v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 14v	urn:cite:hmt:codex.e4
e4	29	urn:cite:hmt:e4.15r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 15r	urn:cite:hmt:codex.e4
e4	30	urn:cite:hmt:e4.15v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 15v	urn:cite:hmt:codex.e4
e4	31	urn:cite:hmt:e4.16r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 16r	urn:cite:hmt:codex.e4
e4	32	urn:cite:hmt:e4.16v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 16v	urn:cite:hmt:codex.e4
e4	33	urn:cite:hmt:e4.17r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 17r	urn:cite:hmt:codex.e4
e4	34	urn:cite:hmt:e4.17v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 17v	urn:cite:hmt:codex.e4
e4	35	urn:cite:hmt:e4.18r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 18r	urn:cite:hmt:codex.e4
e4	36	urn:cite:hmt:e4.18v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 18v	urn:cite:hmt:codex.e4
e4	37	urn:cite:hmt:e4.19r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 19r	urn:cite:hmt:codex.e4
e4	38	urn:cite:hmt:e4.19v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 19v	urn:cite:hmt:codex.e4
e4	39	urn:cite:hmt:e4.20r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 20r	urn:cite:hmt:codex.e4
e4	40	urn:cite:hmt:e4.20v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 20v	urn:cite:hmt:codex.e4
e4	41	urn:cite:hmt:e4.21r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 21r	urn:cite:hmt:codex.e4
e4	42	urn:cite:hmt:e4.21v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 21v	urn:cite:hmt:codex.e4
e4	43	urn:cite:hmt:e4.22r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 22r	urn:cite:hmt:codex.e4
e4	44	urn:cite:hmt:e4.22v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 22v	urn:cite:hmt:codex.e4
e4	45	urn:cite:hmt:e4.23r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 23r	urn:cite:hmt:codex.e4
e4	46	urn:cite:hmt:e4.23v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 23v	urn:cite:hmt:codex.e4
e4	47	urn:cite:hmt:e4.24r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 24r	urn:cite:hmt:codex.e4
e4	48	urn:cite:hmt:e4.24v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 24v	urn:cite:hmt:codex.e4
e4	49	urn:cite:hmt:e4.25r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 25r	urn:cite:hmt:codex.e4
e4	50	urn:cite:hmt:e4.25v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 25v	urn:cite:hmt:codex.e4
e4	51	urn:cite:hmt:e4.26r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 26r	urn:cite:hmt:codex.e4
e4	52	urn:cite:hmt:e4.26v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 26v	urn:cite:hmt:codex.e4
e4	53	urn:cite:hmt:e4.27r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 27r	urn:cite:hmt:codex.e4
e4	54	urn:cite:hmt:e4.27v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 27v	urn:cite:hmt:codex.e4
e4	55	urn:cite:hmt:e4.28r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 28r	urn:cite:hmt:codex.e4
e4	56	urn:cite:hmt:e4.28v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 28v	urn:cite:hmt:codex.e4
e4	57	urn:cite:hmt:e4.29r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 29r	urn:cite:hmt:codex.e4
e4	58	urn:cite:hmt:e4.29v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 29v	urn:cite:hmt:codex.e4
e4	59	urn:cite:hmt:e4.30r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 30r	urn:cite:hmt:codex.e4
e4	60	urn:cite:hmt:e4.30v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 30v	urn:cite:hmt:codex.e4
e4	61	urn:cite:hmt:e4.31r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 31r	urn:cite:hmt:codex.e4
e4	62	urn:cite:hmt:e4.31v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 31v	urn:cite:hmt:codex.e4
e4	63	urn:cite:hmt:e4.32r	recto	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 32r	urn:cite:hmt:codex.e4
e4	64	urn:cite:hmt:e4.32v	verso	Escorialensis 509 (Ω.I.12, Allen E4, or West F), folio 32v	urn:cite:hmt:codex.e4
