Lemma	Gloss	LexURN
ἐρωτάω	ask	urn:cite:perseusGreek:lexentity.lex111265.1
ἔρομαι	ask, inquire	urn:cite:perseusGreek:lexentity.lex113787.1
βοηθός	assisting, auxiliary	urn:cite:perseusGreek:lexentity.lex14308.1
ἄλλοτε	at another time	urn:cite:perseusGreek:lexentity.lex98617.1
τέγεος	at or near the roof	urn:cite:perseusGreek:lexentity.lex72879.1
ἕκηλος	at rest, at one's ease	urn:cite:perseusGreek:lexentity.lex113919.1
νειόθι	at the bottom	urn:cite:perseusGreek:lexentity.lex47399.1
ἐνίοτε	at times, sometimes	urn:cite:perseusGreek:lexentity.lex104823.1
πειράω	attempt, endeavour, try	urn:cite:perseusGreek:lexentity.lex53858.1
σεπτός	august	urn:cite:perseusGreek:lexentity.lex65080.1
πρέσβα	august, honoured	urn:cite:perseusGreek:lexentity.lex59059.1
αἴσιος	auspicious, opportune	urn:cite:perseusGreek:lexentity.lex12266.1
ἐγείρω	awaken, rouse	urn:cite:perseusGreek:lexentity.lex102020.1
γέφυρα	b	urn:cite:perseusGreek:lexentity.lex15606.1
μαστός	b	urn:cite:perseusGreek:lexentity.lex42744.1
βρέφος	babe in the womb, foetus	urn:cite:perseusGreek:lexentity.lex14838.1
σπυράς	ball of dung	urn:cite:perseusGreek:lexentity.lex67297.1
δεσμός	band, bond, anything for tying and fastening	urn:cite:perseusGreek:lexentity.lex18554.1
φολκός	bandy-legged	urn:cite:perseusGreek:lexentity.lex78781.1
λυγρός	baneful, mournful	urn:cite:perseusGreek:lexentity.lex41257.1
ἀκτάζω	banquet on the shore, enjoy oneself	urn:cite:perseusGreek:lexentity.lex85430.1
σκηνάω	banqueters	urn:cite:perseusGreek:lexentity.lex66011.1
φλοιός	bark	urn:cite:perseusGreek:lexentity.lex78577.1
ἀκοστή	barley	urn:cite:perseusGreek:lexentity.lex85098.1
ἄρκτος	bear	urn:cite:perseusGreek:lexentity.lex99161.1
καρπόω	bear fruit or bear as fruit	urn:cite:perseusGreek:lexentity.lex31331.1
φθονέω	bear ill-will or malice, grudge, be envious	urn:cite:perseusGreek:lexentity.lex77516.1
κυδιάω	bear oneself proudly, exult	urn:cite:perseusGreek:lexentity.lex37681.1
ἐμφέρω	bear or bring in	urn:cite:perseusGreek:lexentity.lex104676.1
δοκεύς	bearing-beam, main beam	urn:cite:perseusGreek:lexentity.lex21647.1
κάλλος	beauty	urn:cite:perseusGreek:lexentity.lex29258.1
κάστωρ	beaver, Castor fiber	urn:cite:perseusGreek:lexentity.lex29434.1
σμῆνος	beehive	urn:cite:perseusGreek:lexentity.lex66772.1
γεννάω	beget	urn:cite:perseusGreek:lexentity.lex16074.1
γονεύς	begetter, father	urn:cite:perseusGreek:lexentity.lex16764.1
ὑπάρχω	begin, take the initiative	urn:cite:perseusGreek:lexentity.lex123038.1
ἐξάρχω	begin, take the lead in, initiate	urn:cite:perseusGreek:lexentity.lex106095.1
ὅρκιος	belonging to an oath	urn:cite:perseusGreek:lexentity.lex122034.1
ξένιος	belonging to friendship and hospitality, hospitable	urn:cite:perseusGreek:lexentity.lex48673.1
ἀγκύλη	bend of the arm or wrist	urn:cite:perseusGreek:lexentity.lex83436.1
κάμψις	bending	urn:cite:perseusGreek:lexentity.lex29304.1
κλίσις	bending, inclination	urn:cite:perseusGreek:lexentity.lex35050.1
ἀγκάλη	bent arm	urn:cite:perseusGreek:lexentity.lex83362.1
ἀρείων	better, stouter, braver	urn:cite:perseusGreek:lexentity.lex95013.1
πενθέω	bewail, lament	urn:cite:perseusGreek:lexentity.lex54030.1
σιγάζω	bid	urn:cite:perseusGreek:lexentity.lex65258.1
ἐνάπτω	bind on or to	urn:cite:perseusGreek:lexentity.lex104779.1
ἐφάπτω	bind on or to	urn:cite:perseusGreek:lexentity.lex111472.1
συνδέω	bind or tie together	urn:cite:perseusGreek:lexentity.lex70407.1
δίδημι	bind, fetter	urn:cite:perseusGreek:lexentity.lex17518.1
ἀναδέω	bind, iie up, wreath	urn:cite:perseusGreek:lexentity.lex87950.1
ὄρνεον	bird	urn:cite:perseusGreek:lexentity.lex121867.1
κύστις	bladder	urn:cite:perseusGreek:lexentity.lex38674.1
ὄνομαι	blame, find fault with, treat scornfully	urn:cite:perseusGreek:lexentity.lex121820.1
ἄμωμος	blameless	urn:cite:perseusGreek:lexentity.lex98753.1
ἀμύμων	blameless, noble, excellent	urn:cite:perseusGreek:lexentity.lex87318.1
πνεῦμα	blast, wind	urn:cite:perseusGreek:lexentity.lex57138.1
τυφλός	blind	urn:cite:perseusGreek:lexentity.lex76573.1
βρότος	blood that has run from a wound, gore	urn:cite:perseusGreek:lexentity.lex15191.1
ἐμπνέω	blow or breathe upon	urn:cite:perseusGreek:lexentity.lex104539.1
φυσιάω	blow, puff, snort, breathe hard, pant	urn:cite:perseusGreek:lexentity.lex79385.1
κάπρος	boar	urn:cite:perseusGreek:lexentity.lex29350.1
ἀπειλή	boastful promises, boasts	urn:cite:perseusGreek:lexentity.lex92220.1
ἐννεάς	body of nine	urn:cite:perseusGreek:lexentity.lex105537.1
θρασύς	bold	urn:cite:perseusGreek:lexentity.lex28555.1
κόλπος	bosom, lap	urn:cite:perseusGreek:lexentity.lex38400.1
φάλαρα	bosses	urn:cite:perseusGreek:lexentity.lex76782.1
ἔδαφος	bottom, foundation, base	urn:cite:perseusGreek:lexentity.lex112989.1
πύκτης	boxer	urn:cite:perseusGreek:lexentity.lex64124.1
κλάδος	branch, shoot	urn:cite:perseusGreek:lexentity.lex35003.1
κολῳάω	brawl, scold	urn:cite:perseusGreek:lexentity.lex36068.1
κολῳός	brawling, wrangling	urn:cite:perseusGreek:lexentity.lex36069.1
ἄγνυμι	break, shiver	urn:cite:perseusGreek:lexentity.lex98245.1
στῆθος	breast	urn:cite:perseusGreek:lexentity.lex68660.1
ἐκπνέω	breathe out or forth	urn:cite:perseusGreek:lexentity.lex103368.1
συνάγω	bring together, gather together	urn:cite:perseusGreek:lexentity.lex69880.1
ἄναξις	bringing up, raising up	urn:cite:perseusGreek:lexentity.lex98774.1
φράτρα	brotherhood	urn:cite:perseusGreek:lexentity.lex78932.1
πολίζω	build a city	urn:cite:perseusGreek:lexentity.lex57456.1
τειχέω	build walls	urn:cite:perseusGreek:lexentity.lex73619.1
κυρτός	bulging, swelling	urn:cite:perseusGreek:lexentity.lex38106.1
ταῦρος	bull	urn:cite:perseusGreek:lexentity.lex73585.1
βότρυς	bunch of grapes	urn:cite:perseusGreek:lexentity.lex15434.1
ἄρκιον	burdock, Arctium Lappa	urn:cite:perseusGreek:lexentity.lex99155.1
ἐγκαίω	burn or heat in	urn:cite:perseusGreek:lexentity.lex102074.1
ταρχύω	bury solemnly	urn:cite:perseusGreek:lexentity.lex73361.1
βρομέω	buzz	urn:cite:perseusGreek:lexentity.lex15064.1
κακκάω	cacare	urn:cite:perseusGreek:lexentity.lex30151.1
πόρτις	calf, young heifer	urn:cite:perseusGreek:lexentity.lex64083.1
ἅλωσις	capture	urn:cite:perseusGreek:lexentity.lex99616.1
κηδεία	care	urn:cite:perseusGreek:lexentity.lex34542.1
ἐκφέρω	carry out of	urn:cite:perseusGreek:lexentity.lex103685.1
πορίζω	carry, bring	urn:cite:perseusGreek:lexentity.lex58751.1
ὀδυνάω	cause	urn:cite:perseusGreek:lexentity.lex118607.1
ζημιόω	cause loss or do damage to, penalize	urn:cite:perseusGreek:lexentity.lex26845.1
ἐρείδω	cause to lean, prop	urn:cite:perseusGreek:lexentity.lex110923.1
βιβάζω	cause to mount, exalt	urn:cite:perseusGreek:lexentity.lex13994.1
πλανάω	cause to wander	urn:cite:perseusGreek:lexentity.lex56601.1
ἄχυρον	chaff, bran, husks	urn:cite:perseusGreek:lexentity.lex99554.1
ἀχυρός	chaff-heap	urn:cite:perseusGreek:lexentity.lex97453.1
νόστος	chance of returning to	urn:cite:perseusGreek:lexentity.lex48583.1
ἀλλαγή	change	urn:cite:perseusGreek:lexentity.lex85886.1
ἀνδρόω	change into a man	urn:cite:perseusGreek:lexentity.lex89171.1
ἀμείβω	change, exchange	urn:cite:perseusGreek:lexentity.lex86409.1
δίφρος	chariot-board	urn:cite:perseusGreek:lexentity.lex17707.1
δίωξις	chase, pursuit	urn:cite:perseusGreek:lexentity.lex17736.1
φαῦλος	cheap, easy, slight, paltry	urn:cite:perseusGreek:lexentity.lex77284.1
ἀπατάω	cheat, deceive	urn:cite:perseusGreek:lexentity.lex92136.1
κολάζω	check, chastise	urn:cite:perseusGreek:lexentity.lex35877.1
παρειά	cheek	urn:cite:perseusGreek:lexentity.lex53006.1
εὔφρων	cheerful, merry	urn:cite:perseusGreek:lexentity.lex26593.1
τέκνον	child	urn:cite:perseusGreek:lexentity.lex72888.1
παιδία	childhood	urn:cite:perseusGreek:lexentity.lex50619.1
ἐκλογή	choice, selection	urn:cite:perseusGreek:lexentity.lex103127.1
τέττιξ	cicala, Cicada plebeia	urn:cite:perseusGreek:lexentity.lex72973.1
φρήτρη	clan	urn:cite:perseusGreek:lexentity.lex78945.1
δηλαδή	clearly, manifestly	urn:cite:perseusGreek:lexentity.lex18672.1
ἁδινός	close, thick	urn:cite:perseusGreek:lexentity.lex97633.1
ἀδινός	close-packed	urn:cite:perseusGreek:lexentity.lex84109.1
φυλλόω	clothe with leaves	urn:cite:perseusGreek:lexentity.lex79328.1
νεφέλη	cloud, mass of clouds	urn:cite:perseusGreek:lexentity.lex47734.1
κορύνη	club	urn:cite:perseusGreek:lexentity.lex36433.1
κλέπτω	clěpere	urn:cite:perseusGreek:lexentity.lex35028.1
σάκκος	coarse cloth of hair	urn:cite:perseusGreek:lexentity.lex64260.1
λάρναξ	coffer, box, chest	urn:cite:perseusGreek:lexentity.lex38857.1
ψυχρός	cold	urn:cite:perseusGreek:lexentity.lex82774.1
ἄχροος	colourless	urn:cite:perseusGreek:lexentity.lex99546.1
ἕνωσις	combination into one, union	urn:cite:perseusGreek:lexentity.lex113965.1
τελέθω	come into being	urn:cite:perseusGreek:lexentity.lex73720.1
καθήκω	come or go down	urn:cite:perseusGreek:lexentity.lex29795.1
ἀρχεύω	command	urn:cite:perseusGreek:lexentity.lex95674.1
ἐφετμή	command, behest	urn:cite:perseusGreek:lexentity.lex111585.1
κοινός	common	urn:cite:perseusGreek:lexentity.lex35802.1
κοινόω	communicate, impart	urn:cite:perseusGreek:lexentity.lex35806.1
κλόνος	confused motion, turmoil	urn:cite:perseusGreek:lexentity.lex35404.1
τριάζω	conquer, vanquish	urn:cite:perseusGreek:lexentity.lex75468.1
θέασις	contemplation	urn:cite:perseusGreek:lexentity.lex27241.1
ἀθλεύω	contend for a prize	urn:cite:perseusGreek:lexentity.lex84575.1
ἀγωνία	contest, struggle for victory	urn:cite:perseusGreek:lexentity.lex83822.1
ἀζηχής	continuous	urn:cite:perseusGreek:lexentity.lex84438.1
ὀαρίζω	converse or chat with	urn:cite:perseusGreek:lexentity.lex118476.1
μετάγω	convey from one place to another, transfer	urn:cite:perseusGreek:lexentity.lex44022.1
χαλκός	copper	urn:cite:perseusGreek:lexentity.lex80085.1
νεκρός	corpse	urn:cite:perseusGreek:lexentity.lex47453.1
ψηφίζω	count, reckon	urn:cite:perseusGreek:lexentity.lex82508.1
θάρσος	courage	urn:cite:perseusGreek:lexentity.lex27230.1
θράσος	courage	urn:cite:perseusGreek:lexentity.lex28484.1
δρόμος	course, race	urn:cite:perseusGreek:lexentity.lex22252.1
πυκάζω	cover closely	urn:cite:perseusGreek:lexentity.lex63482.1
σκεπάω	cover, shelter	urn:cite:perseusGreek:lexentity.lex65946.1
δειλός	cowardly	urn:cite:perseusGreek:lexentity.lex18144.1
κτυπέω	crash	urn:cite:perseusGreek:lexentity.lex37542.1
κτύπος	crash, bang, din	urn:cite:perseusGreek:lexentity.lex37547.1
κισσάω	crave for strange food	urn:cite:perseusGreek:lexentity.lex34928.1
ἰχανάω	crave, yearn	urn:cite:perseusGreek:lexentity.lex116849.1
θαμέες	crowded, close-set	urn:cite:perseusGreek:lexentity.lex27452.1
τιτίζω	cry 'ti, ti', cheep	urn:cite:perseusGreek:lexentity.lex74699.1
κραυγή	crying, screaming, shouting	urn:cite:perseusGreek:lexentity.lex36945.1
γύαλος	cubical stone	urn:cite:perseusGreek:lexentity.lex17264.1
αἴτιος	culpable, responsible	urn:cite:perseusGreek:lexentity.lex12270.1
κατάρα	curse	urn:cite:perseusGreek:lexentity.lex31692.1
ἐκτομή	cutting out, excision	urn:cite:perseusGreek:lexentity.lex103615.1
ὀστέον	d)Fr.	urn:cite:perseusGreek:lexentity.lex120408.1
χορεύω	dance a round or choral dance	urn:cite:perseusGreek:lexentity.lex81238.1
σκοτόω	darken, blind	urn:cite:perseusGreek:lexentity.lex66412.1
κνέφας	darkness	urn:cite:perseusGreek:lexentity.lex35462.1
σκοτία	darkness, gloom	urn:cite:perseusGreek:lexentity.lex66371.1
σκότος	darkness, gloom	urn:cite:perseusGreek:lexentity.lex66599.1
πρᾶγμα	deed, act	urn:cite:perseusGreek:lexentity.lex63188.1
ἔλαφος	deer, Cervus elaphus	urn:cite:perseusGreek:lexentity.lex113221.1
λύθρον	defilement from blood, gore	urn:cite:perseusGreek:lexentity.lex41584.1
ἀμέρδω	deprive, bereave	urn:cite:perseusGreek:lexentity.lex86253.1
στερέω	deprive, bereave, rob	urn:cite:perseusGreek:lexentity.lex67814.1
βένθος	depth	urn:cite:perseusGreek:lexentity.lex13186.1
λαῖτμα	depth or gulf	urn:cite:perseusGreek:lexentity.lex39634.1
ἐρῆμος	desolate, lonely, solitary	urn:cite:perseusGreek:lexentity.lex111309.1
συλεύω	despoil of arms	urn:cite:perseusGreek:lexentity.lex69235.1
φθείρω	destroy	urn:cite:perseusGreek:lexentity.lex77458.1
ὄλλυμι	destroy, make an end of	urn:cite:perseusGreek:lexentity.lex121765.1
πορθέω	destroy, ravage, plunder	urn:cite:perseusGreek:lexentity.lex58764.1
ὀρύσσω	dig	urn:cite:perseusGreek:lexentity.lex120377.1
θρῆνος	dirge, lament	urn:cite:perseusGreek:lexentity.lex28718.1
βλάπτω	disable, hinder	urn:cite:perseusGreek:lexentity.lex14109.1
νόσημα	disease	urn:cite:perseusGreek:lexentity.lex48579.1
ἐλέγχω	disgrace, put to shame	urn:cite:perseusGreek:lexentity.lex103834.1
ἀτιμάω	dishonour, disdain	urn:cite:perseusGreek:lexentity.lex96716.1
ἀτιμία	dishonour, disgrace	urn:cite:perseusGreek:lexentity.lex96717.1
ἀπιθέω	disobeyed	urn:cite:perseusGreek:lexentity.lex92488.1
ταραχή	disorder	urn:cite:perseusGreek:lexentity.lex73307.1
τάφρος	ditch, trench	urn:cite:perseusGreek:lexentity.lex72872.1
μερίζω	divide, distribute	urn:cite:perseusGreek:lexentity.lex43772.1
μάντις	diviner, seer, prophet	urn:cite:perseusGreek:lexentity.lex41771.1
δασμός	division of spoil	urn:cite:perseusGreek:lexentity.lex17983.1
πρᾶξις	doing, transaction, business	urn:cite:perseusGreek:lexentity.lex63191.1
δράκων	dragon, serpent	urn:cite:perseusGreek:lexentity.lex22005.1
ἀφύσσω	draw	urn:cite:perseusGreek:lexentity.lex97295.1
αὐερύω	draw back or backwards	urn:cite:perseusGreek:lexentity.lex12314.1
ὑδρεύω	draw fetch, or carry water	urn:cite:perseusGreek:lexentity.lex122677.1
ἐκσπάω	draw out	urn:cite:perseusGreek:lexentity.lex103512.1
ἐξερύω	draw out of	urn:cite:perseusGreek:lexentity.lex106623.1
ἐξέλκω	draw, drag out	urn:cite:perseusGreek:lexentity.lex106106.1
σπονδή	drink-offering	urn:cite:perseusGreek:lexentity.lex67223.1
κλονέω	drive tumultuously or in confusion	urn:cite:perseusGreek:lexentity.lex35315.1
ἐλαύνω	drive, set in motion	urn:cite:perseusGreek:lexentity.lex103997.1
διίημι	drive, thrust or pass through	urn:cite:perseusGreek:lexentity.lex19156.1
ἐλατήρ	driver	urn:cite:perseusGreek:lexentity.lex103948.1
χέρσος	dry land	urn:cite:perseusGreek:lexentity.lex79789.1
δυικός	dual	urn:cite:perseusGreek:lexentity.lex22305.1
βασκάς	duck	urn:cite:perseusGreek:lexentity.lex13734.1
καιρός	due measure, proportion, fitness	urn:cite:perseusGreek:lexentity.lex30100.1
κόνιος	dusty	urn:cite:perseusGreek:lexentity.lex38437.1
ξανθόω	dye yellow	urn:cite:perseusGreek:lexentity.lex48717.1
λύκιον	dyer's buckthorn, Rhamnus petiolaris	urn:cite:perseusGreek:lexentity.lex41591.1
στάχυς	ear of corn	urn:cite:perseusGreek:lexentity.lex67360.1
πρώιος	early	urn:cite:perseusGreek:lexentity.lex63174.1
ἠέριος	early, at or with early morn	urn:cite:perseusGreek:lexentity.lex114689.1
ῥᾴδιος	easy, ready	urn:cite:perseusGreek:lexentity.lex127589.1
κατέδω	eat up, devour	urn:cite:perseusGreek:lexentity.lex31818.1
ἑλικός	eddying	urn:cite:perseusGreek:lexentity.lex112148.1
ἀελλής	eddying	urn:cite:perseusGreek:lexentity.lex84305.1
ὄγδοος	eighth	urn:cite:perseusGreek:lexentity.lex121712.1
ἐλέφας	elephant	urn:cite:perseusGreek:lexentity.lex103835.1
ἕνδεκα	eleven	urn:cite:perseusGreek:lexentity.lex113959.1
πτελέα	elm, Ulmus glabra	urn:cite:perseusGreek:lexentity.lex63263.1
ἀλλαχῆ	elsewhere, in another place	urn:cite:perseusGreek:lexentity.lex85903.1
χρῆσις	employment, use	urn:cite:perseusGreek:lexentity.lex81868.1
κεινός	empty; vain, idle	urn:cite:perseusGreek:lexentity.lex33998.1
κυκλόω	encircle, surround	urn:cite:perseusGreek:lexentity.lex37753.1
δουλόω	enslave	urn:cite:perseusGreek:lexentity.lex21947.1
εὐωχέω	entertain sumptuously	urn:cite:perseusGreek:lexentity.lex26144.1
ὀπίσσω	epic for ὀπίσω.	urn:cite:perseusGreek:lexentity.lex119603.1
θεόφιν	epic gen. and dat. sg. and pl. of θεός.	urn:cite:perseusGreek:lexentity.lex28127.1
στόλος	equipment	urn:cite:perseusGreek:lexentity.lex68619.1
ἐδαφόω	establish	urn:cite:perseusGreek:lexentity.lex102525.1
ἐξεράω	evacuate	urn:cite:perseusGreek:lexentity.lex106590.1
καίπερ	even	urn:cite:perseusGreek:lexentity.lex29719.1
ὁμαλός	even, level	urn:cite:perseusGreek:lexentity.lex121048.1
δόρπον	evening meal	urn:cite:perseusGreek:lexentity.lex23439.1
πώποτε	ever yet	urn:cite:perseusGreek:lexentity.lex64186.1
ἁπάντῃ	everywhere	urn:cite:perseusGreek:lexentity.lex97964.1
κομιδῇ	exactly, just	urn:cite:perseusGreek:lexentity.lex36093.1
ἐξολκή	extraction	urn:cite:perseusGreek:lexentity.lex106821.1
ἡγήτωρ	f	urn:cite:perseusGreek:lexentity.lex114956.1
πλακόω	face with	urn:cite:perseusGreek:lexentity.lex56598.1
ἀφανέω	fail to put in an appearance	urn:cite:perseusGreek:lexentity.lex96964.1
νοητός	falling within the province of	urn:cite:perseusGreek:lexentity.lex48126.1
πτῶσις	falling, fall	urn:cite:perseusGreek:lexentity.lex63431.1
ψεῦδος	falsehood, lie	urn:cite:perseusGreek:lexentity.lex82474.1
μακράν	far	urn:cite:perseusGreek:lexentity.lex42271.1
ἕκατος	far-shooting	urn:cite:perseusGreek:lexentity.lex113917.1
ἀρθρόω	fasten by a joint	urn:cite:perseusGreek:lexentity.lex95063.1
ἀνείρω	fasten on or to, string	urn:cite:perseusGreek:lexentity.lex89186.1
ἑκυρός	father-in-law	urn:cite:perseusGreek:lexentity.lex112091.1
δεινός	fearful, terrible	urn:cite:perseusGreek:lexentity.lex18179.1
πτερόν	feathers	urn:cite:perseusGreek:lexentity.lex63314.1
τροφός	feeder, rearer	urn:cite:perseusGreek:lexentity.lex76120.1
φρυγία	female roaster	urn:cite:perseusGreek:lexentity.lex79127.1
ὑσμίνη	fight, battle, combat	urn:cite:perseusGreek:lexentity.lex125564.1
κνισάω	fill with the savour of burnt sacrifice	urn:cite:perseusGreek:lexentity.lex35547.1
τυκτός	finished, wrought out	urn:cite:perseusGreek:lexentity.lex76402.1
πρῶτος	first	urn:cite:perseusGreek:lexentity.lex63214.1
ἰχθυάω	fish, angle	urn:cite:perseusGreek:lexentity.lex116851.1
ἁρμόζω	fit together, join	urn:cite:perseusGreek:lexentity.lex98085.1
τέκμαρ	fixed mark or boundary, goal, end	urn:cite:perseusGreek:lexentity.lex72886.1
θωπεύω	flatter, wheedle	urn:cite:perseusGreek:lexentity.lex29032.1
πτῆσις	flight	urn:cite:perseusGreek:lexentity.lex63429.1
πλοῖον	floating vessel	urn:cite:perseusGreek:lexentity.lex57040.1
προρέω	flow forward or forth, flow amain	urn:cite:perseusGreek:lexentity.lex60823.1
θρόνον	flowers embroidered on cloth	urn:cite:perseusGreek:lexentity.lex28695.1
πτηνός	flying, winged	urn:cite:perseusGreek:lexentity.lex63328.1
ὀπηδέω	follow, accompany, attend	urn:cite:perseusGreek:lexentity.lex119612.1
μασητά	food which has to be chewed	urn:cite:perseusGreek:lexentity.lex42679.1
ἀνάγκη	force, constraint, necessity	urn:cite:perseusGreek:lexentity.lex87357.1
βίαιος	forcible, violent	urn:cite:perseusGreek:lexentity.lex13204.1
οἴομαι	forebode, presage	urn:cite:perseusGreek:lexentity.lex49613.1
πρόμος	foremost man	urn:cite:perseusGreek:lexentity.lex62890.1
φυλάζω	form into tribes	urn:cite:perseusGreek:lexentity.lex79243.1
πλάσσω	form, mould	urn:cite:perseusGreek:lexentity.lex56472.1
αὐτίκα	forthwith, at once, in a moment	urn:cite:perseusGreek:lexentity.lex12481.1
πρόσσω	forward, in the future	urn:cite:perseusGreek:lexentity.lex63062.1
ἐκλέπω	free from shell or rind, peel	urn:cite:perseusGreek:lexentity.lex103070.1
φίλιος	friendly	urn:cite:perseusGreek:lexentity.lex76906.1
οἰόθεν	from Oeum	urn:cite:perseusGreek:lexentity.lex49563.1
ἄνωθεν	from above, from on high	urn:cite:perseusGreek:lexentity.lex98935.1
ἕκαθεν	from afar	urn:cite:perseusGreek:lexentity.lex113915.1
ἄποθεν	from afar	urn:cite:perseusGreek:lexentity.lex99042.1
ἄπωθεν	from afar or afar	urn:cite:perseusGreek:lexentity.lex99090.1
ἔνερθε	from beneath, up from below	urn:cite:perseusGreek:lexentity.lex113470.1
ὑπόδρα	from under	urn:cite:perseusGreek:lexentity.lex125279.1
ἔσωθεν	from within	urn:cite:perseusGreek:lexentity.lex113840.1
ἔξωθεν	from without or abroad	urn:cite:perseusGreek:lexentity.lex113678.1
οἰκείω	from οἰκειόω	urn:cite:perseusGreek:lexentity.lex49160.1
μεστός	full	urn:cite:perseusGreek:lexentity.lex43952.1
πλήρης	full of	urn:cite:perseusGreek:lexentity.lex56517.1
λαῖλαψ	furious storm, hurricane	urn:cite:perseusGreek:lexentity.lex39629.1
λάβρος	furious, boisterous	urn:cite:perseusGreek:lexentity.lex38778.1
τριχόω	furnish or cover with hair	urn:cite:perseusGreek:lexentity.lex76026.1
κέρδος	gain, profit	urn:cite:perseusGreek:lexentity.lex29542.1
ἔνδυμα	garment	urn:cite:perseusGreek:lexentity.lex113461.1
συκάζω	gather or pluck ripe figs	urn:cite:perseusGreek:lexentity.lex69158.1
ἀγείρω	gather together	urn:cite:perseusGreek:lexentity.lex83301.1
λεκτός	gathered, chosen, picked out	urn:cite:perseusGreek:lexentity.lex39808.1
πάομαι	get, acquire	urn:cite:perseusGreek:lexentity.lex50140.1
πυργόω	gird or fence with towers	urn:cite:perseusGreek:lexentity.lex63704.1
νεᾶνις	girl, maiden	urn:cite:perseusGreek:lexentity.lex47912.1
δίδωμι	give freely	urn:cite:perseusGreek:lexentity.lex17525.1
στίλβω	glitter, gleam	urn:cite:perseusGreek:lexentity.lex67434.1
ἀγάλλω	glorify, exalt	urn:cite:perseusGreek:lexentity.lex83121.1
ἄγαλμα	glory, delight, honour	urn:cite:perseusGreek:lexentity.lex98196.1
κολλάω	glue, cement	urn:cite:perseusGreek:lexentity.lex35919.1
ἀντιάω	go for the purpose of meeting or receiving	urn:cite:perseusGreek:lexentity.lex90600.1
βλώσκω	go or come	urn:cite:perseusGreek:lexentity.lex14259.1
νέομαι	go or come	urn:cite:perseusGreek:lexentity.lex46959.1
νοστέω	go or come home, return	urn:cite:perseusGreek:lexentity.lex48255.1
φοιτάω	go to and fro, backwards and forwards	urn:cite:perseusGreek:lexentity.lex78764.1
ἄνειμι	go up	urn:cite:perseusGreek:lexentity.lex98810.1
οἰχνέω	go, come	urn:cite:perseusGreek:lexentity.lex49532.1
κέντωρ	goader, driver	urn:cite:perseusGreek:lexentity.lex29530.1
φύκιος	god of sea-wrack	urn:cite:perseusGreek:lexentity.lex79606.1
δαίμων	god, goddess	urn:cite:perseusGreek:lexentity.lex17751.1
ἄφοδος	going away, departure	urn:cite:perseusGreek:lexentity.lex99483.1
χρυσός	gold	urn:cite:perseusGreek:lexentity.lex81798.1
ἐσθλός	good	urn:cite:perseusGreek:lexentity.lex111324.1
εὐωχία	good cheer, feasting	urn:cite:perseusGreek:lexentity.lex26145.1
εὐήθης	good-hearted, simple-minded, guileless	urn:cite:perseusGreek:lexentity.lex24470.1
ἀγαθός	good:	urn:cite:perseusGreek:lexentity.lex83202.1
εὔνοια	goodwill, favour	urn:cite:perseusGreek:lexentity.lex26396.1
σιτίον	grain, corn	urn:cite:perseusGreek:lexentity.lex65543.1
υἱωνός	grandson	urn:cite:perseusGreek:lexentity.lex76752.1
νομάζω	graze	urn:cite:perseusGreek:lexentity.lex48137.1
πλῆθος	great number, multitude	urn:cite:perseusGreek:lexentity.lex57095.1
κνημίς	greave, legging	urn:cite:perseusGreek:lexentity.lex35511.1
χλωρός	greenish-yellow, pale green	urn:cite:perseusGreek:lexentity.lex81033.1
ἀγαπάω	greet with affection	urn:cite:perseusGreek:lexentity.lex83255.1
πολιός	grey, grizzled, grisly	urn:cite:perseusGreek:lexentity.lex57556.1
πένθος	grief, sorrow	urn:cite:perseusGreek:lexentity.lex50307.1
βουβών	groin	urn:cite:perseusGreek:lexentity.lex14525.1
μελάνω	grow black	urn:cite:perseusGreek:lexentity.lex43338.1
μεδέων	guardian, ruler	urn:cite:perseusGreek:lexentity.lex43134.1
εὐθύνω	guide straight, direct	urn:cite:perseusGreek:lexentity.lex25093.1
χάλαζα	hail	urn:cite:perseusGreek:lexentity.lex79711.1
ἥμισυς	half	urn:cite:perseusGreek:lexentity.lex115727.1
παρέχω	hand over	urn:cite:perseusGreek:lexentity.lex51893.1
ὄλβιος	happy, blest	urn:cite:perseusGreek:lexentity.lex121754.1
ἐγγύθι	hard by, near	urn:cite:perseusGreek:lexentity.lex102011.1
βλάψις	harming, damage	urn:cite:perseusGreek:lexentity.lex14118.1
σπουδή	haste, speed	urn:cite:perseusGreek:lexentity.lex67270.1
στυγέω	hate, abhor	urn:cite:perseusGreek:lexentity.lex68538.1
ἐχθρός	hated, hateful	urn:cite:perseusGreek:lexentity.lex111780.1
ἠιόεις	haunting the shore	urn:cite:perseusGreek:lexentity.lex114750.1
ἐννοέω	have in one's thoughts, consider, reflect	urn:cite:perseusGreek:lexentity.lex105589.1
χατίζω	have need of, crave	urn:cite:perseusGreek:lexentity.lex80339.1
κύριος	having power or authority over	urn:cite:perseusGreek:lexentity.lex38656.1
τράγος	he-goat	urn:cite:perseusGreek:lexentity.lex75037.1
κεφαλή	head	urn:cite:perseusGreek:lexentity.lex34474.1
κορυφή	head, top	urn:cite:perseusGreek:lexentity.lex36396.1
ἄκεσις	healing, cure	urn:cite:perseusGreek:lexentity.lex98448.1
καρδία	heart	urn:cite:perseusGreek:lexentity.lex31192.1
βριθύς	heavy	urn:cite:perseusGreek:lexentity.lex15040.1
