Lemma	Gloss	LexURN
ἄζω	@	urn:cite:perseusGreek:lexentity.lex98364.1
ἄνα	@	urn:cite:perseusGreek:lexentity.lex98757.1
ἅλς	@	urn:cite:perseusGreek:lexentity.lex99611.1
ἕψω	Acut. (Sp.	urn:cite:perseusGreek:lexentity.lex114013.1
ἐγώ	I at least, for my part, indeed, for myself	urn:cite:perseusGreek:lexentity.lex102510.1
φύς	a son	urn:cite:perseusGreek:lexentity.lex79638.1
ἤρα	acceptable gifts, kindnesses	urn:cite:perseusGreek:lexentity.lex115702.1
ὀψέ	after a long time, at length, late	urn:cite:perseusGreek:lexentity.lex120705.1
φεῦ	alas!	urn:cite:perseusGreek:lexentity.lex77418.1
ἠδέ	and	urn:cite:perseusGreek:lexentity.lex114702.1
ἰδέ	and	urn:cite:perseusGreek:lexentity.lex116092.1
ἆρα	anxiety or impatience	urn:cite:perseusGreek:lexentity.lex99661.1
ἰωή	any loud sound: shout	urn:cite:perseusGreek:lexentity.lex116945.1
τις	any one, any thing	urn:cite:perseusGreek:lexentity.lex74696.1
πού	anywhere, somewhere	urn:cite:perseusGreek:lexentity.lex59019.1
ἅμα	at once, at the same time	urn:cite:perseusGreek:lexentity.lex99618.1
ἀρή	bane, ruin	urn:cite:perseusGreek:lexentity.lex94759.1
κρῖ	barley	urn:cite:perseusGreek:lexentity.lex37448.1
θήρ	beast of prey	urn:cite:perseusGreek:lexentity.lex27315.1
ἐπί	being upon or supported upon a surface	urn:cite:perseusGreek:lexentity.lex107170.1
ἄτη	bewilderment, infatuation	urn:cite:perseusGreek:lexentity.lex99385.1
βία	bodily strength, force	urn:cite:perseusGreek:lexentity.lex13203.1
ζέω	boil, seethe	urn:cite:perseusGreek:lexentity.lex26684.1
φύω	bring forth, produce, put forth	urn:cite:perseusGreek:lexentity.lex79658.1
ὅπη	by which or what way, in which	urn:cite:perseusGreek:lexentity.lex122011.1
ὤρα	care, concern	urn:cite:perseusGreek:lexentity.lex126529.1
οὖν	certainly, in fact; so, then; then, therefore	urn:cite:perseusGreek:lexentity.lex49939.1
μύω	close, be shut	urn:cite:perseusGreek:lexentity.lex46825.1
ἵκω	come	urn:cite:perseusGreek:lexentity.lex117783.1
ἄγε	come on!	urn:cite:perseusGreek:lexentity.lex98215.1
κύω	conceive	urn:cite:perseusGreek:lexentity.lex38691.1
ἠώς	dawn	urn:cite:perseusGreek:lexentity.lex114936.1
χρῆ	desires	urn:cite:perseusGreek:lexentity.lex81865.1
ἔρα	earth	urn:cite:perseusGreek:lexentity.lex113749.1
ἔδω	eat	urn:cite:perseusGreek:lexentity.lex112992.1
σώω	epic for σώζω.	urn:cite:perseusGreek:lexentity.lex72782.1
αἶα	epic form used for γαῖα metri grat., Hom., Trag.; never in pl.	urn:cite:perseusGreek:lexentity.lex12276.1
ἀεί	ever, always	urn:cite:perseusGreek:lexentity.lex84197.1
πῦρ	fire	urn:cite:perseusGreek:lexentity.lex64222.1
βόα	fish	urn:cite:perseusGreek:lexentity.lex15377.1
πῶυ	flock	urn:cite:perseusGreek:lexentity.lex64232.1
νάω	flow	urn:cite:perseusGreek:lexentity.lex46931.1
ῥέω	flow, run, stream, gush	urn:cite:perseusGreek:lexentity.lex126766.1
γάρ	for	urn:cite:perseusGreek:lexentity.lex15537.1
δήν	for a long while	urn:cite:perseusGreek:lexentity.lex17474.1
ὕλη	forest, woodland	urn:cite:perseusGreek:lexentity.lex125896.1
ὑπό	from under	urn:cite:perseusGreek:lexentity.lex125231.1
ἀπό	from, away from	urn:cite:perseusGreek:lexentity.lex94359.1
ἄνη	fulfilment	urn:cite:perseusGreek:lexentity.lex98824.1
κίω	go	urn:cite:perseusGreek:lexentity.lex29709.1
αἴξ	goat	urn:cite:perseusGreek:lexentity.lex12258.1
θεά	goddess	urn:cite:perseusGreek:lexentity.lex27548.1
ἐύς	good, brave, noble	urn:cite:perseusGreek:lexentity.lex111838.1
πόα	grass	urn:cite:perseusGreek:lexentity.lex64005.1
φυή	growth, stature	urn:cite:perseusGreek:lexentity.lex79180.1
ἄορ	hanger or sword hung in a belt	urn:cite:perseusGreek:lexentity.lex98963.1
θίς	heap	urn:cite:perseusGreek:lexentity.lex27333.1
κῆρ	heart	urn:cite:perseusGreek:lexentity.lex38744.1
μιν	him, her, it	urn:cite:perseusGreek:lexentity.lex45141.1
