URN	Label	Description	Pleiades
urn:cite:hmt:place.place71	Sidon	Phoenician city	pleiades.stoa.org/places/678393
urn:cite:hmt:place.place72	Caucasus	mountains separating Turkey from central Europe	pleiades.stoa.org/places/863766
urn:cite:hmt:place.place73	Thesprotia	shrine housed an oracle	pleiades.stoa.org/places/531117
urn:cite:hmt:place.place74	Ashkelon	also spelled Ascalon, coastal city in modern Israel	pleiades.stoa.org/places/687839
urn:cite:hmt:place.place75	Lycia	region in Anatolia	pleiades.stoa.org/places/638965
urn:cite:hmt:place.place76	Attica	region containing Athens/a regional dialect	pleiades.stoa.org/places/579888
urn:cite:hmt:place.place77	Aeolic	northern dialect	pleiades.stoa.org/places/1332
urn:cite:hmt:place.place78	Doric/Dorian	dialect encompassing a large part of Greece including the Peloponeese	pleiades.stoa.org/places/540740
urn:cite:hmt:place.place79	Ionia	region in Western Turkey	pleiades.stoa.org/places/550597
urn:cite:hmt:place.place80	Ephesus	Greek city in Ionia	pleiades.stoa.org/places/599612
urn:cite:hmt:place.place81	Arctic Circle	North pole	
urn:cite:hmt:place.place82	Antarctic Circle	South pole	
urn:cite:hmt:place.place83	Nablus	city in the Western Bank of modern day Israel (Neapolis)	pleiades.stoa.org/places/678301
urn:cite:hmt:place.place84	Phaestus	city on Crete	pleiades.stoa.org/places/589987
urn:cite:hmt:place.place85	Caria	region in Western Anatolia	pleiades.stoa.org/places/991381
urn:cite:hmt:place.place86	Sardis	capital of Lydia	pleiades.stoa.org/places/550867
urn:cite:hmt:place.place87	Lydia	kingdom east of Ionia	pleiades.stoa.org/places/991385
urn:cite:hmt:place.place88	Zeleia	town allied to Troy, at the foot of Mt. Ida	pleiades.stoa.org/places/511461
urn:cite:hmt:place.place89	Mt. Ida	mountain in the Troad	pleiades.stoa.org/places/550402
urn:cite:hmt:place.place90	Hyle	a town in Boeotia	pleiades.stoa.org/places/540825
urn:cite:hmt:place.place91	Hyde	a town on Mt. Tmolus in Lydia (possibly the later Sardis)	pleiades.stoa.org/places/550867
urn:cite:hmt:place.place92	Simois River	flows into the Scamander River	pleiades.stoa.org/places/550883
urn:cite:hmt:place.place93	Scamander River	river rising from Mt. Ida	pleiades.stoa.org/places/550871
urn:cite:hmt:place.place94	Acheron	river of the nether world	
urn:cite:hmt:place.place95	Locris	Opuntia, region in central Greece	pleiades.stoa.org/places/540918
urn:cite:hmt:place.place96	Achaea	region of Greece in the NW part of the Peloponese	pleiades.stoa.org/places/570028
urn:cite:hmt:place.place97	Emathoes	river near Pylos	
urn:cite:hmt:place.place98	Cyprus	Greek Island	pleiades.stoa.org/places/981516
urn:cite:hmt:place.place99	Abydus		pleiades.stoa.org/places/501325
urn:cite:hmt:place.place100	Euboea	the island separated from Boeotia by the Eur?pus, named by Homer as the home of the Abantes	pleiades.stoa.org/places/540775
urn:cite:hmt:place.place101	Aegina	Island off the western coast of Attica	pleiades.stoa.org/places/579844
urn:cite:hmt:place.place102	Bosporus	Strait in Turkey	pleiades.stoa.org/places/520977
urn:cite:hmt:place.place103	Aegean Sea	part of the Mediterranean Sea, near Greece	pleiades.stoa.org/places/560221
urn:cite:hmt:place.place104	Myrtoan Sea	part of the Aegean, between the Cyclades and the Peloponnese	pleiades.stoa.org/places/570495
urn:cite:hmt:place.place105	Istros	Greek city in modern day Romania on Black Sea	pleiades.stoa.org/places/446253
urn:cite:hmt:place.place106	Alexandria	city in Egypt	pleiades.stoa.org/places/727070
urn:cite:hmt:place.place107	Calydon	city in Aeolia	pleiades.stoa.org/places/540699
urn:cite:hmt:place.place108	Icarian Sea		pleiades.stoa.org/places/599668
urn:cite:hmt:place.place109	Sicily		pleiades.stoa.org/places/462492
urn:cite:hmt:place.place110	Camicus	city in Sicily	pleiades.stoa.org/places/465929
urn:cite:hmt:place.place111	Persia		pleiades.stoa.org/places/922698
urn:cite:hmt:place.place112	Aegospotami	Small river issuing from the Hellespont	pleiades.stoa.org/places/501336
urn:cite:hmt:place.place113	Cnidos	Greek settlement in modern day Turkey	pleiades.stoa.org/places/599575
urn:cite:hmt:place.place114	Argos		pleiades.stoa.org/places/570106
urn:cite:hmt:place.place115	Gerena	Nestor's city	pleiades.stoa.org/places/256181
urn:cite:hmt:place.place116	Cayster River	Kaustros, small river in Turkey near Ephesus	pleiades.stoa.org/places/550492
urn:cite:hmt:place.place117	Megara	city in Attica	pleiades.stoa.org/places/570468
urn:cite:hmt:place.place118	Salamis	city in Cyprus	pleiades.stoa.org/places/580101
urn:cite:hmt:place.place119	Mycale	a promontory in lydia Minor, opposite Samos	pleiades.stoa.org/places/599805
urn:cite:hmt:place.place120	Miletus	city in the Anatolia province of modern-day Turkey	pleiades.stoa.org/places/599799
urn:cite:hmt:place.place121	Meander	river of Caria	pleiades.stoa.org/places/599777
urn:cite:hmt:place.place122	Phtheron	a mountain in Caria	
urn:cite:hmt:place.place123	Priene	city in Ionia	pleiades.stoa.org/places/599905
urn:cite:hmt:place.place124	Arisbe	town in the Troad	pleiades.stoa.org/places/501359
urn:cite:hmt:place.place125	Sestus	Sestos, Thracian city on the Hellespont, opposite Ab?dus	pleiades.stoa.org/places/501609
urn:cite:hmt:place.place126	Aetolia		pleiades.stoa.org/places/540591
urn:cite:hmt:place.place127	Phoenica		pleiades.stoa.org/places/991410
