URN, CtsUrn, Comments, VisualEvidence, FolioUrn
"urn:cite:hmt:scholia.2907","urn:cts:greekLit:tlg5026.msA.hmt:3.199","","urn:cite:hmt:chsimg.VA044RN-0045@0.13927782,0.80138313,0.47678703,0.01825726","urn:cite:hmt:msA.44r"
"urn:cite:hmt:scholia.2908","urn:cts:greekLit:tlg5026.msA.hmt:3.691","","urn:cite:hmt:chsimg.VA044RN-0045@0.14296242,0.81521438,0.59543110,0.02876902","urn:cite:hmt:msA.44r"
"urn:cite:hmt:scholia.2909","urn:cts:greekLit:tlg5026.msA.hmt:3.206","","urn:cite:hmt:chsimg.VA044VN-0546@0.22918202,0.11147994,0.64775239,0.06058091","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2910","urn:cts:greekLit:tlg5026.msA.hmt:3.211","","urn:cite:hmt:chsimg.VA044VN-0546@0.22641857,0.16334716,0.64830508,0.02821577","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2911","urn:cts:greekLit:tlg5026.msA.hmt:3.216","","urn:cite:hmt:chsimg.VA044VN-0546@0.22752395,0.21479945,0.20836404,0.05062241","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2912","urn:cts:greekLit:tlg5026.msA.hmt:3.229","","urn:cite:hmt:chsimg.VA044VN-0546@0.20596905,0.26044260,0.23876197,0.10497925","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2913","urn:cts:greekLit:tlg5026.msA.hmt:3.227","","urn:cite:hmt:chsimg.VA044VN-0546@0.23636699,0.51977870,0.20670597,0.05145228","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2914","urn:cts:greekLit:tlg5026.msA.hmt:3.235","","urn:cite:hmt:chsimg.VA044VN-0546@0.23526161,0.57455048,0.21389094,0.10082988","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2915","urn:cts:greekLit:tlg5026.msA.hmt:3.233","","urn:cite:hmt:chsimg.VA044VN-0546@0.23691968,0.70608575,0.64830508,0.07344398","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2916","urn:cts:greekLit:tlg5026.msA.hmt:3.245","","urn:cite:hmt:chsimg.VA044VN-0546@0.22918202,0.76002766,0.66046426,0.05311203","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2917","urn:cts:greekLit:tlg5026.msA.hmt:3.246","","urn:cite:hmt:chsimg.VA044VN-0546@0.23305085,0.78907331,0.64333088,0.05767635","urn:cite:hmt:msA.44v"
"urn:cite:hmt:scholia.2918","urn:cts:greekLit:tlg5026.msA.hmt:3.252","","urn:cite:hmt:chsimg.VA045RN-0046@0.14333088,0.10580913,0.60851142,0.04481328","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2919","urn:cts:greekLit:tlg5026.msA.hmt:3.254","","urn:cite:hmt:chsimg.VA045RN-0046@0.14112012,0.14066390,0.60630066,0.07012448","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2920","urn:cts:greekLit:tlg5026.msA.hmt:3.256","","urn:cite:hmt:chsimg.VA045RN-0046@0.54734709,0.20871369,0.21278556,0.10663900","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2921","urn:cts:greekLit:tlg5026.msA.hmt:3.275","","urn:cite:hmt:chsimg.VA045RN-0046@0.55011054,0.31078838,0.21057480,0.23609959","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2922","urn:cts:greekLit:tlg5026.msA.hmt:3.263","","urn:cite:hmt:chsimg.VA045RN-0046@0.54568902,0.54730290,0.21168018,0.04481328","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2923","urn:cts:greekLit:tlg5026.msA.hmt:3.276","","urn:cite:hmt:chsimg.VA045RN-0046@0.55674282,0.60995851,0.20283714,0.07302905","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2924","urn:cts:greekLit:tlg5026.msA.hmt:3.285","","urn:cite:hmt:chsimg.VA045RN-0046@0.13117170,0.68174274,0.62343405,0.06348548","urn:cite:hmt:msA.45r"
