OccurrrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.797	797	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.434
urn:cite:hmt:venAsign.798	798	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.435
urn:cite:hmt:venAsign.799	799	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.436
urn:cite:hmt:venAsign.800	800	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.437
urn:cite:hmt:venAsign.801	801	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.438
urn:cite:hmt:venAsign.802	802	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.439
urn:cite:hmt:venAsign.803	803	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.448
urn:cite:hmt:venAsign.804	804	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.457
urn:cite:hmt:venAsign.805	805	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.459
urn:cite:hmt:venAsign.806	806	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.464
urn:cite:hmt:venAsign.807	807	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.472
urn:cite:hmt:venAsign.808	808	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.490
urn:cite:hmt:venAsign.809	809	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.491
urn:cite:hmt:venAsign.810	810	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.492
urn:cite:hmt:venAsign.811	811	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.493
urn:cite:hmt:venAsign.812	812	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.506
urn:cite:hmt:venAsign.813	813	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.506
urn:cite:hmt:venAsign.814	814	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.507
urn:cite:hmt:venAsign.815	815	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.507
urn:cite:hmt:venAsign.816	816	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.508
urn:cite:hmt:venAsign.817	817	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.509
urn:cite:hmt:venAsign.818	818	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.510
urn:cite:hmt:venAsign.819	819	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:6.511
urn:cite:hmt:venAsign.820	820	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.512
urn:cite:hmt:venAsign.821	821	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.514
urn:cite:hmt:venAsign.822	822	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.518
urn:cite:hmt:venAsign.823	823	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.5
urn:cite:hmt:venAsign.824	824	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.6
urn:cite:hmt:venAsign.825	825	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.8
urn:cite:hmt:venAsign.826	826	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.9
urn:cite:hmt:venAsign.827	827	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.10
urn:cite:hmt:venAsign.828	828	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.12
urn:cite:hmt:venAsign.829	829	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.16
urn:cite:hmt:venAsign.830	830	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.20
urn:cite:hmt:venAsign.831	831	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.22
urn:cite:hmt:venAsign.832	832	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.32
urn:cite:hmt:venAsign.833	833	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.39
urn:cite:hmt:venAsign.834	834	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.41
urn:cite:hmt:venAsign.835	835	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.44
urn:cite:hmt:venAsign.836	836	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.46
urn:cite:hmt:venAsign.837	837	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.53
urn:cite:hmt:venAsign.838	838	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.64
urn:cite:hmt:venAsign.839	839	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.75
urn:cite:hmt:venAsign.840	840	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.79
urn:cite:hmt:venAsign.841	841	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.80
urn:cite:hmt:venAsign.842	842	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.82
urn:cite:hmt:venAsign.843	843	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.86
urn:cite:hmt:venAsign.844	844	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.89
urn:cite:hmt:venAsign.845	845	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.102
urn:cite:hmt:venAsign.846	846	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.111
urn:cite:hmt:venAsign.847	847	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.114
urn:cite:hmt:venAsign.848	848	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.116
urn:cite:hmt:venAsign.849	849	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.127
urn:cite:hmt:venAsign.850	850	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.133
urn:cite:hmt:venAsign.851	851	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.135
urn:cite:hmt:venAsign.852	852	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.136
urn:cite:hmt:venAsign.853	853	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.138
urn:cite:hmt:venAsign.854	854	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.146
urn:cite:hmt:venAsign.855	855	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.148
urn:cite:hmt:venAsign.856	856	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.149
urn:cite:hmt:venAsign.857	857	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.153
urn:cite:hmt:venAsign.858	858	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.156
urn:cite:hmt:venAsign.859	859	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.161
urn:cite:hmt:venAsign.860	860	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.171
urn:cite:hmt:venAsign.861	861	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.175
urn:cite:hmt:venAsign.862	862	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.180
urn:cite:hmt:venAsign.863	863	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.182
urn:cite:hmt:venAsign.864	864	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.187
urn:cite:hmt:venAsign.865	865	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.195
urn:cite:hmt:venAsign.866	866	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.196
urn:cite:hmt:venAsign.867	867	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.197
urn:cite:hmt:venAsign.868	868	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.198
urn:cite:hmt:venAsign.869	869	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.199
urn:cite:hmt:venAsign.870	870	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.202
urn:cite:hmt:venAsign.871	871	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.221
urn:cite:hmt:venAsign.872	872	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.239
urn:cite:hmt:venAsign.873	873	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:7.250
urn:cite:hmt:venAsign.874	874	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.255
urn:cite:hmt:venAsign.875	875	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.273
urn:cite:hmt:venAsign.876	876	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.276
urn:cite:hmt:venAsign.877	877	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:7.282
urn:cite:hmt:venAsign.878	878	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.293
urn:cite:hmt:venAsign.879	879	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:7.293
urn:cite:hmt:venAsign.880	880	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.295
urn:cite:hmt:venAsign.881	881	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.303
urn:cite:hmt:venAsign.882	882	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.305
urn:cite:hmt:venAsign.883	883	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.306
urn:cite:hmt:venAsign.884	884	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.312
urn:cite:hmt:venAsign.885	885	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.314
urn:cite:hmt:venAsign.886	886	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.319
urn:cite:hmt:venAsign.887	887	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.328
urn:cite:hmt:venAsign.888	888	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.330
urn:cite:hmt:venAsign.889	889	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.333
urn:cite:hmt:venAsign.890	890	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.334
urn:cite:hmt:venAsign.891	891	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.335
urn:cite:hmt:venAsign.892	892	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.339
urn:cite:hmt:venAsign.893	893	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.345
urn:cite:hmt:venAsign.894	894	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.353
urn:cite:hmt:venAsign.895	895	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.390
urn:cite:hmt:venAsign.896	896	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.392
urn:cite:hmt:venAsign.897	897	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.393
urn:cite:hmt:venAsign.898	898	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:7.398
urn:cite:hmt:venAsign.899	899	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:7.399
urn:cite:hmt:venAsign.900	900	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.407
urn:cite:hmt:venAsign.901	901	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.413
urn:cite:hmt:venAsign.902	902	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.429
urn:cite:hmt:venAsign.903	903	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.433
urn:cite:hmt:venAsign.904	904	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.436
urn:cite:hmt:venAsign.905	905	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.443
urn:cite:hmt:venAsign.906	906	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.444
urn:cite:hmt:venAsign.907	907	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.445
urn:cite:hmt:venAsign.908	908	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.446
urn:cite:hmt:venAsign.909	909	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.447
urn:cite:hmt:venAsign.910	910	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.447
urn:cite:hmt:venAsign.911	911	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.448
urn:cite:hmt:venAsign.912	912	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.449
urn:cite:hmt:venAsign.913	913	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.450
urn:cite:hmt:venAsign.914	914	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.451
urn:cite:hmt:venAsign.915	915	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.452
urn:cite:hmt:venAsign.916	916	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.453
urn:cite:hmt:venAsign.917	917	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.453
urn:cite:hmt:venAsign.918	918	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.454
urn:cite:hmt:venAsign.919	919	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.455
urn:cite:hmt:venAsign.920	920	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.456
urn:cite:hmt:venAsign.921	921	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.457
urn:cite:hmt:venAsign.922	922	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.458
urn:cite:hmt:venAsign.923	923	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.459
urn:cite:hmt:venAsign.924	924	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.460
urn:cite:hmt:venAsign.925	925	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.461
urn:cite:hmt:venAsign.926	926	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.462
urn:cite:hmt:venAsign.927	927	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.463
urn:cite:hmt:venAsign.928	928	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.464
urn:cite:hmt:venAsign.929	929	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.465
urn:cite:hmt:venAsign.930	930	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.473
urn:cite:hmt:venAsign.931	931	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.474
urn:cite:hmt:venAsign.932	932	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:7.475
urn:cite:hmt:venAsign.933	933	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.1
urn:cite:hmt:venAsign.934	934	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.3
urn:cite:hmt:venAsign.935	935	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.16
urn:cite:hmt:venAsign.936	936	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.19
urn:cite:hmt:venAsign.937	937	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.22
urn:cite:hmt:venAsign.938	938	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.25
urn:cite:hmt:venAsign.939	939	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.26
urn:cite:hmt:venAsign.940	940	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.28
urn:cite:hmt:venAsign.941	941	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.29
urn:cite:hmt:venAsign.942	942	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.30
urn:cite:hmt:venAsign.943	943	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.31
urn:cite:hmt:venAsign.944	944	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.32
urn:cite:hmt:venAsign.945	945	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.33
urn:cite:hmt:venAsign.946	946	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.34
urn:cite:hmt:venAsign.947	947	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.28
urn:cite:hmt:venAsign.948	948	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.29
urn:cite:hmt:venAsign.949	949	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.30
urn:cite:hmt:venAsign.950	950	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.31
urn:cite:hmt:venAsign.951	951	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.32
urn:cite:hmt:venAsign.952	952	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.33
urn:cite:hmt:venAsign.953	953	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.34
urn:cite:hmt:venAsign.954	954	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.35
urn:cite:hmt:venAsign.955	955	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.36
urn:cite:hmt:venAsign.956	956	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.37
urn:cite:hmt:venAsign.957	957	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.38
urn:cite:hmt:venAsign.958	958	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.39
urn:cite:hmt:venAsign.959	959	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.39
urn:cite:hmt:venAsign.960	960	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.40
urn:cite:hmt:venAsign.961	961	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:8.40
urn:cite:hmt:venAsign.962	962	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.43
urn:cite:hmt:venAsign.963	963	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.46
urn:cite:hmt:venAsign.964	964	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.47
urn:cite:hmt:venAsign.965	965	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.53
urn:cite:hmt:venAsign.966	966	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.56
urn:cite:hmt:venAsign.967	967	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.58
urn:cite:hmt:venAsign.968	968	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.60
urn:cite:hmt:venAsign.969	969	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.62
urn:cite:hmt:venAsign.970	970	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.65
urn:cite:hmt:venAsign.971	971	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.66
urn:cite:hmt:venAsign.972	972	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.68
urn:cite:hmt:venAsign.973	973	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.70
urn:cite:hmt:venAsign.974	974	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.73
urn:cite:hmt:venAsign.975	975	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.74
urn:cite:hmt:venAsign.976	976	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.89
urn:cite:hmt:venAsign.977	977	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.93
urn:cite:hmt:venAsign.978	978	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.97
urn:cite:hmt:venAsign.979	979	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.99
urn:cite:hmt:venAsign.980	980	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.106
urn:cite:hmt:venAsign.981	981	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.107
urn:cite:hmt:venAsign.982	982	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.108
urn:cite:hmt:venAsign.983	983	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.109
urn:cite:hmt:venAsign.984	984	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.114
urn:cite:hmt:venAsign.985	985	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.124
urn:cite:hmt:venAsign.986	986	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.125
urn:cite:hmt:venAsign.987	987	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.128
urn:cite:hmt:venAsign.988	988	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.130
urn:cite:hmt:venAsign.989	989	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.131
urn:cite:hmt:venAsign.990	990	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.139
urn:cite:hmt:venAsign.991	991	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.149
urn:cite:hmt:venAsign.992	992	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.150
urn:cite:hmt:venAsign.993	993	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.163
urn:cite:hmt:venAsign.994	994	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.164
urn:cite:hmt:venAsign.995	995	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.165
urn:cite:hmt:venAsign.996	996	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.166
urn:cite:hmt:venAsign.997	997	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.168
urn:cite:hmt:venAsign.998	998	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.185
urn:cite:hmt:venAsign.999	999	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.186
urn:cite:hmt:venAsign.1000	1000	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:8.189
urn:cite:hmt:venAsign.1001	1001	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.193
urn:cite:hmt:venAsign.1002	1002	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.199
urn:cite:hmt:venAsign.1003	1003	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.206
urn:cite:hmt:venAsign.1004	1004	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:8.207
urn:cite:hmt:venAsign.1005	1005	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:8.209
