codex,description,pageModel
urn:cite:hmt:codices.msA,Venetus A: Marcianus Graecus Z. 454 (= 822),
urn:cite:hmt:codices.msB,Venetus B: Marcianus Graecus Z. 453 (= 821),
urn:cite:hmt:codices.u4,U4 (Allen): Marcianus Graecus Z. 458 (= 841),
urn:cite:hmt:codices.villoison,Villoison Homeri Ilias (Venice 1788),
urn:cite:hmt:codices.e3,Escorialensis 291 (Υ.i.1),
urn:cite:hmt:codices.e4,Escorialensis 509 (Ω.i.12)
urn:cite:hmt:codices.comp,"Domenico Comparetti, Homeri Ilias cum Scholiis (1901 facsimile edition of Venetus A)",

