PersonUrn	Label	Description
urn:cite:hmt:pers.pers89	Machaon	physician on the Greek side, son of Ascleipius
urn:cite:hmt:pers.pers90	Dictys	Dictys Cretensis
urn:cite:hmt:pers.pers91	Tyndareus	Spartan king, father of Helen
urn:cite:hmt:pers.pers92	Leda	wife of Tyndareus
urn:cite:hmt:pers.pers93	Thestius	father of Leda
urn:cite:hmt:pers.pers94	Helen	of Troy, wife of Menelaus, abducted by Paris
urn:cite:hmt:pers.pers95	Elpenor	comrade of Odysseus
urn:cite:hmt:pers.pers96	Circe	witch who turns Odysseus and comrades into animals
urn:cite:hmt:pers.pers97	Euripides	Greek tragedian
urn:cite:hmt:pers.pers98	Ptolemy	son of Oroandes
urn:cite:hmt:pers.pers99	Prometheus	stole fire from the gods, liver eaten daily by a bird
urn:cite:hmt:pers.pers100	Deucalion	son of Promethus
urn:cite:hmt:pers.pers101	Pyrrha	daughter of Epimetheus and Pandora
urn:cite:hmt:pers.pers102	Epimetheus	brother of Prometheus
urn:cite:hmt:pers.pers103	Pandora	first woman, unleashed all evils upon man
urn:cite:hmt:pers.pers104	Hermes	messenger of the gods
urn:cite:hmt:pers.pers105	Tyrannion	Greek grammarian
urn:cite:hmt:pers.pers106	Zoilus	Greek grammarian, 4th century BC
urn:cite:hmt:pers.pers107	Chrysippus	of Soli (the Stoic), 3rd century BC
urn:cite:hmt:pers.pers108	Chryseis	also called Astynome
urn:cite:hmt:pers.pers109	Lycophron	tragic poet and grammarian
urn:cite:hmt:pers.pers110	Alexander	of Cotiaeum
urn:cite:hmt:pers.pers111	Scamander	river god on the Trojan side, called Xanthus by the gods
urn:cite:hmt:pers.pers112	Sosigenes	?
urn:cite:hmt:pers.pers113	Briseis	slave girl of Achilles
urn:cite:hmt:pers.pers114	Polyboea	see Philonome
urn:cite:hmt:pers.pers115	Cheiron	the centaur, teacher of Achilles
urn:cite:hmt:pers.pers116	Hera	queen of the gods, goddess of marriage
urn:cite:hmt:pers.pers117	Nestor	son of Neleus, oldest man among the Greeks at Troy
urn:cite:hmt:pers.pers118	Odysseus	hero of the Odyssey, inventor of the Trojan horse
urn:cite:hmt:pers.pers119	Menelaus	king of Sparta, brother of Agamemnon
urn:cite:hmt:pers.pers120	Aegialeus	ruler of a district of the Peleponnese called Aegialeus, founder of Aegialea
urn:cite:hmt:pers.pers121	Inachus	river god, father of Aegialeus
urn:cite:hmt:pers.pers122	Melia	wife of Inachus
urn:cite:hmt:pers.pers123	Oceanus	father of Melia
urn:cite:hmt:pers.pers124	Apis	King of Argos
urn:cite:hmt:pers.pers125	Phoroneus	father of Apis
urn:cite:hmt:pers.pers126	Argus	hundred-eyed giant
urn:cite:hmt:pers.pers127	Ajax	son of Telamon (Great)
urn:cite:hmt:pers.pers128	Centauros	son of Ixion, ancestor of the Centaurs
urn:cite:hmt:pers.pers129	Paris	also called Alexander
urn:cite:hmt:pers.pers130	Aegina	nymph of the island Aegina
urn:cite:hmt:pers.pers131	Aeacus	son of Zeus and Aegina, father of Peleus
urn:cite:hmt:pers.pers132	Asopus	Aegina's father
urn:cite:hmt:pers.pers133	Sisyphus	inhabitant of Tartarus, always pushes up a bolder that roles back down
urn:cite:hmt:pers.pers134	Amalthea	she-goat nurse of Zeus
urn:cite:hmt:pers.pers135	Metis	titan of wisdom, mother of Athena
urn:cite:hmt:pers.pers136	Seleucus	of Nicator, late 4th-early 3rd century BC
urn:cite:hmt:pers.pers137	Plato	founder of the Academy
urn:cite:hmt:pers.pers138	Alkmin	son of Amphiareus, one of the Epigonoi
urn:cite:hmt:pers.pers139	Cronus	Kronos, titan of time, father of Zeus
urn:cite:hmt:pers.pers140	Lycaon	son of Priam
urn:cite:hmt:pers.pers141	Philoxenus	Greek dithyrambic poet
urn:cite:hmt:pers.pers142	Aeneas	Trojan prince, hero of the Aeneid
urn:cite:hmt:pers.pers143	Hecamede	daughter of Arsinus, Nestor's captive
urn:cite:hmt:pers.pers144	Merops	a seer and king of Percote (allies of Troy)
urn:cite:hmt:pers.pers145	Priam	king of Troy, father of Hector and Paris
urn:cite:hmt:pers.pers146	Hyperion	titan of light, father of Helius
urn:cite:hmt:pers.pers147	Helius	titan of the sun, son of Hyperion
urn:cite:hmt:pers.pers148	Pirithous	King of the Lapiths
urn:cite:hmt:pers.pers149	Exadius	one of the Lapiths
urn:cite:hmt:pers.pers150	Oileus	father of Ajax (the lesser)
urn:cite:hmt:pers.pers151	Ixion	one of the Lapiths, inhabitant of Tartarus, always spins on a fiery wheel
urn:cite:hmt:pers.pers152	Hippodamia	wife of Pirithous
urn:cite:hmt:pers.pers153	Caeneus	one of the Lapiths
urn:cite:hmt:pers.pers154	Elatus	one of the Lapiths
urn:cite:hmt:pers.pers155	Phlegyas	son of Ares, king of the Lapiths
urn:cite:hmt:pers.pers156	Eris	personification of strife, threw the golden apple
urn:cite:hmt:pers.pers157	Cydoemus	personification of confusion in battle
urn:cite:hmt:pers.pers158	Patroclus	son of Menoetius, comrade of Achilles
urn:cite:hmt:pers.pers159	Talthybius	a herald of Agamemnon
urn:cite:hmt:pers.pers160	Eurybates	a herald of Agamemnon
urn:cite:hmt:pers.pers161	Pulaimenes	king of the Paphlagonians, Trojan ally
urn:cite:hmt:pers.pers162	Eteonus	son of Boethous, companion of Menelaus
urn:cite:hmt:pers.pers163	Aristonicus	of Alexandria
urn:cite:hmt:pers.pers164	Pandrosus	daughter of Cecrops
urn:cite:hmt:pers.pers165	Cecrops	mythical king of Athens
urn:cite:hmt:pers.pers166	Ceryx	son of Pandrosus and Hermes
urn:cite:hmt:pers.pers167	Clio	muses of history
urn:cite:hmt:pers.pers168	Nereus	shapeshifting sea god
urn:cite:hmt:pers.pers169	Pamphilus	of Alexandria
urn:cite:hmt:pers.pers170	Eetion	king of Thebe in the Troad, father of Andromache
urn:cite:hmt:pers.pers171	Andromache	wife of Hector
urn:cite:hmt:pers.pers172	Hector	Trojan prince, greatest of the warriors of Troy
urn:cite:hmt:pers.pers173	Hyas	seems to be father of Merops?
urn:cite:hmt:pers.pers 174	Briareus	also called Aegaeon, one of the hundred-handed giants
urn:cite:hmt:pers.pers175	Didymus	Didymus Chalcenterus
urn:cite:hmt:pers.pers176	Posidonius	The stoic, not Poseidon
urn:cite:hmt:pers.pers177	Memnon	Ethiopian king, Trojan ally
urn:cite:hmt:pers.pers178	Sophocles	greek Tragedian
urn:cite:hmt:pers.pers179	Dia	Ixion's wife
urn:cite:hmt:pers.pers180	Ganymedes	lover of Zeus and cup-bearer of the gods
urn:cite:hmt:pers.pers181	Hebe	goddess of youth and cup-bearer of the gods
urn:cite:hmt:pers.pers182	Orus	of Alexandria
urn:cite:hmt:pers.pers183	Theophrastus	head of the Peripatetic school after Aristotle
urn:cite:hmt:pers.pers184	Peleus	father of Achilles
urn:cite:hmt:pers.pers185	Philitas	of Cos, Alexandrian scholar, Greek poet
urn:cite:hmt:pers.pers186	Phidias	Greek sculptor
urn:cite:hmt:pers.pers187	Altes	king of the Leleges
urn:cite:hmt:pers.pers188	Lycurgus	of Sparta, legendary lawgiver
urn:cite:hmt:pers.pers189	Proteus	an old shapeshifting sea-god
urn:cite:hmt:pers.pers190	Phorcys	sea-god, father of the Phorcydes
urn:cite:hmt:pers.pers191	Callistratus	Alexandrian poet and grammarian
urn:cite:hmt:pers.pers192	Hephaestus	god of fire and metallurgy
urn:cite:hmt:pers.pers193	Graces	group of three goddesses
urn:cite:hmt:pers.pers194	Aphrodite	goddess of love, also called, Venus and Cypris
urn:cite:hmt:pers.pers195	Sarpedon	son of Zeus, king of Lycia (allies of Troy), slain by Patroclus
urn:cite:hmt:pers.pers196	Zethus	son of Zeus by Antiope, twin of Amphion
urn:cite:hmt:pers.pers197	Amphion	son of Zeus by Antiope, twin of Zethus
urn:cite:hmt:pers.pers198	Minos	king of Crete, father of Ariadne
urn:cite:hmt:pers.pers199	Rhadamanthys	son of Zeus by Europa, renowned for wisdom and justice
urn:cite:hmt:pers.pers200	Perseus	hero who slew Medusa and saved Andromeda
urn:cite:hmt:pers.pers201	Hades	god of the underworld
urn:cite:hmt:pers.pers202	Ephialtes	son of Poseidon, one of the Aloadae, brother of Otus
urn:cite:hmt:pers.pers203	Otus	son of Poseidon, one of the Aloadae, brother of Ephialtes
urn:cite:hmt:pers.pers204	Neleus	son of Poseidon, father of Nestor
urn:cite:hmt:pers.pers205	Aeolus	son of Hellen and Orseis, father of Xuthus
urn:cite:hmt:pers.pers206	Dryops	son of Priam, slain by Achilles
urn:cite:hmt:pers.pers207	Theagenes	of Rhegium, 6th c. BC literary critic
urn:cite:hmt:pers.pers208	Rhea	mother of Zeus et al.
urn:cite:hmt:pers.pers209	Hestia	goddess of the hearth
urn:cite:hmt:pers.pers210	Demeter	goddess of grain
urn:cite:hmt:pers.pers211	Dionysius	Thrax
urn:cite:hmt:pers.pers212	Merion	son of Molus, Cretan charioteer of Idomeneus
urn:cite:hmt:pers.pers213	Aegeus	father of Theseus, archaic king of Athens
urn:cite:hmt:pers.pers214	Typhon	son of Gaia, Father of All Monsters
urn:cite:hmt:pers.pers215	Diomedes	king of Argos
urn:cite:hmt:pers.pers216	Pandarus	Trojan archer, son of Lycaon
urn:cite:hmt:pers.pers217	Automedon	son of Diores, charioteer of Achilles
urn:cite:hmt:pers.pers218	Alcimedon	son of Laerceus, one of the commanders of the Myrmidons under Patroclus
urn:cite:hmt:pers.pers219	Enyo	personification of battle, companion of Ares
urn:cite:hmt:pers.pers220	Tros	ancestor of the Trojans
urn:cite:hmt:pers.pers221	Parmeniscus	pupil of Aristarchus
urn:cite:hmt:pers.pers222	Thoas	Trojan slain by Menelaus
urn:cite:hmt:pers.pers223	Dares	priest of Hephaestus
urn:cite:hmt:pers.pers224	Druas	father of Lycurgus
urn:cite:hmt:pers.pers225	Aeschylus	Greek tragedian
urn:cite:hmt:pers.pers226	Pheres	Uncle of Jason
urn:cite:hmt:pers.pers227	Idaeus	Son of Dardanus
urn:cite:hmt:pers.pers228	Stesichorus	Lyric poet
urn:cite:hmt:pers.pers229	Odius	King of the Halizonians
urn:cite:hmt:pers.pers230	Tychius	Wrought a shield for Ajax
urn:cite:hmt:pers.pers231	Dolius	Slave of Penelope
urn:cite:hmt:pers.pers232	Chromius	son of Priam
urn:cite:hmt:pers.pers233	Alcinous	King of Phaeacians
urn:cite:hmt:pers.pers234	Alius	Son of Alcinous
urn:cite:hmt:pers.pers235	Anius	son of Apollo and Rhoeo
urn:cite:hmt:pers.pers236	Euphorion	grammarian
urn:cite:hmt:pers.pers237	Phaestus	Son of Borus the Maeonian
urn:cite:hmt:pers.pers238	Tecton	A carpenter, father of Phereclus
urn:cite:hmt:pers.pers239	Phereclus	Son of Tecton
urn:cite:hmt:pers.pers240	Phemius	Minstrel, son of Terpes
urn:cite:hmt:pers.pers241	Ibycus	Greek lyric poet
urn:cite:hmt:pers.pers242	Pedaius	Son of Antenor
urn:cite:hmt:pers.pers243	Teucer	Son of Telamon
urn:cite:hmt:pers.pers244	Eurypylus	Son of Euaemon
urn:cite:hmt:pers.pers245	Abron	proverbial rich Argive man
urn:cite:hmt:pers.pers246	Trophonius	son of Erginus
urn:cite:hmt:pers.pers247	Nicias	?
urn:cite:hmt:pers.pers248	Heracleon	?
urn:cite:hmt:pers.pers249	Eurypylus	son of Telephus
urn:cite:hmt:pers.pers250	Ixion	scholar (on 9v)
urn:cite:hmt:pers.pers251	Tydeus	one of the seven against Thebes
urn:cite:hmt:pers.pers252	Melanippus	one of the seven defenders of Thebes
