PersonUrn	Label	Description
urn:cite:hmt:pers.pers392	Polybus	son of Antenor
urn:cite:hmt:pers.pers393	Oebalus	king of Sparta, son of Cynortas, father of Tyndareus
urn:cite:hmt:pers.pers394	Perieres	the father of Borus
urn:cite:hmt:pers.pers395	Icarius	brother of Tyndareus, father of Penelope
urn:cite:hmt:pers.pers396	Hippokoon	son of the Spartan King Oebalus and Bateia. His brothers (or half-brothers) were Tyndareus and Icarius.
urn:cite:hmt:pers.pers397	Hippocoontidae	sons of Hippokoon
urn:cite:hmt:pers.pers398	Castor	brother of Polydeuces and Helen
urn:cite:hmt:pers.pers399	Polydeuces	brother of Castor and Helen
urn:cite:hmt:pers.pers400	Cretheus	of Iolcus, the husband of Tyro
urn:cite:hmt:pers.pers401	Arne	consort Poseidon
urn:cite:hmt:pers.pers402	Cadmus	
urn:cite:hmt:pers.pers403	Europa	
urn:cite:hmt:pers.pers404	Pelias	son of Poseidon and Tyro, king of Iolcus
urn:cite:hmt:pers.pers405	Phoenix	father/brother of Europa
urn:cite:hmt:pers.pers406	Jason	an Aiolid, son of Aison, of Iolkos, leader of the Argonauts, reared by Cheiron
urn:cite:hmt:pers.pers407	Amythaon	son of Cretheus and Tyro and brother of Aeson and Pheres.
urn:cite:hmt:pers.pers408	Pelagon	king of Phocis
urn:cite:hmt:pers.pers409	Aeputus	son of Elatos, king of Phaisana in Arkadia
urn:cite:hmt:pers.pers410	Harmonia	wife of Cadmus
urn:cite:hmt:pers.pers411	Philammon	son of Chione and Apollo
urn:cite:hmt:pers.pers412	Amphidamas	son of Lycurgus
urn:cite:hmt:pers.pers413	Ancaeus	son of Lycurgus
urn:cite:hmt:pers.pers414	Agapenor	king of the Arcadians, a vassal of Agamemnon, to whom he brought the equipment of sixty ships
urn:cite:hmt:pers.pers415	Pylaemenes	king of the Eneti (related to Priam), killed by Menelaos
urn:cite:hmt:pers.pers416	Psamathe	a neried
urn:cite:hmt:pers.pers417	Pronoe	a neried
urn:cite:hmt:pers.pers418	Cephalus	son of Deion/Deioneus
urn:cite:hmt:pers.pers419	Deion/Deioneus	ruler of Phocis
urn:cite:hmt:pers.pers420	Amphityon	king of Tiryns/Argos/Thebes
urn:cite:hmt:pers.pers421	Arcesius	father of Laertes
urn:cite:hmt:pers.pers422	Cillus	grandfather of Arcesius
urn:cite:hmt:pers.pers423	Orchomenus	father of Minyas and Cyparissus
urn:cite:hmt:pers.pers424	Panopeus	father of Epeius
urn:cite:hmt:pers.pers425	Crisus	son of Phocus, brother of Panopeus
urn:cite:hmt:pers.pers426	Asterodia	mother of Crisus and Panopeus
urn:cite:hmt:pers.pers427	Tyrannus	possibly husband of Asterodia, or maybe father of Daulieus
urn:cite:hmt:pers.pers428	Daulieus	Son of Chrestone and possibly Tyrannus
urn:cite:hmt:pers.pers429	Chrestone	mother of Daulieus
urn:cite:hmt:pers.pers430	Chalciope	daughter of Eurypylus and Cos
urn:cite:hmt:pers.pers431	Thessalus	son of Heracles
urn:cite:hmt:pers.pers432	Haemon	father of Thessalus
urn:cite:hmt:pers.pers433	Pelasgus	Ancestor of the Pelasgians
urn:cite:hmt:pers.pers434	Phylacus	father of Iphiclus
urn:cite:hmt:pers.pers435	Iphiclus	son of Phylacus, father of Protesilaus
urn:cite:hmt:pers.pers436	Poeas	father of Philoctetes
urn:cite:hmt:pers.pers437	Euboea	daughter of Asopus
urn:cite:hmt:pers.pers438	Macris	Nymph who gave her name to Macris, possibly Euboea
urn:cite:hmt:pers.pers439	Magnes	son of Zeus and Thyia, first king of Magnesia, possibly a son of Aeolus
urn:cite:hmt:pers.pers440	Alector	not sure? father in law of Megapenthes?
urn:cite:hmt:pers.pers441	Tenthredon	a leader of the Magnesians from Thessaly, father of Prothoüs,
urn:cite:hmt:pers.pers442	Prothous	son of Tenthr?don, a leader of the Magnesians
urn:cite:hmt:pers.pers443	Eumelus	son of Adm?tus and Alcestis, AKA Eumeleus
urn:cite:hmt:pers.pers444	Erichthonius	early ruler of Athens
urn:cite:hmt:pers.pers445	Ascleipius	son of Apollo
urn:cite:hmt:pers.pers446	Cayster	River, son of Penthesilea
urn:cite:hmt:pers.pers447	Aetna	nymph
urn:cite:hmt:pers.pers448	Polites	son of Priam
urn:cite:hmt:pers.pers449	Amphitrite	wife of Poseidon
urn:cite:hmt:pers.pers450	Amphianax	or Amphanax, king of Lycia, some later traditions call him Iobates
urn:cite:hmt:pers.pers451	Iphidamas	son of Antenor and Theano
urn:cite:hmt:pers.pers452	Rhesus	king of the Thracians, slain by Odysseus and Diomedes
urn:cite:hmt:pers.pers453	Acamas	son of Antenor and Theano
urn:cite:hmt:pers.pers454	Asteropaeus	son of Peladon, leader of the Paeonians
urn:cite:hmt:pers.pers455	Thamyris	Thracian bard, son of Philammon
urn:cite:hmt:pers.pers456	Arsiute	Nymph mother of Thamyris
urn:cite:hmt:pers.pers457	Demodocus	singer of tales in the Ody
urn:cite:hmt:pers.pers458	Arcas	Son of Zeus, the namesake of Arcadia
urn:cite:hmt:pers.pers459	Ancaeus	
urn:cite:hmt:pers.pers460	Amphidamas	
urn:cite:hmt:pers.pers461	Maia	Mother of Hermes, daughter of Atlas
urn:cite:hmt:pers.pers462	Atlas	Cosmic strongman
urn:cite:hmt:pers.pers463	Glaucus	Trojan ally
urn:cite:hmt:pers.pers464	Euphorbus	Trojan, son of Panthus
urn:cite:hmt:pers.pers465	Amphimachus	Son of Cteatus
urn:cite:hmt:pers.pers466	Thalpius	Son of Eurytus
urn:cite:hmt:pers.pers467	Eurytus	
urn:cite:hmt:pers.pers468	Echina	Father of the Echinades
