Sequence,PageUrn,RV,Label
64,urn:cite:hmt:msA.32v,verso,"Venetus A (Marciana 454 = 822), folio 32, verso"
65,urn:cite:hmt:msA.33r,recto,"Venetus A (Marciana 454 = 822), folio 33, recto"
66,urn:cite:hmt:msA.33v,verso,"Venetus A (Marciana 454 = 822), folio 33, verso"
67,urn:cite:hmt:msA.34r,recto,"Venetus A (Marciana 454 = 822), folio 34, recto"
68,urn:cite:hmt:msA.34v,verso,"Venetus A (Marciana 454 = 822), folio 34, verso"
69,urn:cite:hmt:msA.35r,recto,"Venetus A (Marciana 454 = 822), folio 35, recto"
70,urn:cite:hmt:msA.35v,verso,"Venetus A (Marciana 454 = 822), folio 35, verso"
71,urn:cite:hmt:msA.36r,recto,"Venetus A (Marciana 454 = 822), folio 36, recto"
72,urn:cite:hmt:msA.36v,verso,"Venetus A (Marciana 454 = 822), folio 36, verso"
73,urn:cite:hmt:msA.37r,recto,"Venetus A (Marciana 454 = 822), folio 37, recto"
74,urn:cite:hmt:msA.37v,verso,"Venetus A (Marciana 454 = 822), folio 37, verso"
75,urn:cite:hmt:msA.38r,recto,"Venetus A (Marciana 454 = 822), folio 38, recto"
76,urn:cite:hmt:msA.38v,verso,"Venetus A (Marciana 454 = 822), folio 38, verso"
77,urn:cite:hmt:msA.39r,recto,"Venetus A (Marciana 454 = 822), folio 39, recto"
78,urn:cite:hmt:msA.39v,verso,"Venetus A (Marciana 454 = 822), folio 39, verso"
79,urn:cite:hmt:msA.40r,recto,"Venetus A (Marciana 454 = 822), folio 40, recto"
80,urn:cite:hmt:msA.40v,verso,"Venetus A (Marciana 454 = 822), folio 40, verso"
81,urn:cite:hmt:msA.41r,recto,"Venetus A (Marciana 454 = 822), folio 41, recto"
82,urn:cite:hmt:msA.41v,verso,"Venetus A (Marciana 454 = 822), folio 41, verso"
83,urn:cite:hmt:msA.42r,recto,"Venetus A (Marciana 454 = 822), folio 42, recto"
84,urn:cite:hmt:msA.42v,verso,"Venetus A (Marciana 454 = 822), folio 42, verso"
85,urn:cite:hmt:msA.43r,recto,"Venetus A (Marciana 454 = 822), folio 43, recto"
86,urn:cite:hmt:msA.43v,verso,"Venetus A (Marciana 454 = 822), folio 43, verso"
87,urn:cite:hmt:msA.44r,recto,"Venetus A (Marciana 454 = 822), folio 44, recto"
88,urn:cite:hmt:msA.44v,verso,"Venetus A (Marciana 454 = 822), folio 44, verso"
89,urn:cite:hmt:msA.45r,recto,"Venetus A (Marciana 454 = 822), folio 45, recto"
90,urn:cite:hmt:msA.45v,verso,"Venetus A (Marciana 454 = 822), folio 45, verso"
91,urn:cite:hmt:msA.46r,recto,"Venetus A (Marciana 454 = 822), folio 46, recto"
