page.v1	rv	sequence	label
urn:cite:hmt:comp.va114r.v1	recto	247	Venetus A Folio 114 recto
urn:cite:hmt:comp.va114v.v1	verso	248	Venetus A Folio 114 verso
urn:cite:hmt:comp.va115r.v1	recto	249	Venetus A Folio 115 recto
urn:cite:hmt:comp.va115v.v1	verso	250	Venetus A Folio 115 verso
urn:cite:hmt:comp.va116r.v1	recto	251	Venetus A Folio 116 recto
urn:cite:hmt:comp.va116v.v1	verso	252	Venetus A Folio 116 verso
urn:cite:hmt:comp.va117r.v1	recto	253	Venetus A Folio 117 recto
urn:cite:hmt:comp.va117v.v1	verso	254	Venetus A Folio 117 verso
urn:cite:hmt:comp.va118r.v1	recto	255	Venetus A Folio 118 recto
urn:cite:hmt:comp.va118v.v1	verso	256	Venetus A Folio 118 verso
urn:cite:hmt:comp.va119r.v1	recto	257	Venetus A Folio 119 recto
urn:cite:hmt:comp.va119v.v1	verso	258	Venetus A Folio 119 verso
urn:cite:hmt:comp.va120r.v1	recto	259	Venetus A Folio 120 recto
urn:cite:hmt:comp.va120v.v1	verso	260	Venetus A Folio 120 verso
urn:cite:hmt:comp.va121r.v1	recto	261	Venetus A Folio 121 recto
urn:cite:hmt:comp.va121v.v1	verso	262	Venetus A Folio 121 verso
urn:cite:hmt:comp.va122r.v1	recto	263	Venetus A Folio 122 recto
urn:cite:hmt:comp.va122v.v1	verso	264	Venetus A Folio 122 verso
urn:cite:hmt:comp.va123r.v1	recto	265	Venetus A Folio 123 recto
urn:cite:hmt:comp.va123v.v1	verso	266	Venetus A Folio 123 verso
urn:cite:hmt:comp.va124r.v1	recto	267	Venetus A Folio 124 recto
urn:cite:hmt:comp.va124v.v1	verso	268	Venetus A Folio 124 verso
urn:cite:hmt:comp.va125r.v1	recto	269	Venetus A Folio 125 recto
urn:cite:hmt:comp.va125v.v1	verso	270	Venetus A Folio 125 verso
urn:cite:hmt:comp.va126r.v1	recto	271	Venetus A Folio 126 recto
urn:cite:hmt:comp.va126v.v1	verso	272	Venetus A Folio 126 verso
urn:cite:hmt:comp.va127r.v1	recto	273	Venetus A Folio 127 recto
urn:cite:hmt:comp.va127v.v1	verso	274	Venetus A Folio 127 verso
urn:cite:hmt:comp.va128r.v1	recto	275	Venetus A Folio 128 recto
urn:cite:hmt:comp.va128v.v1	verso	276	Venetus A Folio 128 verso
urn:cite:hmt:comp.va129r.v1	recto	277	Venetus A Folio 129 recto
urn:cite:hmt:comp.va129v.v1	verso	278	Venetus A Folio 129 verso
urn:cite:hmt:comp.va130r.v1	recto	279	Venetus A Folio 130 recto
urn:cite:hmt:comp.va130v.v1	verso	280	Venetus A Folio 130 verso
urn:cite:hmt:comp.va131r.v1	recto	281	Venetus A Folio 131 recto
urn:cite:hmt:comp.va131v.v1	verso	282	Venetus A Folio 131 verso
urn:cite:hmt:comp.va132r.v1	recto	283	Venetus A Folio 132 recto
urn:cite:hmt:comp.va132v.v1	verso	284	Venetus A Folio 132 verso
urn:cite:hmt:comp.va133r.v1	recto	285	Venetus A Folio 133 recto
urn:cite:hmt:comp.va133v.v1	verso	286	Venetus A Folio 133 verso
urn:cite:hmt:comp.va134r.v1	recto	287	Venetus A Folio 134 recto
urn:cite:hmt:comp.va134v.v1	verso	288	Venetus A Folio 134 verso
urn:cite:hmt:comp.va135r.v1	recto	289	Venetus A Folio 135 recto
urn:cite:hmt:comp.va135v.v1	verso	290	Venetus A Folio 135 verso
urn:cite:hmt:comp.va136r.v1	recto	291	Venetus A Folio 136 recto
urn:cite:hmt:comp.va136v.v1	verso	292	Venetus A Folio 136 verso
urn:cite:hmt:comp.va137r.v1	recto	293	Venetus A Folio 137 recto
urn:cite:hmt:comp.va137v.v1	verso	294	Venetus A Folio 137 verso
urn:cite:hmt:comp.va138r.v1	recto	295	Venetus A Folio 138 recto
urn:cite:hmt:comp.va138v.v1	verso	296	Venetus A Folio 138 verso
urn:cite:hmt:comp.va139r.v1	recto	297	Venetus A Folio 139 recto
urn:cite:hmt:comp.va139v.v1	verso	298	Venetus A Folio 139 verso
urn:cite:hmt:comp.va140r.v1	recto	299	Venetus A Folio 140 recto
urn:cite:hmt:comp.va140v.v1	verso	300	Venetus A Folio 140 verso
urn:cite:hmt:comp.va141r.v1	recto	301	Venetus A Folio 141 recto
urn:cite:hmt:comp.va141v.v1	verso	302	Venetus A Folio 141 verso
urn:cite:hmt:comp.va142r.v1	recto	303	Venetus A Folio 142 recto
urn:cite:hmt:comp.va142v.v1	verso	304	Venetus A Folio 142 verso
urn:cite:hmt:comp.va143r.v1	recto	305	Venetus A Folio 143 recto
urn:cite:hmt:comp.va143v.v1	verso	306	Venetus A Folio 143 verso
urn:cite:hmt:comp.va144r.v1	recto	307	Venetus A Folio 144 recto
urn:cite:hmt:comp.va144v.v1	verso	308	Venetus A Folio 144 verso
urn:cite:hmt:comp.va145r.v1	recto	309	Venetus A Folio 145 recto
urn:cite:hmt:comp.va145v.v1	verso	310	Venetus A Folio 145 verso
urn:cite:hmt:comp.va146r.v1	recto	311	Venetus A Folio 146 recto
urn:cite:hmt:comp.va146v.v1	verso	312	Venetus A Folio 146 verso
urn:cite:hmt:comp.va147r.v1	recto	313	Venetus A Folio 147 recto
urn:cite:hmt:comp.va147v.v1	verso	314	Venetus A Folio 147 verso
urn:cite:hmt:comp.va148r.v1	recto	315	Venetus A Folio 148 recto
urn:cite:hmt:comp.va148v.v1	verso	316	Venetus A Folio 148 verso
urn:cite:hmt:comp.va149r.v1	recto	317	Venetus A Folio 149 recto
urn:cite:hmt:comp.va149v.v1	verso	318	Venetus A Folio 149 verso
urn:cite:hmt:comp.va150r.v1	recto	319	Venetus A Folio 150 recto
urn:cite:hmt:comp.va150v.v1	verso	320	Venetus A Folio 150 verso
urn:cite:hmt:comp.va151r.v1	recto	321	Venetus A Folio 151 recto
urn:cite:hmt:comp.va151v.v1	verso	322	Venetus A Folio 151 verso
urn:cite:hmt:comp.va152r.v1	recto	323	Venetus A Folio 152 recto
urn:cite:hmt:comp.va152v.v1	verso	324	Venetus A Folio 152 verso
urn:cite:hmt:comp.va153r.v1	recto	325	Venetus A Folio 153 recto
urn:cite:hmt:comp.va153v.v1	verso	326	Venetus A Folio 153 verso
urn:cite:hmt:comp.va154r.v1	recto	327	Venetus A Folio 154 recto
urn:cite:hmt:comp.va154v.v1	verso	328	Venetus A Folio 154 verso
urn:cite:hmt:comp.va155r.v1	recto	329	Venetus A Folio 155 recto
urn:cite:hmt:comp.va155v.v1	verso	330	Venetus A Folio 155 verso
urn:cite:hmt:comp.va156r.v1	recto	331	Venetus A Folio 156 recto
urn:cite:hmt:comp.va156v.v1	verso	332	Venetus A Folio 156 verso
urn:cite:hmt:comp.va157r.v1	recto	333	Venetus A Folio 157 recto
urn:cite:hmt:comp.va157v.v1	verso	334	Venetus A Folio 157 verso
urn:cite:hmt:comp.va158r.v1	recto	335	Venetus A Folio 158 recto
urn:cite:hmt:comp.va158v.v1	verso	336	Venetus A Folio 158 verso
urn:cite:hmt:comp.va159r.v1	recto	337	Venetus A Folio 159 recto
urn:cite:hmt:comp.va159v.v1	verso	338	Venetus A Folio 159 verso
urn:cite:hmt:comp.va160r.v1	recto	339	Venetus A Folio 160 recto
urn:cite:hmt:comp.va160v.v1	verso	340	Venetus A Folio 160 verso
urn:cite:hmt:comp.va161r.v1	recto	341	Venetus A Folio 161 recto
urn:cite:hmt:comp.va161v.v1	verso	342	Venetus A Folio 161 verso
urn:cite:hmt:comp.va162r.v1	recto	343	Venetus A Folio 162 recto
urn:cite:hmt:comp.va162v.v1	verso	344	Venetus A Folio 162 verso
urn:cite:hmt:comp.va163r.v1	recto	345	Venetus A Folio 163 recto
urn:cite:hmt:comp.va163v.v1	verso	346	Venetus A Folio 163 verso
urn:cite:hmt:comp.va164r.v1	recto	347	Venetus A Folio 164 recto
urn:cite:hmt:comp.va164v.v1	verso	348	Venetus A Folio 164 verso
urn:cite:hmt:comp.va165r.v1	recto	349	Venetus A Folio 165 recto
urn:cite:hmt:comp.va165v.v1	verso	350	Venetus A Folio 165 verso
urn:cite:hmt:comp.va166r.v1	recto	351	Venetus A Folio 166 recto
urn:cite:hmt:comp.va166v.v1	verso	352	Venetus A Folio 166 verso
urn:cite:hmt:comp.va167r.v1	recto	353	Venetus A Folio 167 recto
urn:cite:hmt:comp.va167v.v1	verso	354	Venetus A Folio 167 verso
urn:cite:hmt:comp.va168r.v1	recto	355	Venetus A Folio 168 recto
urn:cite:hmt:comp.va168v.v1	verso	356	Venetus A Folio 168 verso
urn:cite:hmt:comp.va169r.v1	recto	357	Venetus A Folio 169 recto
urn:cite:hmt:comp.va169v.v1	verso	358	Venetus A Folio 169 verso
urn:cite:hmt:comp.va170r.v1	recto	359	Venetus A Folio 170 recto
urn:cite:hmt:comp.va170v.v1	verso	360	Venetus A Folio 170 verso
urn:cite:hmt:comp.va171r.v1	recto	361	Venetus A Folio 171 recto
urn:cite:hmt:comp.va171v.v1	verso	362	Venetus A Folio 171 verso
urn:cite:hmt:comp.va172r.v1	recto	363	Venetus A Folio 172 recto
urn:cite:hmt:comp.va172v.v1	verso	364	Venetus A Folio 172 verso
urn:cite:hmt:comp.va173r.v1	recto	365	Venetus A Folio 173 recto
urn:cite:hmt:comp.va173v.v1	verso	366	Venetus A Folio 173 verso
urn:cite:hmt:comp.va174r.v1	recto	367	Venetus A Folio 174 recto
urn:cite:hmt:comp.va174v.v1	verso	368	Venetus A Folio 174 verso
urn:cite:hmt:comp.va175r.v1	recto	369	Venetus A Folio 175 recto
urn:cite:hmt:comp.va175v.v1	verso	370	Venetus A Folio 175 verso
urn:cite:hmt:comp.va176r.v1	recto	371	Venetus A Folio 176 recto
urn:cite:hmt:comp.va176v.v1	verso	372	Venetus A Folio 176 verso
urn:cite:hmt:comp.va177r.v1	recto	373	Venetus A Folio 177 recto
urn:cite:hmt:comp.va177v.v1	verso	374	Venetus A Folio 177 verso
urn:cite:hmt:comp.va178r.v1	recto	375	Venetus A Folio 178 recto
urn:cite:hmt:comp.va178v.v1	verso	376	Venetus A Folio 178 verso
urn:cite:hmt:comp.va179r.v1	recto	377	Venetus A Folio 179 recto
urn:cite:hmt:comp.va179v.v1	verso	378	Venetus A Folio 179 verso
urn:cite:hmt:comp.va180r.v1	recto	379	Venetus A Folio 180 recto
urn:cite:hmt:comp.va180v.v1	verso	380	Venetus A Folio 180 verso
urn:cite:hmt:comp.va181r.v1	recto	381	Venetus A Folio 181 recto
urn:cite:hmt:comp.va181v.v1	verso	382	Venetus A Folio 181 verso
urn:cite:hmt:comp.va182r.v1	recto	383	Venetus A Folio 182 recto
urn:cite:hmt:comp.va182v.v1	verso	384	Venetus A Folio 182 verso
urn:cite:hmt:comp.va183r.v1	recto	385	Venetus A Folio 183 recto
urn:cite:hmt:comp.va183v.v1	verso	386	Venetus A Folio 183 verso
urn:cite:hmt:comp.va184r.v1	recto	387	Venetus A Folio 184 recto
urn:cite:hmt:comp.va184v.v1	verso	388	Venetus A Folio 184 verso
urn:cite:hmt:comp.va185r.v1	recto	389	Venetus A Folio 185 recto
urn:cite:hmt:comp.va185v.v1	verso	390	Venetus A Folio 185 verso
urn:cite:hmt:comp.va186r.v1	recto	391	Venetus A Folio 186 recto
urn:cite:hmt:comp.va186v.v1	verso	392	Venetus A Folio 186 verso
urn:cite:hmt:comp.va187r.v1	recto	393	Venetus A Folio 187 recto
urn:cite:hmt:comp.va187v.v1	verso	394	Venetus A Folio 187 verso
urn:cite:hmt:comp.va188r.v1	recto	395	Venetus A Folio 188 recto
urn:cite:hmt:comp.va188v.v1	verso	396	Venetus A Folio 188 verso
urn:cite:hmt:comp.va189r.v1	recto	397	Venetus A Folio 189 recto
urn:cite:hmt:comp.va189v.v1	verso	398	Venetus A Folio 189 verso
urn:cite:hmt:comp.va190r.v1	recto	399	Venetus A Folio 190 recto
urn:cite:hmt:comp.va190v.v1	verso	400	Venetus A Folio 190 verso
urn:cite:hmt:comp.va191r.v1	recto	401	Venetus A Folio 191 recto
urn:cite:hmt:comp.va191v.v1	verso	402	Venetus A Folio 191 verso
urn:cite:hmt:comp.va192r.v1	recto	403	Venetus A Folio 192 recto
urn:cite:hmt:comp.va192v.v1	verso	404	Venetus A Folio 192 verso
urn:cite:hmt:comp.va193r.v1	recto	405	Venetus A Folio 193 recto
urn:cite:hmt:comp.va193v.v1	verso	406	Venetus A Folio 193 verso
urn:cite:hmt:comp.va194r.v1	recto	407	Venetus A Folio 194 recto
urn:cite:hmt:comp.va194v.v1	verso	408	Venetus A Folio 194 verso
urn:cite:hmt:comp.va195r.v1	recto	409	Venetus A Folio 195 recto
urn:cite:hmt:comp.va195v.v1	verso	410	Venetus A Folio 195 verso
urn:cite:hmt:comp.va196r.v1	recto	411	Venetus A Folio 196 recto
urn:cite:hmt:comp.va196v.v1	verso	412	Venetus A Folio 196 verso
urn:cite:hmt:comp.va197r.v1	recto	413	Venetus A Folio 197 recto
urn:cite:hmt:comp.va197v.v1	verso	414	Venetus A Folio 197 verso
urn:cite:hmt:comp.va198r.v1	recto	415	Venetus A Folio 198 recto
urn:cite:hmt:comp.va198v.v1	verso	416	Venetus A Folio 198 verso
urn:cite:hmt:comp.va199r.v1	recto	417	Venetus A Folio 199 recto
urn:cite:hmt:comp.va199v.v1	verso	418	Venetus A Folio 199 verso
urn:cite:hmt:comp.va200r.v1	recto	419	Venetus A Folio 200 recto
urn:cite:hmt:comp.va200v.v1	verso	420	Venetus A Folio 200 verso
urn:cite:hmt:comp.va201r.v1	recto	421	Venetus A Folio 201 recto
urn:cite:hmt:comp.va201v.v1	verso	422	Venetus A Folio 201 verso
urn:cite:hmt:comp.va202r.v1	recto	423	Venetus A Folio 202 recto
urn:cite:hmt:comp.va202v.v1	verso	424	Venetus A Folio 202 verso
urn:cite:hmt:comp.va203r.v1	recto	425	Venetus A Folio 203 recto
urn:cite:hmt:comp.va203v.v1	verso	426	Venetus A Folio 203 verso
urn:cite:hmt:comp.va204r.v1	recto	427	Venetus A Folio 204 recto
urn:cite:hmt:comp.va204v.v1	verso	428	Venetus A Folio 204 verso
urn:cite:hmt:comp.va205r.v1	recto	429	Venetus A Folio 205 recto
urn:cite:hmt:comp.va205v.v1	verso	430	Venetus A Folio 205 verso
urn:cite:hmt:comp.va206r.v1	recto	431	Venetus A Folio 206 recto
urn:cite:hmt:comp.va206v.v1	verso	432	Venetus A Folio 206 verso
urn:cite:hmt:comp.va207r.v1	recto	433	Venetus A Folio 207 recto
urn:cite:hmt:comp.va207v.v1	verso	434	Venetus A Folio 207 verso
urn:cite:hmt:comp.va208r.v1	recto	435	Venetus A Folio 208 recto
urn:cite:hmt:comp.va208v.v1	verso	436	Venetus A Folio 208 verso
urn:cite:hmt:comp.va209r.v1	recto	437	Venetus A Folio 209 recto
urn:cite:hmt:comp.va209v.v1	verso	438	Venetus A Folio 209 verso
urn:cite:hmt:comp.va210r.v1	recto	439	Venetus A Folio 210 recto
urn:cite:hmt:comp.va210v.v1	verso	440	Venetus A Folio 210 verso
urn:cite:hmt:comp.va211r.v1	recto	441	Venetus A Folio 211 recto
urn:cite:hmt:comp.va211v.v1	verso	442	Venetus A Folio 211 verso
urn:cite:hmt:comp.va212r.v1	recto	443	Venetus A Folio 212 recto
urn:cite:hmt:comp.va212v.v1	verso	444	Venetus A Folio 212 verso
urn:cite:hmt:comp.va213r.v1	recto	445	Venetus A Folio 213 recto
urn:cite:hmt:comp.va213v.v1	verso	446	Venetus A Folio 213 verso
urn:cite:hmt:comp.va214r.v1	recto	447	Venetus A Folio 214 recto
urn:cite:hmt:comp.va214v.v1	verso	448	Venetus A Folio 214 verso
urn:cite:hmt:comp.va215r.v1	recto	449	Venetus A Folio 215 recto
urn:cite:hmt:comp.va215v.v1	verso	450	Venetus A Folio 215 verso
urn:cite:hmt:comp.va216r.v1	recto	451	Venetus A Folio 216 recto
urn:cite:hmt:comp.va216v.v1	verso	452	Venetus A Folio 216 verso
urn:cite:hmt:comp.va217r.v1	recto	453	Venetus A Folio 217 recto
urn:cite:hmt:comp.va217v.v1	verso	454	Venetus A Folio 217 verso
urn:cite:hmt:comp.va218r.v1	recto	455	Venetus A Folio 218 recto
urn:cite:hmt:comp.va218v.v1	verso	456	Venetus A Folio 218 verso
urn:cite:hmt:comp.va219r.v1	recto	457	Venetus A Folio 219 recto
urn:cite:hmt:comp.va219v.v1	verso	458	Venetus A Folio 219 verso
urn:cite:hmt:comp.va220r.v1	recto	459	Venetus A Folio 220 recto
urn:cite:hmt:comp.va220v.v1	verso	460	Venetus A Folio 220 verso
urn:cite:hmt:comp.va221r.v1	recto	461	Venetus A Folio 221 recto
urn:cite:hmt:comp.va221v.v1	verso	462	Venetus A Folio 221 verso
urn:cite:hmt:comp.va222r.v1	recto	463	Venetus A Folio 222 recto
urn:cite:hmt:comp.va222v.v1	verso	464	Venetus A Folio 222 verso
urn:cite:hmt:comp.va223r.v1	recto	465	Venetus A Folio 223 recto
urn:cite:hmt:comp.va223v.v1	verso	466	Venetus A Folio 223 verso
urn:cite:hmt:comp.va224r.v1	recto	467	Venetus A Folio 224 recto
urn:cite:hmt:comp.va224v.v1	verso	468	Venetus A Folio 224 verso
urn:cite:hmt:comp.va225r.v1	recto	469	Venetus A Folio 225 recto
urn:cite:hmt:comp.va225v.v1	verso	470	Venetus A Folio 225 verso
urn:cite:hmt:comp.va226r.v1	recto	471	Venetus A Folio 226 recto
urn:cite:hmt:comp.va226v.v1	verso	472	Venetus A Folio 226 verso
urn:cite:hmt:comp.va227r.v1	recto	473	Venetus A Folio 227 recto
urn:cite:hmt:comp.va227v.v1	verso	474	Venetus A Folio 227 verso
urn:cite:hmt:comp.va228r.v1	recto	475	Venetus A Folio 228 recto
urn:cite:hmt:comp.va228v.v1	verso	476	Venetus A Folio 228 verso
urn:cite:hmt:comp.va229r.v1	recto	477	Venetus A Folio 229 recto
urn:cite:hmt:comp.va229v.v1	verso	478	Venetus A Folio 229 verso
urn:cite:hmt:comp.va230r.v1	recto	479	Venetus A Folio 230 recto
urn:cite:hmt:comp.va230v.v1	verso	480	Venetus A Folio 230 verso
urn:cite:hmt:comp.va231r.v1	recto	481	Venetus A Folio 231 recto
urn:cite:hmt:comp.va231v.v1	verso	482	Venetus A Folio 231 verso
urn:cite:hmt:comp.va232r.v1	recto	483	Venetus A Folio 232 recto
urn:cite:hmt:comp.va232v.v1	verso	484	Venetus A Folio 232 verso
urn:cite:hmt:comp.va233r.v1	recto	485	Venetus A Folio 233 recto
urn:cite:hmt:comp.va233v.v1	verso	486	Venetus A Folio 233 verso
urn:cite:hmt:comp.va234r.v1	recto	487	Venetus A Folio 234 recto
urn:cite:hmt:comp.va234v.v1	verso	488	Venetus A Folio 234 verso
urn:cite:hmt:comp.va235r.v1	recto	489	Venetus A Folio 235 recto
urn:cite:hmt:comp.va235v.v1	verso	490	Venetus A Folio 235 verso
urn:cite:hmt:comp.va236r.v1	recto	491	Venetus A Folio 236 recto
urn:cite:hmt:comp.va236v.v1	verso	492	Venetus A Folio 236 verso
urn:cite:hmt:comp.va237r.v1	recto	493	Venetus A Folio 237 recto
urn:cite:hmt:comp.va237v.v1	verso	494	Venetus A Folio 237 verso
urn:cite:hmt:comp.va238r.v1	recto	495	Venetus A Folio 238 recto
urn:cite:hmt:comp.va238v.v1	verso	496	Venetus A Folio 238 verso
urn:cite:hmt:comp.va239r.v1	recto	497	Venetus A Folio 239 recto
urn:cite:hmt:comp.va239v.v1	verso	498	Venetus A Folio 239 verso
urn:cite:hmt:comp.va240r.v1	recto	499	Venetus A Folio 240 recto
urn:cite:hmt:comp.va240v.v1	verso	500	Venetus A Folio 240 verso
urn:cite:hmt:comp.va241r.v1	recto	501	Venetus A Folio 241 recto
urn:cite:hmt:comp.va241v.v1	verso	502	Venetus A Folio 241 verso
urn:cite:hmt:comp.va242r.v1	recto	503	Venetus A Folio 242 recto
urn:cite:hmt:comp.va242v.v1	verso	504	Venetus A Folio 242 verso
urn:cite:hmt:comp.va243r.v1	recto	505	Venetus A Folio 243 recto
urn:cite:hmt:comp.va243v.v1	verso	506	Venetus A Folio 243 verso
urn:cite:hmt:comp.va244r.v1	recto	507	Venetus A Folio 244 recto
urn:cite:hmt:comp.va244v.v1	verso	508	Venetus A Folio 244 verso
urn:cite:hmt:comp.va245r.v1	recto	509	Venetus A Folio 245 recto
urn:cite:hmt:comp.va245v.v1	verso	510	Venetus A Folio 245 verso
urn:cite:hmt:comp.va246r.v1	recto	511	Venetus A Folio 246 recto
urn:cite:hmt:comp.va246v.v1	verso	512	Venetus A Folio 246 verso
urn:cite:hmt:comp.va247r.v1	recto	513	Venetus A Folio 247 recto
urn:cite:hmt:comp.va247v.v1	verso	514	Venetus A Folio 247 verso
urn:cite:hmt:comp.va248r.v1	recto	515	Venetus A Folio 248 recto
urn:cite:hmt:comp.va248v.v1	verso	516	Venetus A Folio 248 verso
urn:cite:hmt:comp.va249r.v1	recto	517	Venetus A Folio 249 recto
urn:cite:hmt:comp.va249v.v1	verso	518	Venetus A Folio 249 verso
urn:cite:hmt:comp.va250r.v1	recto	519	Venetus A Folio 250 recto
urn:cite:hmt:comp.va250v.v1	verso	520	Venetus A Folio 250 verso
urn:cite:hmt:comp.va251r.v1	recto	521	Venetus A Folio 251 recto
urn:cite:hmt:comp.va251v.v1	verso	522	Venetus A Folio 251 verso
urn:cite:hmt:comp.va252r.v1	recto	523	Venetus A Folio 252 recto
urn:cite:hmt:comp.va252v.v1	verso	524	Venetus A Folio 252 verso
urn:cite:hmt:comp.va253r.v1	recto	525	Venetus A Folio 253 recto
urn:cite:hmt:comp.va253v.v1	verso	526	Venetus A Folio 253 verso
urn:cite:hmt:comp.va254r.v1	recto	527	Venetus A Folio 254 recto
urn:cite:hmt:comp.va254v.v1	verso	528	Venetus A Folio 254 verso
urn:cite:hmt:comp.va255r.v1	recto	529	Venetus A Folio 255 recto
urn:cite:hmt:comp.va255v.v1	verso	530	Venetus A Folio 255 verso
urn:cite:hmt:comp.va256r.v1	recto	531	Venetus A Folio 256 recto
urn:cite:hmt:comp.va256v.v1	verso	532	Venetus A Folio 256 verso
urn:cite:hmt:comp.va257r.v1	recto	533	Venetus A Folio 257 recto
urn:cite:hmt:comp.va257v.v1	verso	534	Venetus A Folio 257 verso
urn:cite:hmt:comp.va258r.v1	recto	535	Venetus A Folio 258 recto
urn:cite:hmt:comp.va258v.v1	verso	536	Venetus A Folio 258 verso
urn:cite:hmt:comp.va259r.v1	recto	537	Venetus A Folio 259 recto
urn:cite:hmt:comp.va259v.v1	verso	538	Venetus A Folio 259 verso
urn:cite:hmt:comp.va260r.v1	recto	539	Venetus A Folio 260 recto
urn:cite:hmt:comp.va260v.v1	verso	540	Venetus A Folio 260 verso
urn:cite:hmt:comp.va261r.v1	recto	541	Venetus A Folio 261 recto
urn:cite:hmt:comp.va261v.v1	verso	542	Venetus A Folio 261 verso
urn:cite:hmt:comp.va262r.v1	recto	543	Venetus A Folio 262 recto
urn:cite:hmt:comp.va262v.v1	verso	544	Venetus A Folio 262 verso
urn:cite:hmt:comp.va263r.v1	recto	545	Venetus A Folio 263 recto
urn:cite:hmt:comp.va263v.v1	verso	546	Venetus A Folio 263 verso
urn:cite:hmt:comp.va264r.v1	recto	547	Venetus A Folio 264 recto
urn:cite:hmt:comp.va264v.v1	verso	548	Venetus A Folio 264 verso
urn:cite:hmt:comp.va265r.v1	recto	549	Venetus A Folio 265 recto
urn:cite:hmt:comp.va265v.v1	verso	550	Venetus A Folio 265 verso
urn:cite:hmt:comp.va266r.v1	recto	551	Venetus A Folio 266 recto
urn:cite:hmt:comp.va266v.v1	verso	552	Venetus A Folio 266 verso
urn:cite:hmt:comp.va267r.v1	recto	553	Venetus A Folio 267 recto
urn:cite:hmt:comp.va267v.v1	verso	554	Venetus A Folio 267 verso
urn:cite:hmt:comp.va268r.v1	recto	555	Venetus A Folio 268 recto
urn:cite:hmt:comp.va268v.v1	verso	556	Venetus A Folio 268 verso
urn:cite:hmt:comp.va269r.v1	recto	557	Venetus A Folio 269 recto
urn:cite:hmt:comp.va269v.v1	verso	558	Venetus A Folio 269 verso
urn:cite:hmt:comp.va270r.v1	recto	559	Venetus A Folio 270 recto
urn:cite:hmt:comp.va270v.v1	verso	560	Venetus A Folio 270 verso
urn:cite:hmt:comp.va271r.v1	recto	561	Venetus A Folio 271 recto
urn:cite:hmt:comp.va271v.v1	verso	562	Venetus A Folio 271 verso
urn:cite:hmt:comp.va272r.v1	recto	563	Venetus A Folio 272 recto
urn:cite:hmt:comp.va272v.v1	verso	564	Venetus A Folio 272 verso
urn:cite:hmt:comp.va273r.v1	recto	565	Venetus A Folio 273 recto
urn:cite:hmt:comp.va273v.v1	verso	566	Venetus A Folio 273 verso
urn:cite:hmt:comp.va274r.v1	recto	567	Venetus A Folio 274 recto
