page.v1	rv	sequence	label
urn:cite:hmt:comp.va315r.v1	recto	649	Venetus A Folio 315 recto
urn:cite:hmt:comp.va315v.v1	verso	650	Venetus A Folio 315 verso
urn:cite:hmt:comp.va316r.v1	recto	651	Venetus A Folio 316 recto
urn:cite:hmt:comp.va316v.v1	verso	652	Venetus A Folio 316 verso
urn:cite:hmt:comp.va317r.v1	recto	653	Venetus A Folio 317 recto
urn:cite:hmt:comp.va317v.v1	verso	654	Venetus A Folio 317 verso
urn:cite:hmt:comp.va318r.v1	recto	655	Venetus A Folio 318 recto
urn:cite:hmt:comp.va318v.v1	verso	656	Venetus A Folio 318 verso
urn:cite:hmt:comp.va319r.v1	recto	657	Venetus A Folio 319 recto
urn:cite:hmt:comp.va319v.v1	verso	658	Venetus A Folio 319 verso
urn:cite:hmt:comp.va320r.v1	recto	659	Venetus A Folio 320 recto
urn:cite:hmt:comp.va320v.v1	verso	660	Venetus A Folio 320 verso
urn:cite:hmt:comp.va321r.v1	recto	661	Venetus A Folio 321 recto
urn:cite:hmt:comp.va321v.v1	verso	662	Venetus A Folio 321 verso
urn:cite:hmt:comp.va322r.v1	recto	663	Venetus A Folio 322 recto
urn:cite:hmt:comp.va322v.v1	verso	664	Venetus A Folio 322 verso
urn:cite:hmt:comp.va323r.v1	recto	665	Venetus A Folio 323 recto
urn:cite:hmt:comp.va323v.v1	verso	666	Venetus A Folio 323 verso
urn:cite:hmt:comp.va324r.v1	recto	667	Venetus A Folio 324 recto
urn:cite:hmt:comp.va324v.v1	verso	668	Venetus A Folio 324 verso
urn:cite:hmt:comp.va325r.v1	recto	669	Venetus A Folio 325 recto
urn:cite:hmt:comp.va325v.v1	verso	670	Venetus A Folio 325 verso
urn:cite:hmt:comp.va326r.v1	recto	671	Venetus A Folio 326 recto
urn:cite:hmt:comp.va326v.v1	verso	672	Venetus A Folio 326 verso
urn:cite:hmt:comp.va327r.v1	recto	673	Venetus A Folio 327 recto
urn:cite:hmt:comp.va327v.v1	verso	674	Venetus A Folio 327 verso
urn:cite:hmt:comp.bm1.v1	recto	675	Back Fly
urn:cite:hmt:comp.bm2.v1	verso	676	Back Fly
urn:cite:hmt:comp.bm3.v1	recto	677	Inside Back Cover
urn:cite:hmt:comp.bm4.v1	verso	678	Back Cover
