PageZone.v1,"ImageRoI"
urn:cite:hmt:pageroi.37.v1,"urn:cite:hmt:vaimg.VA026VN_0528.v1@0.0925,0.0789,0.825,0.8563"
urn:cite:hmt:pageroi.74.v1,"urn:cite:hmt:vaimg.VA038VN_0540.v1@0.1038,0.0732,0.815,0.8573"
urn:cite:hmt:pageroi.78.v1,"urn:cite:hmt:vaimg.VA040VN_0542.v1@0.1025,0.0751,0.8063,0.8507"
urn:cite:hmt:pageroi.82.v1,"urn:cite:hmt:vaimg.VA042VN_0544.v1@0.0913,0.0779,0.8138,0.8451"
urn:cite:hmt:pageroi.90.v1,"urn:cite:hmt:vaimg.VA046VN_0548.v1@0.1113,0.077,0.8038,0.8498"
urn:cite:hmt:pageroi.114.v1,"urn:cite:hmt:vaimg.VA058VN_0560.v1@0.095,0.0789,0.8288,0.8554"
urn:cite:hmt:pageroi.123.v1,"urn:cite:hmt:vaimg.VA063RN_0064.v1@0.0738,0.062,0.83,0.8714"
urn:cite:hmt:pageroi.135.v1,"urn:cite:hmt:vaimg.VA069RN_0070.v1@0.065,0.062,0.8275,0.8657"
urn:cite:hmt:pageroi.149.v1,"urn:cite:hmt:vaimg.VA076RN_0077.v1@0.0913,0.0648,0.8088,0.8704"
urn:cite:hmt:pageroi.170.v1,"urn:cite:hmt:vaimg.VA086VN_0589.v1@0.075,0.0704,0.8338,0.8648"
urn:cite:hmt:pageroi.174.v1,"urn:cite:hmt:vaimg.VA088VN_0591.v1@0.0725,0.0714,0.8363,0.8676"
urn:cite:hmt:pageroi.17.v1,"urn:cite:hmt:vaimg.VA020RN_0021.v1@0.0775,0.0582,0.8,0.8685"
urn:cite:hmt:pageroi.22.v1,"urn:cite:hmt:vaimg.VA022RN_0023.v1@0.07,0.0573,0.81,0.8667"
urn:cite:hmt:pageroi.25.v1,"urn:cite:hmt:vaimg.VA023VN_0525.v1@0.1163,0.0732,0.82,0.8498"
urn:cite:hmt:pageroi.40.v1,"urn:cite:hmt:vaimg.VA097RN_0098.v1@0.05,0.0695,0.8475,0.8676"
urn:cite:hmt:pageroi.42.v1,"urn:cite:hmt:vaimg.VA098RN_0099.v1@0.0463,0.0714,0.8513,0.8695"
urn:cite:hmt:pageroi.44.v1,"urn:cite:hmt:vaimg.VA099RN_0100.v1@0.0475,0.0714,0.84,0.8676"
urn:cite:hmt:pageroi.53.v1,"urn:cite:hmt:vaimg.VA028RN_0029.v1@0.0663,0.062,0.815,0.8582"
urn:cite:hmt:pageroi.57.v1,"urn:cite:hmt:vaimg.VA030RN_0031.v1@0.0675,0.0573,0.8175,0.8704"
urn:cite:hmt:pageroi.61.v1,"urn:cite:hmt:vaimg.VA032RN_0033.v1@0.07,0.0545,0.8263,0.8676"
urn:cite:hmt:pageroi.85.v1,"urn:cite:hmt:vaimg.VA044RN_0045.v1@0.0463,0.0592,0.8175,0.8685"
urn:cite:hmt:pageroi.20.v1,"urn:cite:hmt:vaimg.VA021RN_0022.v1@0.07,0.061,0.8125,0.8695"
urn:cite:hmt:pageroi.27.v1,"urn:cite:hmt:vaimg.VA091RN_0263.v1@0.0563,0.0526,0.8388,0.8638"
urn:cite:hmt:pageroi.33.v1,"urn:cite:hmt:vaimg.VA094RN_0095.v1@0.055,0.0751,0.8363,0.862"
urn:cite:hmt:pageroi.45.v1,"urn:cite:hmt:vaimg.VA099VN_0602.v1@0.0775,0.077,0.8475,0.8592"
urn:cite:hmt:pageroi.46.v1,"urn:cite:hmt:vaimg.VA100RN_0101.v1@0.055,0.0742,0.8413,0.8704"
urn:cite:hmt:pageroi.98.v1,"urn:cite:hmt:vaimg.VA050VN_0552.v1@0.0888,0.0789,0.8338,0.8573"
urn:cite:hmt:pageroi.101.v1,"urn:cite:hmt:vaimg.VA052RN_0053.v1@0.0688,0.0704,0.8075,0.8592"
urn:cite:hmt:pageroi.102.v1,"urn:cite:hmt:vaimg.VA052VN_0554.v1@0.0963,0.0808,0.8263,0.8535"
urn:cite:hmt:pageroi.111.v1,"urn:cite:hmt:vaimg.VA057RN_0058.v1@0.08,0.0648,0.83,0.8667"
urn:cite:hmt:pageroi.127.v1,"urn:cite:hmt:vaimg.VA065RN_0066.v1@0.0663,0.0592,0.8438,0.8751"
urn:cite:hmt:pageroi.132.v1,"urn:cite:hmt:vaimg.VA067VN_0569.v1@0.1088,0.0742,0.8175,0.8526"
urn:cite:hmt:pageroi.145.v1,"urn:cite:hmt:vaimg.VA074RN_0075.v1@0.0675,0.062,0.8288,0.8667"
urn:cite:hmt:pageroi.152.v1,"urn:cite:hmt:vaimg.VA077VN_0580.v1@0.07,0.0704,0.8425,0.8601"
urn:cite:hmt:pageroi.18.v1,"urn:cite:hmt:vaimg.VA027RN_0028.v1@0.0563,0.0563,0.8188,0.8667"
urn:cite:hmt:pageroi.52.v1,"urn:cite:hmt:vaimg.VA027VN_0529.v1@0.11,0.0779,0.8113,0.8573"
urn:cite:hmt:pageroi.56.v1,"urn:cite:hmt:vaimg.VA029VN_0531.v1@0.095,0.0779,0.8238,0.8554"
urn:cite:hmt:pageroi.60.v1,"urn:cite:hmt:vaimg.VA031VN_0533.v1@0.0988,0.0751,0.815,0.8582"
urn:cite:hmt:pageroi.68.v1,"urn:cite:hmt:vaimg.VA035VN_0537.v1@0.1125,0.077,0.81,0.8516"
urn:cite:hmt:pageroi.86.v1,"urn:cite:hmt:vaimg.VA044VN_0546.v1@0.1063,0.0798,0.8188,0.8488"
urn:cite:hmt:pageroi.108.v1,"urn:cite:hmt:vaimg.VA055VN_0557.v1@0.09,0.0845,0.8363,0.8638"
urn:cite:hmt:pageroi.130.v1,"urn:cite:hmt:vaimg.VA066VN_0568.v1@0.0988,0.0761,0.8375,0.8563"
urn:cite:hmt:pageroi.144.v1,"urn:cite:hmt:vaimg.VA073VN_0575.v1@0.1113,0.0798,0.825,0.8507"
urn:cite:hmt:pageroi.166.v1,"urn:cite:hmt:vaimg.VA084VN_0587.v1@0.0775,0.0751,0.8325,0.8582"
urn:cite:hmt:pageroi.54.v1,"urn:cite:hmt:vaimg.VA028VN_0530.v1@0.1038,0.0808,0.8175,0.8526"
urn:cite:hmt:pageroi.58.v1,"urn:cite:hmt:vaimg.VA030VN_0532.v1@0.095,0.077,0.82,0.8573"
urn:cite:hmt:pageroi.62.v1,"urn:cite:hmt:vaimg.VA032VN_0534.v1@0.0963,0.077,0.8213,0.8516"
urn:cite:hmt:pageroi.71.v1,"urn:cite:hmt:vaimg.VA037RN_0038.v1@0.0363,0.0554,0.825,0.8714"
urn:cite:hmt:pageroi.75.v1,"urn:cite:hmt:vaimg.VA039RN_0040.v1@0.0375,0.0601,0.8263,0.8695"
urn:cite:hmt:pageroi.79.v1,"urn:cite:hmt:vaimg.VA041RN_0042.v1@0.0275,0.0582,0.8325,0.8808"
urn:cite:hmt:pageroi.83.v1,"urn:cite:hmt:vaimg.VA043RN_0044.v1@0.0313,0.0563,0.8213,0.877"
urn:cite:hmt:pageroi.87.v1,"urn:cite:hmt:vaimg.VA045RN_0046.v1@0.0463,0.062,0.82,0.8685"
urn:cite:hmt:pageroi.55.v1,"urn:cite:hmt:vaimg.VA029RN_0030.v1@0.06,0.0629,0.8288,0.8535"
urn:cite:hmt:pageroi.59.v1,"urn:cite:hmt:vaimg.VA031RN_0032.v1@0.0738,0.0582,0.8275,0.861"
urn:cite:hmt:pageroi.64.v1,"urn:cite:hmt:vaimg.VA033VN_0535.v1@0.0938,0.077,0.8263,0.8638"
urn:cite:hmt:pageroi.94.v1,"urn:cite:hmt:vaimg.VA048VN_0550.v1@0.095,0.0779,0.8125,0.8554"
urn:cite:hmt:pageroi.95.v1,"urn:cite:hmt:vaimg.VA049RN_0050.v1@0.0538,0.0732,0.8325,0.861"
urn:cite:hmt:pageroi.97.v1,"urn:cite:hmt:vaimg.VA050RN_0051.v1@0.06,0.0685,0.8325,0.8638"
urn:cite:hmt:pageroi.63.v1,"urn:cite:hmt:vaimg.VA033RN_0034.v1@0.07,0.061,0.8175,0.8629"
urn:cite:hmt:pageroi.66.v1,"urn:cite:hmt:vaimg.VA034VN_0536.v1@0.0938,0.0525,0.8425,0.894"
urn:cite:hmt:pageroi.70.v1,"urn:cite:hmt:vaimg.VA036VN_0538.v1@0.1038,0.0751,0.805,0.8535"
urn:cite:hmt:pageroi.91.v1,"urn:cite:hmt:vaimg.VA047RN_0048.v1@0.0163,0.0648,0.8325,0.8648"
urn:cite:hmt:pageroi.99.v1,"urn:cite:hmt:vaimg.VA051RN_0052.v1@0.0563,0.0723,0.8238,0.8629"
urn:cite:hmt:pageroi.105.v1,"urn:cite:hmt:vaimg.VA054RN_0055.v1@0.065,0.0704,0.82,0.8667"
urn:cite:hmt:pageroi.116.v1,"urn:cite:hmt:vaimg.VA059VN_0561.v1@0.0913,0.0808,0.8388,0.8563"
urn:cite:hmt:pageroi.121.v1,"urn:cite:hmt:vaimg.VA062RN_0063.v1@0.07,0.061,0.8388,0.8751"
urn:cite:hmt:pageroi.125.v1,"urn:cite:hmt:vaimg.VA064RN_0065.v1@0.0763,0.0592,0.8313,0.8723"
urn:cite:hmt:pageroi.138.v1,"urn:cite:hmt:vaimg.VA070VN_0572.v1@0.1113,0.0789,0.825,0.8498"
urn:cite:hmt:pageroi.143.v1,"urn:cite:hmt:vaimg.VA073RN_0074.v1@0.0725,0.0657,0.8225,0.8657"
urn:cite:hmt:pageroi.156.v1,"urn:cite:hmt:vaimg.VA079VN_0582.v1@0.085,0.0667,0.82,0.8667"
urn:cite:hmt:pageroi.169.v1,"urn:cite:hmt:vaimg.VA086RN_0087.v1@0.0463,0.0685,0.85,0.8676"
urn:cite:hmt:pageroi.173.v1,"urn:cite:hmt:vaimg.VA088RN_0089.v1@0.045,0.0685,0.8475,0.8732"
urn:cite:hmt:pageroi.65.v1,"urn:cite:hmt:vaimg.VA034RN_0035.v1@0.0725,0.0601,0.8163,0.861"
urn:cite:hmt:pageroi.72.v1,"urn:cite:hmt:vaimg.VA037VN_0539.v1@0.105,0.077,0.8175,0.8526"
urn:cite:hmt:pageroi.76.v1,"urn:cite:hmt:vaimg.VA039VN_0541.v1@0.0738,0.0544,0.8613,0.8856"
urn:cite:hmt:pageroi.80.v1,"urn:cite:hmt:vaimg.VA041VN_0543.v1@0.0888,0.0817,0.8313,0.8563"
