Image.v1,Label,Rights
urn:cite:hmt:e3bifolio.E3_24v_25r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 24v and 25r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_25v_26r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 25v and 26r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_26v_27r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 26v and 27r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_27v_28r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 27v and 28r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_28v_29r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 28v and 29r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_29v_30r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 29v and 30r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_30v_31r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 30v and 31r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_31v_32r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 31v and 32r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_32v_33r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 32v and 33r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_33v_34r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 33v and 34r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_34v_35r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 34v and 35r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_35v_36r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 35v and 36r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_36v_37r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 36v and 37r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_37v_38r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 37v and 38r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_38v_39r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 38v and 39r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
