Image.v1,Label,Rights
urn:cite:ecod:codbod85.cb_0085_038v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 38v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 38v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_039r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 39r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 39r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_039v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 39v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 39v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_040r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 40r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 40r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_040v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 40v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 40v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_041r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 41r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 41r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_041v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 41v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 41v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_042r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 42r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 42r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_042v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 42v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 42v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_043r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 43r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 43r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_043v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 43v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 43v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_044r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 44r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 44r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_044v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 44v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 44v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_045r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 45r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 45r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_045v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 45v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 45v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_046r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 46r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 46r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_046v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 46v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 46v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_047r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 47r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 47r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_047v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 47v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 47v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_048r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 48r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 48r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_048v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 48v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 48v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_049r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 49r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 49r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_049v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 49v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 49v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_050r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 50r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 50r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_050v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 50v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 50v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_051r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 51r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 51r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_051v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 51v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 51v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_052r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 52r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 52r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_052v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 52v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 52v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_053r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 53r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 53r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_053v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 53v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 53v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_054r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 54r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 54r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_054v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 54v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 54v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_055r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 55r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 55r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_055v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 55v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 55v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_056r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 56r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 56r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_056v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 56v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 56v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_057r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 57r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 57r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_057v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 57v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 57v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_058r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 58r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 58r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_058v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 58v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 58v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_059r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 59r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 59r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_059v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 59v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 59v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_060r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 60r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 60r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_060v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 60v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 60v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_061r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 61r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 61r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_061v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 61v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 61v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_062r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 62r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 62r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_062v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 62v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 62v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_063r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 63r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 63r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_063v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 63v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 63v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_064r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 64r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 64r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_064v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 64v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 64v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_065r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 65r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 65r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_065v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 65v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 65v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_066r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 66r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 66r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_066v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 66v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 66v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_067r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 67r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 67r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_067v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 67v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 67v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_068r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 68r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 68r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_068v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 68v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 68v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_069r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 69r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 69r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_069v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 69v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 69v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_070r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 70r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 70r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_070v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 70v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 70v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_071r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 71r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 71r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_071v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 71v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 71v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_072r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 72r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 72r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_072v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 72v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 72v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_073r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 73r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 73r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_073v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 73v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 73v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_074r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 74r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 74r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_074v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 74v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 74v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_075r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 75r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 75r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_075v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 75v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 75v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
