urn:cts:greekLit:tlg5026.e3.hmt:8.63	urn:cts:greekLit:tlg0012.tlg001.e3:8.101
urn:cts:greekLit:tlg5026.e3.hmt:8.64	urn:cts:greekLit:tlg0012.tlg001.e3:8.103
urn:cts:greekLit:tlg5026.e3.hmt:8.65	urn:cts:greekLit:tlg0012.tlg001.e3:8.104-8.107
urn:cts:greekLit:tlg5026.e3.hmt:8.66	urn:cts:greekLit:tlg0012.tlg001.e3:8.108
urn:cts:greekLit:tlg5026.e3.hmt:8.67	urn:cts:greekLit:tlg0012.tlg001.e3:8.111
urn:cts:greekLit:tlg5026.e3.hmt:8.68	urn:cts:greekLit:tlg0012.tlg001.e3:8.114
urn:cts:greekLit:tlg5026.e3.hmt:8.69	urn:cts:greekLit:tlg0012.tlg001.e3:8.112
urn:cts:greekLit:tlg5026.e3.hmt:8.70	urn:cts:greekLit:tlg0012.tlg001.e3:8.116
urn:cts:greekLit:tlg5026.e3.hmt:8.71	urn:cts:greekLit:tlg0012.tlg001.e3:8.117
urn:cts:greekLit:tlg5026.e3.hmt:8.72	urn:cts:greekLit:tlg0012.tlg001.e3:8.120
urn:cts:greekLit:tlg5026.e3.hmt:8.73	urn:cts:greekLit:tlg0012.tlg001.e3:8.122
urn:cts:greekLit:tlg5026.e3.hmt:8.74	urn:cts:greekLit:tlg0012.tlg001.e3:8.124
urn:cts:greekLit:tlg5026.e3.hmt:8.75	urn:cts:greekLit:tlg0012.tlg001.e3:8.126
urn:cts:greekLit:tlg5026.e3.hmt:8.76	urn:cts:greekLit:tlg0012.tlg001.e3:8.130
urn:cts:greekLit:tlg5026.e3.hmt:8.77	urn:cts:greekLit:tlg0012.tlg001.e3:8.133
urn:cts:greekLit:tlg5026.e3.hmt:8.78	urn:cts:greekLit:tlg0012.tlg001.e3:8.134
urn:cts:greekLit:tlg5026.e3.hmt:8.79	urn:cts:greekLit:tlg0012.tlg001.e3:8.135
urn:cts:greekLit:tlg5026.e3.hmt:8.80	urn:cts:greekLit:tlg0012.tlg001.e3:8.137
