TextUrn,ImageCitation
urn:cts:greekLit:tlg0012.tlg001.msA:4.1,"urn:cite:hmt:vaimg.VA051RN-0052@0.0841,0.5056,0.4344,0.0811"
urn:cts:greekLit:tlg0012.tlg001.msA:4.40,"urn:cite:hmt:vaimg.VA052RN-0053@0.1532,0.3283,0.4134,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.99,"urn:cite:hmt:vaimg.VA053RN-0054@0.1672,0.5004,0.4084,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.103,"urn:cite:hmt:vaimg.VA053RN-0054@0.1572,0.574,0.3684,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.105,"urn:cite:hmt:vaimg.VA053RN-0054@0.1582,0.6304,0.3974,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.151,"urn:cite:hmt:vaimg.VA054RN-0055@0.1702,0.5342,0.4054,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.193,"urn:cite:hmt:vaimg.VA055RN-0056@0.1642,0.3847,0.4014,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.197,"urn:cite:hmt:vaimg.VA055RN-0056@0.1461,0.4583,0.4164,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.201,"urn:cite:hmt:vaimg.VA055RN-0056@0.1652,0.5334,0.4114,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.205,"urn:cite:hmt:vaimg.VA055RN-0056@0.1421,0.6086,0.4114,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.215,"urn:cite:hmt:vaimg.VA055VN-0557@0.4755,0.3336,0.3624,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:4.226,"urn:cite:hmt:vaimg.VA055VN-0557@0.4805,0.5394,0.4004,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.239,"urn:cite:hmt:vaimg.VA056RN-0057@0.1862,0.3028,0.4094,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.250,"urn:cite:hmt:vaimg.VA056RN-0057@0.1682,0.5116,0.4304,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.253,"urn:cite:hmt:vaimg.VA056RN-0057@0.1782,0.568,0.4394,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.390,"urn:cite:hmt:vaimg.VA059RN-0060@0.1772,0.3095,0.4294,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:4.264,"urn:cite:hmt:vaimg.VA056VN-0558@0.4825,0.314,0.3794,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.275,"urn:cite:hmt:vaimg.VA056VN-0558@0.4845,0.5116,0.4164,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:4.286,"urn:cite:hmt:vaimg.VA057RN-0058@0.1992,0.2472,0.4044,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.394,"urn:cite:hmt:vaimg.VA059RN-0060@0.2022,0.3862,0.4104,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:4.297,"urn:cite:hmt:vaimg.VA057RN-0058@0.1882,0.4606,0.4304,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.401,"urn:cite:hmt:vaimg.VA059RN-0060@0.1922,0.5147,0.4394,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.308,"urn:cite:hmt:vaimg.VA057RN-0058@0.1772,0.6619,0.4384,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:4.319,"urn:cite:hmt:vaimg.VA057VN-0559@0.4705,0.4087,0.4194,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.412,"urn:cite:hmt:vaimg.VA059VN-0561@0.4635,0.263,0.4074,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.330,"urn:cite:hmt:vaimg.VA057VN-0559@0.4795,0.6086,0.4274,0.0421"
urn:cts:greekLit:tlg0012.tlg001.msA:4.341,"urn:cite:hmt:vaimg.VA058RN-0059@0.1792,0.3456,0.4024,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:4.423,"urn:cite:hmt:vaimg.VA059VN-0561@0.4675,0.4673,0.4234,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.352,"urn:cite:hmt:vaimg.VA058RN-0059@0.1662,0.5537,0.4244,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.362,"urn:cite:hmt:vaimg.VA058VN-0560@0.4815,0.2855,0.4064,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.373,"urn:cite:hmt:vaimg.VA058VN-0560@0.4885,0.4681,0.4134,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.434,"urn:cite:hmt:vaimg.VA059VN-0561@0.4745,0.6634,0.4174,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.384,"urn:cite:hmt:vaimg.VA058VN-0560@0.4885,0.6709,0.3854,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.443,"urn:cite:hmt:vaimg.VA060RN-0061@0.1892,0.3727,0.3874,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.452,"urn:cite:hmt:vaimg.VA060RN-0061@0.1872,0.5432,0.4274,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:4.475,"urn:cite:hmt:vaimg.VA060VN-0562@0.4665,0.4936,0.3994,0.0293"
1 PARTS! [, ]
urn:cts:greekLit:tlg0012.tlg001.msA:4.484,"urn:cite:hmt:vaimg.VA060VN-0562@0.4585,0.6551,0.4264,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.518,"urn:cite:hmt:vaimg.VA061VN-0563@0.4595,0.3441,0.3944,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:4.495,"urn:cite:hmt:vaimg.VA061RN-0062@0.1842,0.3989,0.4665,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.529,"urn:cite:hmt:vaimg.VA061VN-0563@0.4675,0.5447,0.4164,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.503,"urn:cite:hmt:vaimg.VA061RN-0062@0.1712,0.5507,0.4364,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.533,"urn:cite:hmt:vaimg.VA061VN-0563@0.4705,0.6221,0.4144,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:4.511,"urn:cite:hmt:vaimg.VA061RN-0062@0.1722,0.7047,0.4695,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.544,"urn:cite:hmt:vaimg.VA062RN-0063@0.1822,0.3561,0.4354,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.2,"urn:cite:hmt:vaimg.VA051RN-0052@0.1351,0.5537,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.38,"urn:cite:hmt:vaimg.VA052RN-0053@0.1552,0.287,0.3994,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.59,"urn:cite:hmt:vaimg.VA052VN-0554@0.4875,0.2216,0.3834,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.63,"urn:cite:hmt:vaimg.VA052VN-0554@0.4945,0.2945,0.3654,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.67,"urn:cite:hmt:vaimg.VA052VN-0554@0.4955,0.3727,0.3714,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.71,"urn:cite:hmt:vaimg.VA052VN-0554@0.4865,0.4463,0.4124,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.154,"urn:cite:hmt:vaimg.VA054RN-0055@0.1662,0.5875,0.4214,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:4.158,"urn:cite:hmt:vaimg.VA054RN-0055@0.1792,0.6672,0.3964,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.162,"urn:cite:hmt:vaimg.VA054VN-0556@0.4675,0.2795,0.3804,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.166,"urn:cite:hmt:vaimg.VA054VN-0556@0.4665,0.3524,0.3624,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.170,"urn:cite:hmt:vaimg.VA054VN-0556@0.4735,0.4245,0.3854,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.174,"urn:cite:hmt:vaimg.VA054VN-0556@0.4615,0.5056,0.3734,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:4.178,"urn:cite:hmt:vaimg.VA054VN-0556@0.4735,0.5748,0.4024,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.182,"urn:cite:hmt:vaimg.VA054VN-0556@0.4615,0.6439,0.3994,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:4.186,"urn:cite:hmt:vaimg.VA055RN-0056@0.1732,0.2479,0.3944,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:4.208,"urn:cite:hmt:vaimg.VA055RN-0056@0.1441,0.6634,0.4014,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.216,"urn:cite:hmt:vaimg.VA055VN-0557@0.4725,0.3456,0.4114,0.0436"
urn:cts:greekLit:tlg0012.tlg001.msA:4.227,"urn:cite:hmt:vaimg.VA055VN-0557@0.4905,0.5552,0.3944,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.244,"urn:cite:hmt:vaimg.VA056RN-0057@0.1692,0.3982,0.4184,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.258,"urn:cite:hmt:vaimg.VA056RN-0057@0.1712,0.6619,0.3864,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.386,"urn:cite:hmt:vaimg.VA059RN-0060@0.2032,0.2314,0.4294,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:4.269,"urn:cite:hmt:vaimg.VA056VN-0558@0.4895,0.4057,0.3944,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.280,"urn:cite:hmt:vaimg.VA056VN-0558@0.4855,0.6123,0.3664,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.291,"urn:cite:hmt:vaimg.VA057RN-0058@0.1832,0.3426,0.4254,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.302,"urn:cite:hmt:vaimg.VA057RN-0058@0.1742,0.5492,0.4234,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:4.313,"urn:cite:hmt:vaimg.VA057VN-0559@0.4685,0.2975,0.3734,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.408,"urn:cite:hmt:vaimg.VA059RN-0060@0.1622,0.6461,0.4655,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.324,"urn:cite:hmt:vaimg.VA057VN-0559@0.4755,0.4996,0.4054,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.335,"urn:cite:hmt:vaimg.VA058RN-0059@0.1772,0.2352,0.3804,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.419,"urn:cite:hmt:vaimg.VA059VN-0561@0.4675,0.3922,0.4124,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.346,"urn:cite:hmt:vaimg.VA058RN-0059@0.1582,0.4418,0.3924,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.353,"urn:cite:hmt:vaimg.VA058RN-0059@0.1712,0.5748,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.356,"urn:cite:hmt:vaimg.VA058RN-0059@0.1592,0.6289,0.4444,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.430,"urn:cite:hmt:vaimg.VA059VN-0561@0.4765,0.5898,0.4084,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.367,"urn:cite:hmt:vaimg.VA058VN-0560@0.4875,0.3779,0.3874,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:4.378,"urn:cite:hmt:vaimg.VA058VN-0560@0.4935,0.5597,0.4154,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.441,"urn:cite:hmt:vaimg.VA060RN-0061@0.1782,0.3366,0.3844,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:4.448,"urn:cite:hmt:vaimg.VA060RN-0061@0.1632,0.4666,0.4525,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.459,"urn:cite:hmt:vaimg.VA060RN-0061@0.1832,0.6747,0.4464,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.471,"urn:cite:hmt:vaimg.VA060VN-0562@0.4685,0.4192,0.3934,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:4.520,"urn:cite:hmt:vaimg.VA061VN-0563@0.4635,0.3817,0.4044,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.491,"urn:cite:hmt:vaimg.VA061RN-0062@0.1652,0.3223,0.4695,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.535,"urn:cite:hmt:vaimg.VA061VN-0563@0.4575,0.6582,0.4394,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.3,"urn:cite:hmt:vaimg.VA051RN-0052@0.1341,0.5718,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.7,"urn:cite:hmt:vaimg.VA051RN-0052@0.1241,0.6454,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.11,"urn:cite:hmt:vaimg.VA051VN-0553@0.4895,0.2637,0.3614,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:4.15,"urn:cite:hmt:vaimg.VA051VN-0553@0.4905,0.3366,0.3734,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:4.19,"urn:cite:hmt:vaimg.VA051VN-0553@0.4785,0.4117,0.3784,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.23,"urn:cite:hmt:vaimg.VA051VN-0553@0.4905,0.4793,0.4174,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.37,"urn:cite:hmt:vaimg.VA052RN-0053@0.1542,0.2667,0.3894,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.41,"urn:cite:hmt:vaimg.VA052RN-0053@0.1461,0.3464,0.3764,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.49,"urn:cite:hmt:vaimg.VA052RN-0053@0.1522,0.4891,0.4174,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.53,"urn:cite:hmt:vaimg.VA052RN-0053@0.1451,0.5642,0.4104,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.57,"urn:cite:hmt:vaimg.VA052RN-0053@0.1421,0.6386,0.4204,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.80,"urn:cite:hmt:vaimg.VA052VN-0554@0.4975,0.6071,0.4164,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:4.84,"urn:cite:hmt:vaimg.VA053RN-0054@0.1732,0.2261,0.4134,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:4.88,"urn:cite:hmt:vaimg.VA053RN-0054@0.1572,0.2998,0.4144,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.92,"urn:cite:hmt:vaimg.VA053RN-0054@0.1642,0.3719,0.4004,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.96,"urn:cite:hmt:vaimg.VA053RN-0054@0.1682,0.444,0.3744,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.108,"urn:cite:hmt:vaimg.VA053RN-0054@0.1461,0.6634,0.4284,0.0428"
urn:cts:greekLit:tlg0012.tlg001.msA:4.112,"urn:cite:hmt:vaimg.VA053VN-0555@0.4805,0.284,0.4134,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.116,"urn:cite:hmt:vaimg.VA053VN-0555@0.4835,0.3576,0.3834,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.120,"urn:cite:hmt:vaimg.VA053VN-0555@0.4835,0.4305,0.3954,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:4.121,"urn:cite:hmt:vaimg.VA053VN-0555@0.4835,0.4538,0.3814,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.128,"urn:cite:hmt:vaimg.VA053VN-0555@0.4905,0.577,0.3794,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.132,"urn:cite:hmt:vaimg.VA053VN-0555@0.5015,0.6506,0.3754,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.138,"urn:cite:hmt:vaimg.VA054RN-0055@0.1642,0.2945,0.4154,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.142,"urn:cite:hmt:vaimg.VA054RN-0055@0.1822,0.3689,0.3944,0.0301"
