IliadZone,Folio,ImageRoI,Notes
"urn:cite:hmt:textblock.221".v1,urn:cite:hmt:msA.122r,"urn:cite:hmt:vaimg.VA122RN_0294.v1@0.176,0.2104,0.469,0.4876",
"urn:cite:hmt:textblock.222".v1,urn:cite:hmt:msA.122v,"urn:cite:hmt:vaimg.VA122VN_0625.v1@0.474,0.2164,0.442,0.4853",
"urn:cite:hmt:textblock.223".v1,urn:cite:hmt:msA.123r,"urn:cite:hmt:vaimg.VA122VN_0625.v1@0.48,0.2156,0.448,0.4861",
"urn:cite:hmt:textblock.224".v1,urn:cite:hmt:msA.123v,"urn:cite:hmt:vaimg.VA123RN_0295.v1@0.178,0.1923,0.477,0.5004",
"urn:cite:hmt:textblock.225".v1,urn:cite:hmt:msA.124r,"urn:cite:hmt:vaimg.VA123VN_0626.v1@0.479,0.2074,0.445,0.4959",
"urn:cite:hmt:textblock.226".v1,urn:cite:hmt:msA.124v,"urn:cite:hmt:vaimg.VA124RN_0296.v1@0.175,0.2074,0.45,0.4996",
"urn:cite:hmt:textblock.227".v1,urn:cite:hmt:msA.125r,"urn:cite:hmt:vaimg.VA124VN_0627.v1@0.463,0.2104,0.478,0.5011",
"urn:cite:hmt:textblock.228".v1,urn:cite:hmt:msA.125v,"urn:cite:hmt:vaimg.VA125RN_0297.v1@0.164,0.1976,0.482,0.5041",
"urn:cite:hmt:textblock.229".v1,urn:cite:hmt:msA.126r,"urn:cite:hmt:vaimg.VA125VN_0628.v1@0.466,0.2216,0.442,0.4853",
"urn:cite:hmt:textblock.230".v1,urn:cite:hmt:msA.126v,"urn:cite:hmt:vaimg.VA126RN_0298.v1@0.137,0.1848,0.483,0.5147",book kappa begins
"urn:cite:hmt:textblock.231".v1,urn:cite:hmt:msA.127r,"urn:cite:hmt:vaimg.VA126VN_0629.v1@0.468,0.2111,0.453,0.4966",
