CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msA.hmt:3.579,"","urn:cite:hmt:vaimg.VA049VN-0551@0.22476050,0.60304288,0.67722918,0.15878285","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msA.hmt:3.585,"","urn:cite:hmt:vaimg.VA049VN-0551@0.23728814,0.73969571,0.64627856,0.05864454","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msA.hmt:3.590,"","urn:cite:hmt:vaimg.VA049VN-0551@0.34856301,0.75020747,0.54826824,0.04204703","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msA.hmt:3.594,"","urn:cite:hmt:vaimg.VA050RN-0051@0.15125276,0.10719225,0.60630066,0.02863071","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.598,"","urn:cite:hmt:vaimg.VA050RN-0051@0.15512159,0.12130014,0.61790715,0.07095436","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.605,"","urn:cite:hmt:vaimg.VA050RN-0051@0.59764186,0.45532503,0.16746500,0.09585062","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.610,"","urn:cite:hmt:vaimg.VA050RN-0051@0.59100958,0.53665284,0.17299189,0.03983402","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.620,"","urn:cite:hmt:vaimg.VA050RN-0051@0.55840088,0.57607192,0.20338983,0.14813278","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.623,"","urn:cite:hmt:vaimg.VA050RN-0051@0.12822402,0.70290456,0.62343405,0.03360996","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.625,"","urn:cite:hmt:vaimg.VA050RN-0051@0.14812085,0.72821577,0.60408990,0.05477178","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msA.hmt:3.627,"","urn:cite:hmt:vaimg.VA050VN-0552@0.20910096,0.11051176,0.65770081,0.03526971","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.650,"","urn:cite:hmt:vaimg.VA050VN-0552@0.21462786,0.13748271,0.65051584,0.04564315","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.632,"","urn:cite:hmt:vaimg.VA050VN-0552@0.21112749,0.24868603,0.21886514,0.07717842","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.635,"","urn:cite:hmt:vaimg.VA050VN-0552@0.19270450,0.32282158,0.21923360,0.06085754","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.645,"","urn:cite:hmt:vaimg.VA050VN-0552@0.19399410,0.36542185,0.24539425,0.21576763","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.649,"","urn:cite:hmt:vaimg.VA050VN-0552@0.21296979,0.57551867,0.67372881,0.18506224","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.652,"","urn:cite:hmt:vaimg.VA050VN-0552@0.22733972,0.73734440,0.65714812,0.11203320","urn:cite:hmt:msA.50v"
urn:cts:greekLit:tlg5026.msA.hmt:3.662,"","urn:cite:hmt:vaimg.VA051RN-0052@0.14535741,0.12116183,0.60022108,0.03568465","urn:cite:hmt:msA.51r"
urn:cts:greekLit:tlg5026.msA.hmt:3.668,"","urn:cite:hmt:vaimg.VA051RN-0052@0.14259396,0.14149378,0.61790715,0.03983402","urn:cite:hmt:msA.51r"
urn:cts:greekLit:tlg5026.msA.hmt:3.665,"","urn:cite:hmt:vaimg.VA051RN-0052@0.14148858,0.16514523,0.64112012,0.10912863","urn:cite:hmt:msA.51r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.4,"Aint 1","urn:cite:hmt:vaimg.VA042RN-0043@0.07184967,0.28049793,0.06890199,0.02461964","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.22,"Aint 2","urn:cite:hmt:vaimg.VA042RN-0043@0.06761238,0.40995851,0.06503316,0.03070539","urn:cite:hmt:msA.42r"
