CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msA.hmt:9.690,,"urn:cite:hmt:vaimg.VA113RN-0285@0.186,0.1561,0.3909,0.0378",urn:cite:hmt:msA.113r
urn:cts:greekLit:tlg5026.msA.hmt:9.693,,"urn:cite:hmt:vaimg.VA125RN-0297@0.6212,0.6217,0.1992,0.0705",urn:cite:hmt:msA.125r
urn:cts:greekLit:tlg5026.msA.hmt:9.697,,"urn:cite:hmt:vaimg.VA125RN-0297@0.1612,0.7671,0.6356,0.0233",urn:cite:hmt:msA.125r
urn:cts:greekLit:tlg5026.msA.hmt:9.1,,"urn:cite:hmt:vaimg.VA111VN-0614@0.1722,0.2637,0.2623,0.0518",urn:cite:hmt:msA.111v
urn:cts:greekLit:tlg5026.msA.hmt:9.106,,"urn:cite:hmt:vaimg.VA113VN-0616@0.2067,0.1266,0.7244,0.0415",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.107,,"urn:cite:hmt:vaimg.VA113VN-0616@0.1807,0.1426,0.7386,0.0386",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.108,,"urn:cite:hmt:vaimg.VA113VN-0616@0.1988,0.4712,0.2343,0.0593",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.109,,"urn:cite:hmt:vaimg.VA113VN-0616@0.1902,0.5147,0.2343,0.0805",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.110,,"urn:cite:hmt:vaimg.VA113VN-0616@0.1996,0.5861,0.2475,0.0752",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.111,,"urn:cite:hmt:vaimg.VA113VN-0616@0.2137,0.656,0.2434,0.0571",urn:cite:hmt:msA.113v
urn:cts:greekLit:tlg5026.msA.hmt:9.112,,"urn:cite:hmt:vaimg.VA113VN-0616@0.2002,0.7067,0.2598,0.0485",urn:cite:hmt:msA.113v
