CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msA.hmt:7.1,1 (msA) of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1573,0.1038,0.6442,0.0229",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.2,2 (msA) of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.174,0.1202,0.5792,0.0205",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.3,3 (msA) of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1746,0.1319,0.5556,0.0173",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.4,4 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1759,0.1454,0.6287,0.028",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.5,5 (msA) of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1734,0.1557,0.6312,0.028",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.6,6 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1764,0.1664,0.6489,0.1239",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.7,7 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.6071,0.2872,0.1964,0.1327",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.8,8 (msA),"urn:cite:hmt:vaimg.VA091RN-0263@0.6,0.4128,0.1963,0.0926",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.9,9 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.6056,0.4988,0.1989,0.1147",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.10,10 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.1598,0.7077,0.6323,0.0415",urn:cite:hmt:msA.91r
urn:cts:greekLit:tlg5026.msA.hmt:7.11,11 (msA)of Iliad 7,"urn:cite:hmt:vaimg.VA091RN-0263@0.176,0.7317,0.616,0.0507",urn:cite:hmt:msA.91r
