TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.44,"urn:cite:hmt:vaimg.VA101VN-0604@0.4645,0.305,0.4104,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.45,"urn:cite:hmt:vaimg.VA101VN-0604@0.4585,0.3238,0.4124,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.46,"urn:cite:hmt:vaimg.VA101VN-0604@0.4474,0.3403,0.4124,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.47,"urn:cite:hmt:vaimg.VA101VN-0604@0.4494,0.3591,0.4124,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.48,"urn:cite:hmt:vaimg.VA101VN-0604@0.4555,0.3794,0.4124,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.49,"urn:cite:hmt:vaimg.VA101VN-0604@0.4535,0.3982,0.3774,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.50,"urn:cite:hmt:vaimg.VA101VN-0604@0.4505,0.417,0.3964,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.51,"urn:cite:hmt:vaimg.VA101VN-0604@0.4535,0.4335,0.3964,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.52,"urn:cite:hmt:vaimg.VA101VN-0604@0.4535,0.453,0.3844,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.53,"urn:cite:hmt:vaimg.VA101VN-0604@0.4394,0.4718,0.4214,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.54,"urn:cite:hmt:vaimg.VA101VN-0604@0.4555,0.4914,0.4214,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.55,"urn:cite:hmt:vaimg.VA101VN-0604@0.4545,0.5101,0.4264,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.56,"urn:cite:hmt:vaimg.VA101VN-0604@0.4404,0.5304,0.4404,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.57,"urn:cite:hmt:vaimg.VA101VN-0604@0.4515,0.55,0.4404,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.58,"urn:cite:hmt:vaimg.VA101VN-0604@0.4414,0.5665,0.4014,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.59,"urn:cite:hmt:vaimg.VA101VN-0604@0.4595,0.5853,0.4014,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.60,"urn:cite:hmt:vaimg.VA101VN-0604@0.4364,0.6041,0.4134,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.61,"urn:cite:hmt:vaimg.VA101VN-0604@0.4605,0.6191,0.4314,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.62,"urn:cite:hmt:vaimg.VA101VN-0604@0.4404,0.6416,0.4214,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.63,"urn:cite:hmt:vaimg.VA101VN-0604@0.4565,0.6612,0.3934,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.64,"urn:cite:hmt:vaimg.VA101VN-0604@0.4585,0.6777,0.4174,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.65,"urn:cite:hmt:vaimg.VA101VN-0604@0.4454,0.6972,0.4404,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.66,"urn:cite:hmt:vaimg.VA102RN-0274@0.1802,0.2216,0.4064,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.67,"urn:cite:hmt:vaimg.VA102RN-0274@0.1942,0.2412,0.4484,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.68,"urn:cite:hmt:vaimg.VA102RN-0274@0.1822,0.269,0.4224,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:8.69,"urn:cite:hmt:vaimg.VA102RN-0274@0.1992,0.284,0.4284,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.70,"urn:cite:hmt:vaimg.VA102RN-0274@0.1722,0.3005,0.4274,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.71,"urn:cite:hmt:vaimg.VA102RN-0274@0.1722,0.3005,0.4274,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.72,"urn:cite:hmt:vaimg.VA102RN-0274@0.1852,0.3403,0.4685,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.73,"urn:cite:hmt:vaimg.VA102RN-0274@0.1622,0.3614,0.4605,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.74,"urn:cite:hmt:vaimg.VA102RN-0274@0.1612,0.3809,0.4605,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.75,"urn:cite:hmt:vaimg.VA102RN-0274@0.1862,0.3997,0.4254,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.76,"urn:cite:hmt:vaimg.VA102RN-0274@0.1872,0.417,0.4024,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.77,"urn:cite:hmt:vaimg.VA102RN-0274@0.1842,0.435,0.4394,0.0308"
