OccurrrenceUrn.v1	TextPassage
urn:cite:hmt:venAsign.65.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.305
urn:cite:hmt:venAsign.66.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.307
urn:cite:hmt:venAsign.67.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.310
urn:cite:hmt:venAsign.68.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.320
urn:cite:hmt:venAsign.69.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.330
urn:cite:hmt:venAsign.70.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.336
urn:cite:hmt:venAsign.71.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.338
urn:cite:hmt:venAsign.72.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.340
urn:cite:hmt:venAsign.73.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.351
urn:cite:hmt:venAsign.74.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.364
urn:cite:hmt:venAsign.75.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.365
urn:cite:hmt:venAsign.76.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.366
urn:cite:hmt:venAsign.77.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.367
urn:cite:hmt:venAsign.78.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.368
urn:cite:hmt:venAsign.79.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.369
urn:cite:hmt:venAsign.80.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.370
urn:cite:hmt:venAsign.81.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.371
urn:cite:hmt:venAsign.82.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
urn:cite:hmt:venAsign.83.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.84.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.85.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
urn:cite:hmt:venAsign.86.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.87.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.88.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.89.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.90.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
urn:cite:hmt:venAsign.91.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.92.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.93.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
urn:cite:hmt:venAsign.94.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.95.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.96.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.97.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.98.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.380
urn:cite:hmt:venAsign.99.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.381
urn:cite:hmt:venAsign.100.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.382
urn:cite:hmt:venAsign.101.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.383
urn:cite:hmt:venAsign.102.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.384
urn:cite:hmt:venAsign.103.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.385
urn:cite:hmt:venAsign.104.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.386
urn:cite:hmt:venAsign.105.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.387
urn:cite:hmt:venAsign.106.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.388
urn:cite:hmt:venAsign.107.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.389
urn:cite:hmt:venAsign.108.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.390
urn:cite:hmt:venAsign.109.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.391
urn:cite:hmt:venAsign.110.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.392
urn:cite:hmt:venAsign.111.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.393
urn:cite:hmt:venAsign.112.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.402
urn:cite:hmt:venAsign.113.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.403
urn:cite:hmt:venAsign.114.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.404
urn:cite:hmt:venAsign.115.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.405
urn:cite:hmt:venAsign.116.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.412
urn:cite:hmt:venAsign.117.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.424
urn:cite:hmt:venAsign.118.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.425
urn:cite:hmt:venAsign.119.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.429
urn:cite:hmt:venAsign.120.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.443
urn:cite:hmt:venAsign.121.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.444
urn:cite:hmt:venAsign.122.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.454
urn:cite:hmt:venAsign.123.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.459
urn:cite:hmt:venAsign.124.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.461
