Sequence	Passage	Sign
417	urn:cts:greekLit:tlg0012.tlg001.msA:3.277	⸖
418	urn:cts:greekLit:tlg0012.tlg001.msA:3.278	>
419	urn:cts:greekLit:tlg0012.tlg001.msA:3.279	⸖
420	urn:cts:greekLit:tlg0012.tlg001.msA:3.280	⸖
421	urn:cts:greekLit:tlg0012.tlg001.msA:3.286	>
422	urn:cts:greekLit:tlg0012.tlg001.msA:3.297	>
423	urn:cts:greekLit:tlg0012.tlg001.msA:3.305	>
424	urn:cts:greekLit:tlg0012.tlg001.msA:3.325	⸖
425	urn:cts:greekLit:tlg0012.tlg001.msA:3.333	⸖
426	urn:cts:greekLit:tlg0012.tlg001.msA:3.334	⸖
427	urn:cts:greekLit:tlg0012.tlg001.msA:3.335	⸖
428	urn:cts:greekLit:tlg0012.tlg001.msA:3.339	>
429	urn:cts:greekLit:tlg0012.tlg001.msA:3.352	—
430	urn:cts:greekLit:tlg0012.tlg001.msA:3.354	>
431	urn:cts:greekLit:tlg0012.tlg001.msA:3.361	>
432	urn:cts:greekLit:tlg0012.tlg001.msA:3.364	⸖
433	urn:cts:greekLit:tlg0012.tlg001.msA:3.368	>
434	urn:cts:greekLit:tlg0012.tlg001.msA:3.380	>
435	urn:cts:greekLit:tlg0012.tlg001.msA:3.391	>
436	urn:cts:greekLit:tlg0012.tlg001.msA:3.392	>
437	urn:cts:greekLit:tlg0012.tlg001.msA:3.395	⸖
438	urn:cts:greekLit:tlg0012.tlg001.msA:3.396	—
439	urn:cts:greekLit:tlg0012.tlg001.msA:3.397	—
440	urn:cts:greekLit:tlg0012.tlg001.msA:3.398	—
441	urn:cts:greekLit:tlg0012.tlg001.msA:3.399	—
442	urn:cts:greekLit:tlg0012.tlg001.msA:3.400	—
443	urn:cts:greekLit:tlg0012.tlg001.msA:3.401	—
444	urn:cts:greekLit:tlg0012.tlg001.msA:3.402	—
445	urn:cts:greekLit:tlg0012.tlg001.msA:3.403	—
446	urn:cts:greekLit:tlg0012.tlg001.msA:3.404	—
447	urn:cts:greekLit:tlg0012.tlg001.msA:3.405	—
448	urn:cts:greekLit:tlg0012.tlg001.msA:3.406	—
449	urn:cts:greekLit:tlg0012.tlg001.msA:3.407	—
450	urn:cts:greekLit:tlg0012.tlg001.msA:3.408	—
451	urn:cts:greekLit:tlg0012.tlg001.msA:3.409	—
452	urn:cts:greekLit:tlg0012.tlg001.msA:3.410	—
453	urn:cts:greekLit:tlg0012.tlg001.msA:3.411	—
454	urn:cts:greekLit:tlg0012.tlg001.msA:3.412	—
455	urn:cts:greekLit:tlg0012.tlg001.msA:3.413	—
456	urn:cts:greekLit:tlg0012.tlg001.msA:3.414	—
457	urn:cts:greekLit:tlg0012.tlg001.msA:3.415	—
458	urn:cts:greekLit:tlg0012.tlg001.msA:3.416	—
459	urn:cts:greekLit:tlg0012.tlg001.msA:3.417	—
460	urn:cts:greekLit:tlg0012.tlg001.msA:3.418	—
461	urn:cts:greekLit:tlg0012.tlg001.msA:3.423	
462	urn:cts:greekLit:tlg0012.tlg001.msA:3.424	⸖
463	urn:cts:greekLit:tlg0012.tlg001.msA:3.425	⸖
464	urn:cts:greekLit:tlg0012.tlg001.msA:3.426	⸖
465	urn:cts:greekLit:tlg0012.tlg001.msA:3.432	—
466	urn:cts:greekLit:tlg0012.tlg001.msA:3.433	—
467	urn:cts:greekLit:tlg0012.tlg001.msA:3.434	—
468	urn:cts:greekLit:tlg0012.tlg001.msA:3.435	—
469	urn:cts:greekLit:tlg0012.tlg001.msA:3.436	—
470	urn:cts:greekLit:tlg0012.tlg001.msA:3.445	>
471	urn:cts:greekLit:tlg0012.tlg001.msA:3.459	⸖
472	urn:cts:greekLit:tlg0012.tlg001.msA:3.460	>
473	urn:cts:greekLit:tlg0012.tlg001.msA:4.2	>
474	urn:cts:greekLit:tlg0012.tlg001.msA:4.3	⸖
475	urn:cts:greekLit:tlg0012.tlg001.msA:4.4	>
476	urn:cts:greekLit:tlg0012.tlg001.msA:4.21	>
477	urn:cts:greekLit:tlg0012.tlg001.msA:4.22	>
478	urn:cts:greekLit:tlg0012.tlg001.msA:4.45	>
479	urn:cts:greekLit:tlg0012.tlg001.msA:4.46	>
480	urn:cts:greekLit:tlg0012.tlg001.msA:4.52	>
481	urn:cts:greekLit:tlg0012.tlg001.msA:4.55	—
482	urn:cts:greekLit:tlg0012.tlg001.msA:4.56	—
483	urn:cts:greekLit:tlg0012.tlg001.msA:4.59	>
484	urn:cts:greekLit:tlg0012.tlg001.msA:4.60	>
485	urn:cts:greekLit:tlg0012.tlg001.msA:4.64	>
486	urn:cts:greekLit:tlg0012.tlg001.msA:4.71	>
487	urn:cts:greekLit:tlg0012.tlg001.msA:4.74	>
488	urn:cts:greekLit:tlg0012.tlg001.msA:4.88	⸖
489	urn:cts:greekLit:tlg0012.tlg001.msA:4.89	⸖
490	urn:cts:greekLit:tlg0012.tlg001.msA:4.100	>
491	urn:cts:greekLit:tlg0012.tlg001.msA:4.101	>
492	urn:cts:greekLit:tlg0012.tlg001.msA:4.102	>
493	urn:cts:greekLit:tlg0012.tlg001.msA:4.108	>
494	urn:cts:greekLit:tlg0012.tlg001.msA:4.117	—
495	urn:cts:greekLit:tlg0012.tlg001.msA:4.123	>
496	urn:cts:greekLit:tlg0012.tlg001.msA:4.133	>
497	urn:cts:greekLit:tlg0012.tlg001.msA:4.135	>
498	urn:cts:greekLit:tlg0012.tlg001.msA:4.138	>
499	urn:cts:greekLit:tlg0012.tlg001.msA:4.139	>
500	urn:cts:greekLit:tlg0012.tlg001.msA:4.140	—
501	urn:cts:greekLit:tlg0012.tlg001.msA:4.141	>
502	urn:cts:greekLit:tlg0012.tlg001.msA:4.154	>
503	urn:cts:greekLit:tlg0012.tlg001.msA:4.157	>
504	urn:cts:greekLit:tlg0012.tlg001.msA:4.159	>
505	urn:cts:greekLit:tlg0012.tlg001.msA:4.161	⸖
506	urn:cts:greekLit:tlg0012.tlg001.msA:4.164	>
507	urn:cts:greekLit:tlg0012.tlg001.msA:4.167	>
508	urn:cts:greekLit:tlg0012.tlg001.msA:4.171	>
509	urn:cts:greekLit:tlg0012.tlg001.msA:4.174	>
510	urn:cts:greekLit:tlg0012.tlg001.msA:4.176	>
511	urn:cts:greekLit:tlg0012.tlg001.msA:4.182	⸖
512	urn:cts:greekLit:tlg0012.tlg001.msA:4.187	⸖
513	urn:cts:greekLit:tlg0012.tlg001.msA:4.191	>
514	urn:cts:greekLit:tlg0012.tlg001.msA:4.195	※
515	urn:cts:greekLit:tlg0012.tlg001.msA:4.195	—
516	urn:cts:greekLit:tlg0012.tlg001.msA:4.196	※
517	urn:cts:greekLit:tlg0012.tlg001.msA:4.197	※
518	urn:cts:greekLit:tlg0012.tlg001.msA:4.197	—
519	urn:cts:greekLit:tlg0012.tlg001.msA:4.205	※
520	urn:cts:greekLit:tlg0012.tlg001.msA:4.206	>
521	urn:cts:greekLit:tlg0012.tlg001.msA:4.208	>
522	urn:cts:greekLit:tlg0012.tlg001.msA:4.216	>
523	urn:cts:greekLit:tlg0012.tlg001.msA:4.226	>
524	urn:cts:greekLit:tlg0012.tlg001.msA:4.228	>
525	urn:cts:greekLit:tlg0012.tlg001.msA:4.232	⸖
526	urn:cts:greekLit:tlg0012.tlg001.msA:4.243	>
527	urn:cts:greekLit:tlg0012.tlg001.msA:4.244	>
528	urn:cts:greekLit:tlg0012.tlg001.msA:4.246	>
529	urn:cts:greekLit:tlg0012.tlg001.msA:4.251	>
530	urn:cts:greekLit:tlg0012.tlg001.msA:4.262	>
531	urn:cts:greekLit:tlg0012.tlg001.msA:4.273	>
532	urn:cts:greekLit:tlg0012.tlg001.msA:4.277	⸖
533	urn:cts:greekLit:tlg0012.tlg001.msA:4.282	⸖
534	urn:cts:greekLit:tlg0012.tlg001.msA:4.295	>
535	urn:cts:greekLit:tlg0012.tlg001.msA:4.302	>
536	urn:cts:greekLit:tlg0012.tlg001.msA:4.307	>
537	urn:cts:greekLit:tlg0012.tlg001.msA:4.315	>
538	urn:cts:greekLit:tlg0012.tlg001.msA:4.320	—
539	urn:cts:greekLit:tlg0012.tlg001.msA:4.320	※
540	urn:cts:greekLit:tlg0012.tlg001.msA:4.325	>
541	urn:cts:greekLit:tlg0012.tlg001.msA:4.331	>
542	urn:cts:greekLit:tlg0012.tlg001.msA:4.339	⸖
543	urn:cts:greekLit:tlg0012.tlg001.msA:4.343	>
544	urn:cts:greekLit:tlg0012.tlg001.msA:4.345	>
545	urn:cts:greekLit:tlg0012.tlg001.msA:4.346	>
546	urn:cts:greekLit:tlg0012.tlg001.msA:4.354	>
547	urn:cts:greekLit:tlg0012.tlg001.msA:4.357	>
548	urn:cts:greekLit:tlg0012.tlg001.msA:4.377	>
549	urn:cts:greekLit:tlg0012.tlg001.msA:4.384	⸖
550	urn:cts:greekLit:tlg0012.tlg001.msA:4.390	※
551	urn:cts:greekLit:tlg0012.tlg001.msA:4.407	—
552	urn:cts:greekLit:tlg0012.tlg001.msA:4.408	—
553	urn:cts:greekLit:tlg0012.tlg001.msA:4.409	—
554	urn:cts:greekLit:tlg0012.tlg001.msA:4.412	>
555	urn:cts:greekLit:tlg0012.tlg001.msA:4.416	>
556	urn:cts:greekLit:tlg0012.tlg001.msA:4.429	>
557	urn:cts:greekLit:tlg0012.tlg001.msA:4.439	>
558	urn:cts:greekLit:tlg0012.tlg001.msA:4.440	>
559	urn:cts:greekLit:tlg0012.tlg001.msA:4.448	>
560	urn:cts:greekLit:tlg0012.tlg001.msA:4.451	>
561	urn:cts:greekLit:tlg0012.tlg001.msA:4.456	>
562	urn:cts:greekLit:tlg0012.tlg001.msA:4.457	>
563	urn:cts:greekLit:tlg0012.tlg001.msA:4.458	>
564	urn:cts:greekLit:tlg0012.tlg001.msA:4.463	>
565	urn:cts:greekLit:tlg0012.tlg001.msA:4.478	⸖
566	urn:cts:greekLit:tlg0012.tlg001.msA:4.487	>
567	urn:cts:greekLit:tlg0012.tlg001.msA:4.491	>
568	urn:cts:greekLit:tlg0012.tlg001.msA:4.500	>
569	urn:cts:greekLit:tlg0012.tlg001.msA:4.502	>
570	urn:cts:greekLit:tlg0012.tlg001.msA:4.513	>
571	urn:cts:greekLit:tlg0012.tlg001.msA:4.521	>
572	urn:cts:greekLit:tlg0012.tlg001.msA:4.527	>
573	urn:cts:greekLit:tlg0012.tlg001.msA:4.535	>
574	urn:cts:greekLit:tlg0012.tlg001.msA:4.539	>
575	urn:cts:greekLit:tlg0012.tlg001.msA:4.540	>
576	urn:cts:greekLit:tlg0012.tlg001.msA:5.5	>
577	urn:cts:greekLit:tlg0012.tlg001.msA:5.6	>
578	urn:cts:greekLit:tlg0012.tlg001.msA:5.14	>
579	urn:cts:greekLit:tlg0012.tlg001.msA:5.17	>
580	urn:cts:greekLit:tlg0012.tlg001.msA:5.21	>
581	urn:cts:greekLit:tlg0012.tlg001.msA:5.28	>
582	urn:cts:greekLit:tlg0012.tlg001.msA:5.31	⸖
583	urn:cts:greekLit:tlg0012.tlg001.msA:5.37	>
584	urn:cts:greekLit:tlg0012.tlg001.msA:5.39	>
585	urn:cts:greekLit:tlg0012.tlg001.msA:5.52	>
586	urn:cts:greekLit:tlg0012.tlg001.msA:5.53	⸖
587	urn:cts:greekLit:tlg0012.tlg001.msA:5.58	>
588	urn:cts:greekLit:tlg0012.tlg001.msA:5.60	>
589	urn:cts:greekLit:tlg0012.tlg001.msA:5.64	—
590	urn:cts:greekLit:tlg0012.tlg001.msA:5.68	>
591	urn:cts:greekLit:tlg0012.tlg001.msA:5.70	>
592	urn:cts:greekLit:tlg0012.tlg001.msA:5.79	>
593	urn:cts:greekLit:tlg0012.tlg001.msA:5.83	>
594	urn:cts:greekLit:tlg0012.tlg001.msA:5.85	>
595	urn:cts:greekLit:tlg0012.tlg001.msA:5.99	>
596	urn:cts:greekLit:tlg0012.tlg001.msA:5.105	>
597	urn:cts:greekLit:tlg0012.tlg001.msA:5.121	>
598	urn:cts:greekLit:tlg0012.tlg001.msA:5.122	※
599	urn:cts:greekLit:tlg0012.tlg001.msA:5.128	⸖
600	urn:cts:greekLit:tlg0012.tlg001.msA:5.138	⸖
601	urn:cts:greekLit:tlg0012.tlg001.msA:5.140	>
602	urn:cts:greekLit:tlg0012.tlg001.msA:5.141	>
603	urn:cts:greekLit:tlg0012.tlg001.msA:5.145	>
604	urn:cts:greekLit:tlg0012.tlg001.msA:5.146	⸖
605	urn:cts:greekLit:tlg0012.tlg001.msA:5.147	>
606	urn:cts:greekLit:tlg0012.tlg001.msA:5.148	>
607	urn:cts:greekLit:tlg0012.tlg001.msA:5.149	>
608	urn:cts:greekLit:tlg0012.tlg001.msA:5.150	>
609	urn:cts:greekLit:tlg0012.tlg001.msA:5.153	>
610	urn:cts:greekLit:tlg0012.tlg001.msA:5.156	⸖
611	urn:cts:greekLit:tlg0012.tlg001.msA:5.162	⸖
612	urn:cts:greekLit:tlg0012.tlg001.msA:5.169	>
613	urn:cts:greekLit:tlg0012.tlg001.msA:5.173	>
614	urn:cts:greekLit:tlg0012.tlg001.msA:5.177	>
615	urn:cts:greekLit:tlg0012.tlg001.msA:5.183	—
616	urn:cts:greekLit:tlg0012.tlg001.msA:5.187	⸖
617	urn:cts:greekLit:tlg0012.tlg001.msA:5.188	>
618	urn:cts:greekLit:tlg0012.tlg001.msA:5.189	>
619	urn:cts:greekLit:tlg0012.tlg001.msA:5.191	>
620	urn:cts:greekLit:tlg0012.tlg001.msA:5.194	⸖
621	urn:cts:greekLit:tlg0012.tlg001.msA:5.195	>
622	urn:cts:greekLit:tlg0012.tlg001.msA:5.197	>
623	urn:cts:greekLit:tlg0012.tlg001.msA:5.200	>
624	urn:cts:greekLit:tlg0012.tlg001.msA:5.208	>
625	urn:cts:greekLit:tlg0012.tlg001.msA:5.210	>
626	urn:cts:greekLit:tlg0012.tlg001.msA:5.211	>
627	urn:cts:greekLit:tlg0012.tlg001.msA:5.212	>
628	urn:cts:greekLit:tlg0012.tlg001.msA:5.222	>
629	urn:cts:greekLit:tlg0012.tlg001.msA:5.223	>
630	urn:cts:greekLit:tlg0012.tlg001.msA:5.224	>
631	urn:cts:greekLit:tlg0012.tlg001.msA:5.228	>
632	urn:cts:greekLit:tlg0012.tlg001.msA:5.230	>
633	urn:cts:greekLit:tlg0012.tlg001.msA:5.233	>
634	urn:cts:greekLit:tlg0012.tlg001.msA:5.238	>
635	urn:cts:greekLit:tlg0012.tlg001.msA:5.245	>
636	urn:cts:greekLit:tlg0012.tlg001.msA:5.249	>
637	urn:cts:greekLit:tlg0012.tlg001.msA:5.252	>
638	urn:cts:greekLit:tlg0012.tlg001.msA:5.253	>
639	urn:cts:greekLit:tlg0012.tlg001.msA:5.255	>
640	urn:cts:greekLit:tlg0012.tlg001.msA:5.257	>
641	urn:cts:greekLit:tlg0012.tlg001.msA:5.261	>
642	urn:cts:greekLit:tlg0012.tlg001.msA:5.262	>
643	urn:cts:greekLit:tlg0012.tlg001.msA:5.263	>
644	urn:cts:greekLit:tlg0012.tlg001.msA:5.266	>
645	urn:cts:greekLit:tlg0012.tlg001.msA:5.269	>
646	urn:cts:greekLit:tlg0012.tlg001.msA:5.272	>
647	urn:cts:greekLit:tlg0012.tlg001.msA:5.278	>
648	urn:cts:greekLit:tlg0012.tlg001.msA:5.289	>
649	urn:cts:greekLit:tlg0012.tlg001.msA:5.298	>
650	urn:cts:greekLit:tlg0012.tlg001.msA:5.299	>
651	urn:cts:greekLit:tlg0012.tlg001.msA:5.300	>
652	urn:cts:greekLit:tlg0012.tlg001.msA:5.309	>
653	urn:cts:greekLit:tlg0012.tlg001.msA:5.310	※
654	urn:cts:greekLit:tlg0012.tlg001.msA:5.319	>
655	urn:cts:greekLit:tlg0012.tlg001.msA:5.323	⸖
656	urn:cts:greekLit:tlg0012.tlg001.msA:5.329	⸖
657	urn:cts:greekLit:tlg0012.tlg001.msA:5.333	>
658	urn:cts:greekLit:tlg0012.tlg001.msA:5.638	>
659	urn:cts:greekLit:tlg0012.tlg001.msA:5.648	>
660	urn:cts:greekLit:tlg0012.tlg001.msA:5.657	>
661	urn:cts:greekLit:tlg0012.tlg001.msA:5.661	>
662	urn:cts:greekLit:tlg0012.tlg001.msA:5.662	>
663	urn:cts:greekLit:tlg0012.tlg001.msA:5.667	>
664	urn:cts:greekLit:tlg0012.tlg001.msA:5.670	>
665	urn:cts:greekLit:tlg0012.tlg001.msA:5.684	>
666	urn:cts:greekLit:tlg0012.tlg001.msA:5.700	>
667	urn:cts:greekLit:tlg0012.tlg001.msA:5.705	>
668	urn:cts:greekLit:tlg0012.tlg001.msA:5.706	>
669	urn:cts:greekLit:tlg0012.tlg001.msA:5.708	⸖
670	urn:cts:greekLit:tlg0012.tlg001.msA:5.729	>
671	urn:cts:greekLit:tlg0012.tlg001.msA:5.734	※
672	urn:cts:greekLit:tlg0012.tlg001.msA:5.735	※
673	urn:cts:greekLit:tlg0012.tlg001.msA:5.736	※
674	urn:cts:greekLit:tlg0012.tlg001.msA:5.736	>
675	urn:cts:greekLit:tlg0012.tlg001.msA:5.744	>
676	urn:cts:greekLit:tlg0012.tlg001.msA:5.746	※
677	urn:cts:greekLit:tlg0012.tlg001.msA:5.747	※
678	urn:cts:greekLit:tlg0012.tlg001.msA:5.749	>
679	urn:cts:greekLit:tlg0012.tlg001.msA:5.754	>
680	urn:cts:greekLit:tlg0012.tlg001.msA:5.763	>
681	urn:cts:greekLit:tlg0012.tlg001.msA:5.764	>
682	urn:cts:greekLit:tlg0012.tlg001.msA:5.774	>
683	urn:cts:greekLit:tlg0012.tlg001.msA:5.785	>
684	urn:cts:greekLit:tlg0012.tlg001.msA:5.795	>
685	urn:cts:greekLit:tlg0012.tlg001.msA:5.796	>
686	urn:cts:greekLit:tlg0012.tlg001.msA:5.800	>
687	urn:cts:greekLit:tlg0012.tlg001.msA:5.807	⸖
688	urn:cts:greekLit:tlg0012.tlg001.msA:5.812	>
689	urn:cts:greekLit:tlg0012.tlg001.msA:5.814	>
690	urn:cts:greekLit:tlg0012.tlg001.msA:5.832	>
691	urn:cts:greekLit:tlg0012.tlg001.msA:5.834	>
692	urn:cts:greekLit:tlg0012.tlg001.msA:5.836	>
693	urn:cts:greekLit:tlg0012.tlg001.msA:5.838	—
694	urn:cts:greekLit:tlg0012.tlg001.msA:5.839	—
695	urn:cts:greekLit:tlg0012.tlg001.msA:5.842	>
696	urn:cts:greekLit:tlg0012.tlg001.msA:5.857	>
697	urn:cts:greekLit:tlg0012.tlg001.msA:5.864	>
698	urn:cts:greekLit:tlg0012.tlg001.msA:5.875	>
699	urn:cts:greekLit:tlg0012.tlg001.msA:5.878	>
700	urn:cts:greekLit:tlg0012.tlg001.msA:5.891	※
701	urn:cts:greekLit:tlg0012.tlg001.msA:5.892	>
702	urn:cts:greekLit:tlg0012.tlg001.msA:5.893	>
703	urn:cts:greekLit:tlg0012.tlg001.msA:5.895	—
704	urn:cts:greekLit:tlg0012.tlg001.msA:5.898	⸖
705	urn:cts:greekLit:tlg0012.tlg001.msA:5.899	>
706	urn:cts:greekLit:tlg0012.tlg001.msA:5.905	>
707	urn:cts:greekLit:tlg0012.tlg001.msA:5.906	※
708	urn:cts:greekLit:tlg0012.tlg001.msA:5.906	>
709	urn:cts:greekLit:tlg0012.tlg001.msA:6.2	>
710	urn:cts:greekLit:tlg0012.tlg001.msA:6.3	>
711	urn:cts:greekLit:tlg0012.tlg001.msA:6.4	>
712	urn:cts:greekLit:tlg0012.tlg001.msA:6.9	>
713	urn:cts:greekLit:tlg0012.tlg001.msA:6.15	>
714	urn:cts:greekLit:tlg0012.tlg001.msA:6.17	>
715	urn:cts:greekLit:tlg0012.tlg001.msA:6.18	>
716	urn:cts:greekLit:tlg0012.tlg001.msA:6.19	>
717	urn:cts:greekLit:tlg0012.tlg001.msA:6.24	>
718	urn:cts:greekLit:tlg0012.tlg001.msA:6.25	>
719	urn:cts:greekLit:tlg0012.tlg001.msA:6.34	⸖
720	urn:cts:greekLit:tlg0012.tlg001.msA:6.38	>
721	urn:cts:greekLit:tlg0012.tlg001.msA:6.40	>
722	urn:cts:greekLit:tlg0012.tlg001.msA:6.41	>
723	urn:cts:greekLit:tlg0012.tlg001.msA:6.43	>
724	urn:cts:greekLit:tlg0012.tlg001.msA:6.50	>
725	urn:cts:greekLit:tlg0012.tlg001.msA:6.64	>
726	urn:cts:greekLit:tlg0012.tlg001.msA:6.71	>
727	urn:cts:greekLit:tlg0012.tlg001.msA:6.77	>
728	urn:cts:greekLit:tlg0012.tlg001.msA:6.87	>
729	urn:cts:greekLit:tlg0012.tlg001.msA:6.92	>
730	urn:cts:greekLit:tlg0012.tlg001.msA:6.96	>
731	urn:cts:greekLit:tlg0012.tlg001.msA:6.97	>
732	urn:cts:greekLit:tlg0012.tlg001.msA:6.112	⸖
733	urn:cts:greekLit:tlg0012.tlg001.msA:6.117	>
734	urn:cts:greekLit:tlg0012.tlg001.msA:6.119	>
735	urn:cts:greekLit:tlg0012.tlg001.msA:6.128	>
736	urn:cts:greekLit:tlg0012.tlg001.msA:6.130	>
737	urn:cts:greekLit:tlg0012.tlg001.msA:6.132	>
738	urn:cts:greekLit:tlg0012.tlg001.msA:6.135	>
739	urn:cts:greekLit:tlg0012.tlg001.msA:6.146	>
740	urn:cts:greekLit:tlg0012.tlg001.msA:6.150	>
741	urn:cts:greekLit:tlg0012.tlg001.msA:6.152	>
742	urn:cts:greekLit:tlg0012.tlg001.msA:6.153	>
743	urn:cts:greekLit:tlg0012.tlg001.msA:6.154	>
744	urn:cts:greekLit:tlg0012.tlg001.msA:6.160	>
745	urn:cts:greekLit:tlg0012.tlg001.msA:6.169	>
746	urn:cts:greekLit:tlg0012.tlg001.msA:6.170	>
747	urn:cts:greekLit:tlg0012.tlg001.msA:6.174	>
748	urn:cts:greekLit:tlg0012.tlg001.msA:6.176	>
749	urn:cts:greekLit:tlg0012.tlg001.msA:6.178	>
750	urn:cts:greekLit:tlg0012.tlg001.msA:6.181	>
751	urn:cts:greekLit:tlg0012.tlg001.msA:6.183	>
752	urn:cts:greekLit:tlg0012.tlg001.msA:6.189	>
753	urn:cts:greekLit:tlg0012.tlg001.msA:6.191	>
754	urn:cts:greekLit:tlg0012.tlg001.msA:6.194	>
755	urn:cts:greekLit:tlg0012.tlg001.msA:6.198	>
756	urn:cts:greekLit:tlg0012.tlg001.msA:6.199	>
757	urn:cts:greekLit:tlg0012.tlg001.msA:6.201	>
758	urn:cts:greekLit:tlg0012.tlg001.msA:6.210	>
759	urn:cts:greekLit:tlg0012.tlg001.msA:6.218	>
760	urn:cts:greekLit:tlg0012.tlg001.msA:6.237	>
761	urn:cts:greekLit:tlg0012.tlg001.msA:6.239	>
762	urn:cts:greekLit:tlg0012.tlg001.msA:6.241	>
763	urn:cts:greekLit:tlg0012.tlg001.msA:6.248	>
764	urn:cts:greekLit:tlg0012.tlg001.msA:6.252	>
765	urn:cts:greekLit:tlg0012.tlg001.msA:6.257	>
766	urn:cts:greekLit:tlg0012.tlg001.msA:6.260	>
767	urn:cts:greekLit:tlg0012.tlg001.msA:6.262	>
768	urn:cts:greekLit:tlg0012.tlg001.msA:6.264	>
769	urn:cts:greekLit:tlg0012.tlg001.msA:6.265	>
770	urn:cts:greekLit:tlg0012.tlg001.msA:6.266	⸖
771	urn:cts:greekLit:tlg0012.tlg001.msA:6.273	>
772	urn:cts:greekLit:tlg0012.tlg001.msA:6.277	>
773	urn:cts:greekLit:tlg0012.tlg001.msA:6.278	>
774	urn:cts:greekLit:tlg0012.tlg001.msA:6.285	>
775	urn:cts:greekLit:tlg0012.tlg001.msA:6.289	>
776	urn:cts:greekLit:tlg0012.tlg001.msA:6.291	>
777	urn:cts:greekLit:tlg0012.tlg001.msA:6.292	>
778	urn:cts:greekLit:tlg0012.tlg001.msA:6.303	>
779	urn:cts:greekLit:tlg0012.tlg001.msA:6.311	—
780	urn:cts:greekLit:tlg0012.tlg001.msA:6.317	>
781	urn:cts:greekLit:tlg0012.tlg001.msA:6.319	>
782	urn:cts:greekLit:tlg0012.tlg001.msA:6.325	>
783	urn:cts:greekLit:tlg0012.tlg001.msA:6.326	>
784	urn:cts:greekLit:tlg0012.tlg001.msA:6.331	>
785	urn:cts:greekLit:tlg0012.tlg001.msA:6.335	>
786	urn:cts:greekLit:tlg0012.tlg001.msA:6.337	>
787	urn:cts:greekLit:tlg0012.tlg001.msA:6.360	>
788	urn:cts:greekLit:tlg0012.tlg001.msA:6.370	>
789	urn:cts:greekLit:tlg0012.tlg001.msA:6.396	>
790	urn:cts:greekLit:tlg0012.tlg001.msA:6.398	>
791	urn:cts:greekLit:tlg0012.tlg001.msA:6.400	>
792	urn:cts:greekLit:tlg0012.tlg001.msA:6.403	>
793	urn:cts:greekLit:tlg0012.tlg001.msA:6.408	>
794	urn:cts:greekLit:tlg0012.tlg001.msA:6.415	>
795	urn:cts:greekLit:tlg0012.tlg001.msA:6.417	>
796	urn:cts:greekLit:tlg0012.tlg001.msA:6.433	—
797	urn:cts:greekLit:tlg0012.tlg001.msA:6.434	—
798	urn:cts:greekLit:tlg0012.tlg001.msA:6.435	—
799	urn:cts:greekLit:tlg0012.tlg001.msA:6.436	—
800	urn:cts:greekLit:tlg0012.tlg001.msA:6.437	—
801	urn:cts:greekLit:tlg0012.tlg001.msA:6.438	—
802	urn:cts:greekLit:tlg0012.tlg001.msA:6.439	—
803	urn:cts:greekLit:tlg0012.tlg001.msA:6.448	>
804	urn:cts:greekLit:tlg0012.tlg001.msA:6.457	>
805	urn:cts:greekLit:tlg0012.tlg001.msA:6.459	>
806	urn:cts:greekLit:tlg0012.tlg001.msA:6.464	>
807	urn:cts:greekLit:tlg0012.tlg001.msA:6.472	>
808	urn:cts:greekLit:tlg0012.tlg001.msA:6.490	※
809	urn:cts:greekLit:tlg0012.tlg001.msA:6.491	※
810	urn:cts:greekLit:tlg0012.tlg001.msA:6.492	※
811	urn:cts:greekLit:tlg0012.tlg001.msA:6.493	※
812	urn:cts:greekLit:tlg0012.tlg001.msA:6.506	>
813	urn:cts:greekLit:tlg0012.tlg001.msA:6.506	※
814	urn:cts:greekLit:tlg0012.tlg001.msA:6.507	>
815	urn:cts:greekLit:tlg0012.tlg001.msA:6.507	※
816	urn:cts:greekLit:tlg0012.tlg001.msA:6.508	※
817	urn:cts:greekLit:tlg0012.tlg001.msA:6.509	※
818	urn:cts:greekLit:tlg0012.tlg001.msA:6.510	>
819	urn:cts:greekLit:tlg0012.tlg001.msA:6.511	⸖
820	urn:cts:greekLit:tlg0012.tlg001.msA:6.512	>
821	urn:cts:greekLit:tlg0012.tlg001.msA:6.514	>
822	urn:cts:greekLit:tlg0012.tlg001.msA:6.518	>
823	urn:cts:greekLit:tlg0012.tlg001.msA:7.5	>
824	urn:cts:greekLit:tlg0012.tlg001.msA:7.6	>
825	urn:cts:greekLit:tlg0012.tlg001.msA:7.8	>
826	urn:cts:greekLit:tlg0012.tlg001.msA:7.9	⸖
827	urn:cts:greekLit:tlg0012.tlg001.msA:7.10	>
828	urn:cts:greekLit:tlg0012.tlg001.msA:7.12	>
829	urn:cts:greekLit:tlg0012.tlg001.msA:7.16	>
830	urn:cts:greekLit:tlg0012.tlg001.msA:7.20	>
831	urn:cts:greekLit:tlg0012.tlg001.msA:7.22	>
832	urn:cts:greekLit:tlg0012.tlg001.msA:7.32	⸖
833	urn:cts:greekLit:tlg0012.tlg001.msA:7.39	>
834	urn:cts:greekLit:tlg0012.tlg001.msA:7.41	>
835	urn:cts:greekLit:tlg0012.tlg001.msA:7.44	>
836	urn:cts:greekLit:tlg0012.tlg001.msA:7.46	>
837	urn:cts:greekLit:tlg0012.tlg001.msA:7.53	—
