Passage	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:1.305	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.307	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.310	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.320	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.330	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.336	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.338	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.340	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.351	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.364	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.365	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.366	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.367	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.368	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.369	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.370	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.371	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.372	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.372	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.373	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.373	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.374	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.374	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.375	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.375	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.376	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.376	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.377	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.377	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.378	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.378	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.379	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.379	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.380	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.381	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.382	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.383	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.384	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.385	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.386	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.387	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.388	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.389	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.390	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.391	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.392	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.393	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.402	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.403	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.404	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.405	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:1.412	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.424	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.425	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.429	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.443	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.444	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.454	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.459	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.461	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.467	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.472	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.473	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.474	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:1.477	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.493	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.497	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.526	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:1.530	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.564	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.567	urn:cite:hmt:critsigns.dotteddiple
