OccurrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.623.v1	623	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.200
urn:cite:hmt:venAsign.624.v1	624	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.208
urn:cite:hmt:venAsign.625.v1	625	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.210
urn:cite:hmt:venAsign.626.v1	626	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.211
urn:cite:hmt:venAsign.627.v1	627	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.212
urn:cite:hmt:venAsign.628.v1	628	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.222
urn:cite:hmt:venAsign.629.v1	629	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.223
urn:cite:hmt:venAsign.630.v1	630	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.224
urn:cite:hmt:venAsign.631.v1	631	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.228
urn:cite:hmt:venAsign.632.v1	632	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.230
urn:cite:hmt:venAsign.633.v1	633	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.233
urn:cite:hmt:venAsign.634.v1	634	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.238
urn:cite:hmt:venAsign.635.v1	635	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.245
urn:cite:hmt:venAsign.636.v1	636	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.249
urn:cite:hmt:venAsign.637.v1	637	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.252
urn:cite:hmt:venAsign.638.v1	638	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.253
urn:cite:hmt:venAsign.639.v1	639	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.255
urn:cite:hmt:venAsign.640.v1	640	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.257
urn:cite:hmt:venAsign.641.v1	641	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.261
urn:cite:hmt:venAsign.642.v1	642	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.262
urn:cite:hmt:venAsign.643.v1	643	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.263
urn:cite:hmt:venAsign.644.v1	644	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.266
urn:cite:hmt:venAsign.645.v1	645	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.269
urn:cite:hmt:venAsign.646.v1	646	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.272
urn:cite:hmt:venAsign.647.v1	647	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.278
urn:cite:hmt:venAsign.648.v1	648	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.289
urn:cite:hmt:venAsign.649.v1	649	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.298
urn:cite:hmt:venAsign.650.v1	650	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.299
urn:cite:hmt:venAsign.651.v1	651	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.300
urn:cite:hmt:venAsign.652.v1	652	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.309
urn:cite:hmt:venAsign.653.v1	653	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.310
urn:cite:hmt:venAsign.654.v1	654	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.319
urn:cite:hmt:venAsign.655.v1	655	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:5.323
urn:cite:hmt:venAsign.656.v1	656	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:5.329
urn:cite:hmt:venAsign.657.v1	657	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.333
urn:cite:hmt:venAsign.658.v1	658	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.638
urn:cite:hmt:venAsign.659.v1	659	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.648
urn:cite:hmt:venAsign.660.v1	660	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.657
urn:cite:hmt:venAsign.661.v1	661	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.661
urn:cite:hmt:venAsign.662.v1	662	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.662
urn:cite:hmt:venAsign.663.v1	663	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.667
urn:cite:hmt:venAsign.664.v1	664	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.670
urn:cite:hmt:venAsign.665.v1	665	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.684
urn:cite:hmt:venAsign.666.v1	666	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.700
urn:cite:hmt:venAsign.667.v1	667	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.705
urn:cite:hmt:venAsign.668.v1	668	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.706
urn:cite:hmt:venAsign.669.v1	669	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:5.708
urn:cite:hmt:venAsign.670.v1	670	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.729
urn:cite:hmt:venAsign.671.v1	671	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.734
urn:cite:hmt:venAsign.672.v1	672	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.736
urn:cite:hmt:venAsign.673.v1	673	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.735
urn:cite:hmt:venAsign.674.v1	674	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.736
urn:cite:hmt:venAsign.675.v1	675	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.744
urn:cite:hmt:venAsign.676.v1	676	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.746
urn:cite:hmt:venAsign.677.v1	677	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.747
urn:cite:hmt:venAsign.678.v1	678	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.749
urn:cite:hmt:venAsign.679.v1	679	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.754
urn:cite:hmt:venAsign.680.v1	680	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.763
urn:cite:hmt:venAsign.681.v1	681	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.764
urn:cite:hmt:venAsign.682.v1	682	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.774
urn:cite:hmt:venAsign.683.v1	683	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.785
urn:cite:hmt:venAsign.684.v1	684	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.795
urn:cite:hmt:venAsign.685.v1	685	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.796
urn:cite:hmt:venAsign.686.v1	686	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.800
urn:cite:hmt:venAsign.687.v1	687	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:5.807
urn:cite:hmt:venAsign.688.v1	688	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.812
urn:cite:hmt:venAsign.689.v1	689	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.814
urn:cite:hmt:venAsign.690.v1	690	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.832
urn:cite:hmt:venAsign.691.v1	691	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.834
urn:cite:hmt:venAsign.692.v1	692	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.836
urn:cite:hmt:venAsign.693.v1	693	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:5.838
urn:cite:hmt:venAsign.694.v1	694	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:5.839
urn:cite:hmt:venAsign.695.v1	695	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.842
urn:cite:hmt:venAsign.696.v1	696	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.857
urn:cite:hmt:venAsign.697.v1	697	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.864
urn:cite:hmt:venAsign.698.v1	698	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.875
urn:cite:hmt:venAsign.699.v1	699	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.878
urn:cite:hmt:venAsign.700.v1	700	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.891
urn:cite:hmt:venAsign.701.v1	701	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.892
urn:cite:hmt:venAsign.702.v1	702	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.893
urn:cite:hmt:venAsign.703.v1	703	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:5.895
urn:cite:hmt:venAsign.704.v1	704	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:5.898
urn:cite:hmt:venAsign.705.v1	705	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.899
urn:cite:hmt:venAsign.706.v1	706	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.905
urn:cite:hmt:venAsign.707.v1	707	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:5.906
urn:cite:hmt:venAsign.708.v1	708	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:5.906
urn:cite:hmt:venAsign.709.v1	709	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.2
urn:cite:hmt:venAsign.710.v1	710	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.3
urn:cite:hmt:venAsign.711.v1	711	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.4
urn:cite:hmt:venAsign.712.v1	712	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.9
urn:cite:hmt:venAsign.713.v1	713	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.15
urn:cite:hmt:venAsign.714.v1	714	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.17
urn:cite:hmt:venAsign.715.v1	715	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.18
urn:cite:hmt:venAsign.716.v1	716	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.19
urn:cite:hmt:venAsign.717.v1	717	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.24
urn:cite:hmt:venAsign.718.v1	718	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.25
urn:cite:hmt:venAsign.719.v1	719	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:6.34
urn:cite:hmt:venAsign.720.v1	720	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.38
urn:cite:hmt:venAsign.721.v1	721	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.40
urn:cite:hmt:venAsign.722.v1	722	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.41
urn:cite:hmt:venAsign.723.v1	723	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.43
urn:cite:hmt:venAsign.724.v1	724	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.50
urn:cite:hmt:venAsign.725.v1	725	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.64
urn:cite:hmt:venAsign.726.v1	726	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.71
urn:cite:hmt:venAsign.727.v1	727	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.77
urn:cite:hmt:venAsign.728.v1	728	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.87
urn:cite:hmt:venAsign.729.v1	729	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.92
urn:cite:hmt:venAsign.730.v1	730	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.96
urn:cite:hmt:venAsign.731.v1	731	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.97
urn:cite:hmt:venAsign.732.v1	732	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:6.112
urn:cite:hmt:venAsign.733.v1	733	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.117
urn:cite:hmt:venAsign.734.v1	734	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.119
urn:cite:hmt:venAsign.735.v1	735	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.128
urn:cite:hmt:venAsign.736.v1	736	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.130
urn:cite:hmt:venAsign.737.v1	737	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.132
urn:cite:hmt:venAsign.738.v1	738	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.135
urn:cite:hmt:venAsign.739.v1	739	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.146
urn:cite:hmt:venAsign.740.v1	740	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.150
urn:cite:hmt:venAsign.741.v1	741	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.152
urn:cite:hmt:venAsign.742.v1	742	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.153
urn:cite:hmt:venAsign.743.v1	743	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.154
urn:cite:hmt:venAsign.744.v1	744	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.160
urn:cite:hmt:venAsign.745.v1	745	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.169
urn:cite:hmt:venAsign.746.v1	746	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.170
urn:cite:hmt:venAsign.747.v1	747	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.174
urn:cite:hmt:venAsign.748.v1	748	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.176
urn:cite:hmt:venAsign.749.v1	749	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.178
urn:cite:hmt:venAsign.750.v1	750	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.181
urn:cite:hmt:venAsign.751.v1	751	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.183
urn:cite:hmt:venAsign.752.v1	752	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.189
urn:cite:hmt:venAsign.753.v1	753	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.191
urn:cite:hmt:venAsign.754.v1	754	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.194
urn:cite:hmt:venAsign.755.v1	755	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.198
urn:cite:hmt:venAsign.756.v1	756	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.199
urn:cite:hmt:venAsign.757.v1	757	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.201
urn:cite:hmt:venAsign.758.v1	758	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.210
urn:cite:hmt:venAsign.759.v1	759	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.218
urn:cite:hmt:venAsign.760.v1	760	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.237
urn:cite:hmt:venAsign.761.v1	761	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.239
urn:cite:hmt:venAsign.762.v1	762	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.241
urn:cite:hmt:venAsign.763.v1	763	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.248
urn:cite:hmt:venAsign.764.v1	764	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.252
urn:cite:hmt:venAsign.765.v1	765	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.257
urn:cite:hmt:venAsign.766.v1	766	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.260
urn:cite:hmt:venAsign.767.v1	767	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.262
urn:cite:hmt:venAsign.768.v1	768	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.264
urn:cite:hmt:venAsign.769.v1	769	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.265
urn:cite:hmt:venAsign.770.v1	770	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:6.266
urn:cite:hmt:venAsign.771.v1	771	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.273
urn:cite:hmt:venAsign.772.v1	772	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.277
urn:cite:hmt:venAsign.773.v1	773	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.278
urn:cite:hmt:venAsign.774.v1	774	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.285
urn:cite:hmt:venAsign.775.v1	775	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.289
urn:cite:hmt:venAsign.776.v1	776	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.291
urn:cite:hmt:venAsign.777.v1	777	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.292
urn:cite:hmt:venAsign.778.v1	778	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.303
urn:cite:hmt:venAsign.779.v1	779	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.311
urn:cite:hmt:venAsign.780.v1	780	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.317
urn:cite:hmt:venAsign.781.v1	781	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.319
urn:cite:hmt:venAsign.782.v1	782	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.325
urn:cite:hmt:venAsign.783.v1	783	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.326
urn:cite:hmt:venAsign.784.v1	784	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.331
urn:cite:hmt:venAsign.785.v1	785	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.335
urn:cite:hmt:venAsign.786.v1	786	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.337
urn:cite:hmt:venAsign.787.v1	787	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.360
urn:cite:hmt:venAsign.788.v1	788	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.370
urn:cite:hmt:venAsign.789.v1	789	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.396
urn:cite:hmt:venAsign.790.v1	790	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.398
urn:cite:hmt:venAsign.791.v1	791	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.400
urn:cite:hmt:venAsign.792.v1	792	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.403
urn:cite:hmt:venAsign.793.v1	793	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.408
urn:cite:hmt:venAsign.794.v1	794	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.415
urn:cite:hmt:venAsign.795.v1	795	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.417
urn:cite:hmt:venAsign.796.v1	796	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.433
urn:cite:hmt:venAsign.797.v1	797	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.434
urn:cite:hmt:venAsign.798.v1	798	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.435
urn:cite:hmt:venAsign.799.v1	799	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.436
urn:cite:hmt:venAsign.800.v1	800	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.437
urn:cite:hmt:venAsign.801.v1	801	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.438
urn:cite:hmt:venAsign.802.v1	802	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:6.439
urn:cite:hmt:venAsign.803.v1	803	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.448
urn:cite:hmt:venAsign.804.v1	804	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.457
urn:cite:hmt:venAsign.805.v1	805	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.459
urn:cite:hmt:venAsign.806.v1	806	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.464
urn:cite:hmt:venAsign.807.v1	807	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.472
urn:cite:hmt:venAsign.808.v1	808	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.490
urn:cite:hmt:venAsign.809.v1	809	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.491
urn:cite:hmt:venAsign.810.v1	810	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.492
urn:cite:hmt:venAsign.811.v1	811	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.493
urn:cite:hmt:venAsign.812.v1	812	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.506
urn:cite:hmt:venAsign.813.v1	813	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.506
urn:cite:hmt:venAsign.814.v1	814	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.507
urn:cite:hmt:venAsign.815.v1	815	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.507
urn:cite:hmt:venAsign.816.v1	816	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.508
urn:cite:hmt:venAsign.817.v1	817	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:6.509
urn:cite:hmt:venAsign.818.v1	818	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.510
urn:cite:hmt:venAsign.819.v1	819	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:6.511
urn:cite:hmt:venAsign.820.v1	820	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.512
urn:cite:hmt:venAsign.821.v1	821	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.514
urn:cite:hmt:venAsign.822.v1	822	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:6.518
urn:cite:hmt:venAsign.823.v1	823	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:7.5
