OccurrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.24.v1	24	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.68
urn:cite:hmt:venAsign.25.v1	25	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.69
urn:cite:hmt:venAsign.26.v1	26	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.73
urn:cite:hmt:venAsign.27.v1	27	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.80
urn:cite:hmt:venAsign.28.v1	28	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.93
urn:cite:hmt:venAsign.29.v1	29	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.96
urn:cite:hmt:venAsign.30.v1	30	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.100
urn:cite:hmt:venAsign.31.v1	31	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.103
urn:cite:hmt:venAsign.32.v1	32	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.104
urn:cite:hmt:venAsign.33.v1	33	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.110
urn:cite:hmt:venAsign.34.v1	34	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.133
urn:cite:hmt:venAsign.35.v1	35	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.139
urn:cite:hmt:venAsign.36.v1	36	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.148
urn:cite:hmt:venAsign.37.v1	37	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.175
urn:cite:hmt:venAsign.38.v1	38	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.177
urn:cite:hmt:venAsign.39.v1	39	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.184
urn:cite:hmt:venAsign.40.v1	40	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.189
urn:cite:hmt:venAsign.41.v1	41	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.192
urn:cite:hmt:venAsign.42.v1	42	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.194
urn:cite:hmt:venAsign.43.v1	43	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.195
urn:cite:hmt:venAsign.44.v1	44	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.196
urn:cite:hmt:venAsign.45.v1	45	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.196
