folio	rv	sequence	label
urn:cite:hmt:comp.va17v	verso	54	Venetus A Folio 17 verso
urn:cite:hmt:comp.va18r	recto	55	Venetus A Folio 18 recto
urn:cite:hmt:comp.va18v	verso	56	Venetus A Folio 18 verso
urn:cite:hmt:comp.va19r	recto	57	Venetus A Folio 19 recto
urn:cite:hmt:comp.va19v	verso	58	Venetus A Folio 19 verso
urn:cite:hmt:comp.va20r	recto	59	Venetus A Folio 20 recto
urn:cite:hmt:comp.va20v	verso	60	Venetus A Folio 20 verso
urn:cite:hmt:comp.va21r	recto	61	Venetus A Folio 21 recto
urn:cite:hmt:comp.va21v	verso	62	Venetus A Folio 21 verso
urn:cite:hmt:comp.va22r	recto	63	Venetus A Folio 22 recto
urn:cite:hmt:comp.va22v	verso	64	Venetus A Folio 22 verso
urn:cite:hmt:comp.va23r	recto	65	Venetus A Folio 23 recto
urn:cite:hmt:comp.va23v	verso	66	Venetus A Folio 23 verso
urn:cite:hmt:comp.va24r	recto	67	Venetus A Folio 24 recto
urn:cite:hmt:comp.va24v	verso	68	Venetus A Folio 24 verso
urn:cite:hmt:comp.va25r	recto	69	Venetus A Folio 25 recto
urn:cite:hmt:comp.va25v	verso	70	Venetus A Folio 25 verso
urn:cite:hmt:comp.va26r	recto	71	Venetus A Folio 26 recto
urn:cite:hmt:comp.va26v	verso	72	Venetus A Folio 26 verso
urn:cite:hmt:comp.va27r	recto	73	Venetus A Folio 27 recto
urn:cite:hmt:comp.va27v	verso	74	Venetus A Folio 27 verso
urn:cite:hmt:comp.va28r	recto	75	Venetus A Folio 28 recto
urn:cite:hmt:comp.va28v	verso	76	Venetus A Folio 28 verso
urn:cite:hmt:comp.va29r	recto	77	Venetus A Folio 29 recto
urn:cite:hmt:comp.va29v	verso	78	Venetus A Folio 29 verso
urn:cite:hmt:comp.va30r	recto	79	Venetus A Folio 30 recto
urn:cite:hmt:comp.va30v	verso	80	Venetus A Folio 30 verso
urn:cite:hmt:comp.va31r	recto	81	Venetus A Folio 31 recto
urn:cite:hmt:comp.va31v	verso	82	Venetus A Folio 31 verso
urn:cite:hmt:comp.va32r	recto	83	Venetus A Folio 32 recto
urn:cite:hmt:comp.va32v	verso	84	Venetus A Folio 32 verso
urn:cite:hmt:comp.va33r	recto	85	Venetus A Folio 33 recto
urn:cite:hmt:comp.va33v	verso	86	Venetus A Folio 33 verso
urn:cite:hmt:comp.va34r	recto	87	Venetus A Folio 34 recto
urn:cite:hmt:comp.va34v	verso	88	Venetus A Folio 34 verso
urn:cite:hmt:comp.va35r	recto	89	Venetus A Folio 35 recto
urn:cite:hmt:comp.va35v	verso	90	Venetus A Folio 35 verso
urn:cite:hmt:comp.va36r	recto	91	Venetus A Folio 36 recto
urn:cite:hmt:comp.va36v	verso	92	Venetus A Folio 36 verso
urn:cite:hmt:comp.va37r	recto	93	Venetus A Folio 37 recto
urn:cite:hmt:comp.va37v	verso	94	Venetus A Folio 37 verso
urn:cite:hmt:comp.va38r	recto	95	Venetus A Folio 38 recto
urn:cite:hmt:comp.va38v	verso	96	Venetus A Folio 38 verso
urn:cite:hmt:comp.va39r	recto	97	Venetus A Folio 39 recto
urn:cite:hmt:comp.va39v	verso	98	Venetus A Folio 39 verso
urn:cite:hmt:comp.va40r	recto	99	Venetus A Folio 40 recto
urn:cite:hmt:comp.va40v	verso	100	Venetus A Folio 40 verso
urn:cite:hmt:comp.va41r	recto	101	Venetus A Folio 41 recto
urn:cite:hmt:comp.va41v	verso	102	Venetus A Folio 41 verso
urn:cite:hmt:comp.va42r	recto	103	Venetus A Folio 42 recto
urn:cite:hmt:comp.va42v	verso	104	Venetus A Folio 42 verso
urn:cite:hmt:comp.va43r	recto	105	Venetus A Folio 43 recto
urn:cite:hmt:comp.va43v	verso	106	Venetus A Folio 43 verso
urn:cite:hmt:comp.va44r	recto	107	Venetus A Folio 44 recto
urn:cite:hmt:comp.va44v	verso	108	Venetus A Folio 44 verso
urn:cite:hmt:comp.va45r	recto	109	Venetus A Folio 45 recto
urn:cite:hmt:comp.va45v	verso	110	Venetus A Folio 45 verso
urn:cite:hmt:comp.va46r	recto	111	Venetus A Folio 46 recto
urn:cite:hmt:comp.va46v	verso	112	Venetus A Folio 46 verso
urn:cite:hmt:comp.va47r	recto	113	Venetus A Folio 47 recto
urn:cite:hmt:comp.va47v	verso	114	Venetus A Folio 47 verso
urn:cite:hmt:comp.va48r	recto	115	Venetus A Folio 48 recto
urn:cite:hmt:comp.va48v	verso	116	Venetus A Folio 48 verso
urn:cite:hmt:comp.va49r	recto	117	Venetus A Folio 49 recto
urn:cite:hmt:comp.va49v	verso	118	Venetus A Folio 49 verso
urn:cite:hmt:comp.va50r	recto	119	Venetus A Folio 50 recto
urn:cite:hmt:comp.va50v	verso	120	Venetus A Folio 50 verso
urn:cite:hmt:comp.va51r	recto	121	Venetus A Folio 51 recto
urn:cite:hmt:comp.va51v	verso	122	Venetus A Folio 51 verso
urn:cite:hmt:comp.va52r	recto	123	Venetus A Folio 52 recto
urn:cite:hmt:comp.va52v	verso	124	Venetus A Folio 52 verso
urn:cite:hmt:comp.va53r	recto	125	Venetus A Folio 53 recto
urn:cite:hmt:comp.va53v	verso	126	Venetus A Folio 53 verso
urn:cite:hmt:comp.va54r	recto	127	Venetus A Folio 54 recto
urn:cite:hmt:comp.va54v	verso	128	Venetus A Folio 54 verso
urn:cite:hmt:comp.va55r	recto	129	Venetus A Folio 55 recto
urn:cite:hmt:comp.va55v	verso	130	Venetus A Folio 55 verso
urn:cite:hmt:comp.va56r	recto	131	Venetus A Folio 56 recto
urn:cite:hmt:comp.va56v	verso	132	Venetus A Folio 56 verso
urn:cite:hmt:comp.va57r	recto	133	Venetus A Folio 57 recto
urn:cite:hmt:comp.va57v	verso	134	Venetus A Folio 57 verso
urn:cite:hmt:comp.va58r	recto	135	Venetus A Folio 58 recto
urn:cite:hmt:comp.va58v	verso	136	Venetus A Folio 58 verso
urn:cite:hmt:comp.va59r	recto	137	Venetus A Folio 59 recto
urn:cite:hmt:comp.va59v	verso	138	Venetus A Folio 59 verso
urn:cite:hmt:comp.va60r	recto	139	Venetus A Folio 60 recto
urn:cite:hmt:comp.va60v	verso	140	Venetus A Folio 60 verso
urn:cite:hmt:comp.va61r	recto	141	Venetus A Folio 61 recto
urn:cite:hmt:comp.va61v	verso	142	Venetus A Folio 61 verso
urn:cite:hmt:comp.va62r	recto	143	Venetus A Folio 62 recto
urn:cite:hmt:comp.va62v	verso	144	Venetus A Folio 62 verso
urn:cite:hmt:comp.va63r	recto	145	Venetus A Folio 63 recto
urn:cite:hmt:comp.va63v	verso	146	Venetus A Folio 63 verso
urn:cite:hmt:comp.va64r	recto	147	Venetus A Folio 64 recto
urn:cite:hmt:comp.va64v	verso	148	Venetus A Folio 64 verso
urn:cite:hmt:comp.va65r	recto	149	Venetus A Folio 65 recto
urn:cite:hmt:comp.va65v	verso	150	Venetus A Folio 65 verso
urn:cite:hmt:comp.va66r	recto	151	Venetus A Folio 66 recto
urn:cite:hmt:comp.va66v	verso	152	Venetus A Folio 66 verso
urn:cite:hmt:comp.va67r	recto	153	Venetus A Folio 67 recto
urn:cite:hmt:comp.va67v	verso	154	Venetus A Folio 67 verso
urn:cite:hmt:comp.va68r	recto	155	Venetus A Folio 68 recto
urn:cite:hmt:comp.va68v	verso	156	Venetus A Folio 68 verso
urn:cite:hmt:comp.va69r	recto	157	Venetus A Folio 69 recto
urn:cite:hmt:comp.va69v	verso	158	Venetus A Folio 69 verso
urn:cite:hmt:comp.va70r	recto	159	Venetus A Folio 70 recto
urn:cite:hmt:comp.va70v	verso	160	Venetus A Folio 70 verso
urn:cite:hmt:comp.va71r	recto	161	Venetus A Folio 71 recto
urn:cite:hmt:comp.va71v	verso	162	Venetus A Folio 71 verso
urn:cite:hmt:comp.va72r	recto	163	Venetus A Folio 72 recto
urn:cite:hmt:comp.va72v	verso	164	Venetus A Folio 72 verso
urn:cite:hmt:comp.va73r	recto	165	Venetus A Folio 73 recto
urn:cite:hmt:comp.va73v	verso	166	Venetus A Folio 73 verso
urn:cite:hmt:comp.va74r	recto	167	Venetus A Folio 74 recto
urn:cite:hmt:comp.va74v	verso	168	Venetus A Folio 74 verso
urn:cite:hmt:comp.va75r	recto	169	Venetus A Folio 75 recto
urn:cite:hmt:comp.va75v	verso	170	Venetus A Folio 75 verso
urn:cite:hmt:comp.va76r	recto	171	Venetus A Folio 76 recto
urn:cite:hmt:comp.va76v	verso	172	Venetus A Folio 76 verso
urn:cite:hmt:comp.va77r	recto	173	Venetus A Folio 77 recto
urn:cite:hmt:comp.va77v	verso	174	Venetus A Folio 77 verso
urn:cite:hmt:comp.va78r	recto	175	Venetus A Folio 78 recto
urn:cite:hmt:comp.va78v	verso	176	Venetus A Folio 78 verso
urn:cite:hmt:comp.va79r	recto	177	Venetus A Folio 79 recto
urn:cite:hmt:comp.va79v	verso	178	Venetus A Folio 79 verso
urn:cite:hmt:comp.va80r	recto	179	Venetus A Folio 80 recto
urn:cite:hmt:comp.va80v	verso	180	Venetus A Folio 80 verso
urn:cite:hmt:comp.va81r	recto	181	Venetus A Folio 81 recto
urn:cite:hmt:comp.va81v	verso	182	Venetus A Folio 81 verso
urn:cite:hmt:comp.va82r	recto	183	Venetus A Folio 82 recto
urn:cite:hmt:comp.va82v	verso	184	Venetus A Folio 82 verso
urn:cite:hmt:comp.va83r	recto	185	Venetus A Folio 83 recto
urn:cite:hmt:comp.va83v	verso	186	Venetus A Folio 83 verso
urn:cite:hmt:comp.va84r	recto	187	Venetus A Folio 84 recto
urn:cite:hmt:comp.va84v	verso	188	Venetus A Folio 84 verso
urn:cite:hmt:comp.va85r	recto	189	Venetus A Folio 85 recto
urn:cite:hmt:comp.va85v	verso	190	Venetus A Folio 85 verso
urn:cite:hmt:comp.va86r	recto	191	Venetus A Folio 86 recto
urn:cite:hmt:comp.va86v	verso	192	Venetus A Folio 86 verso
urn:cite:hmt:comp.va87r	recto	193	Venetus A Folio 87 recto
urn:cite:hmt:comp.va87v	verso	194	Venetus A Folio 87 verso
urn:cite:hmt:comp.va88r	recto	195	Venetus A Folio 88 recto
urn:cite:hmt:comp.va88v	verso	196	Venetus A Folio 88 verso
urn:cite:hmt:comp.va89r	recto	197	Venetus A Folio 89 recto
urn:cite:hmt:comp.va89v	verso	198	Venetus A Folio 89 verso
urn:cite:hmt:comp.va90r	recto	199	Venetus A Folio 90 recto
urn:cite:hmt:comp.va90v	verso	200	Venetus A Folio 90 verso
urn:cite:hmt:comp.va91r	recto	201	Venetus A Folio 91 recto
urn:cite:hmt:comp.va91v	verso	202	Venetus A Folio 91 verso
urn:cite:hmt:comp.va92r	recto	203	Venetus A Folio 92 recto
urn:cite:hmt:comp.va92v	verso	204	Venetus A Folio 92 verso
urn:cite:hmt:comp.va93r	recto	205	Venetus A Folio 93 recto
urn:cite:hmt:comp.va93v	verso	206	Venetus A Folio 93 verso
urn:cite:hmt:comp.va94r	recto	207	Venetus A Folio 94 recto
urn:cite:hmt:comp.va94v	verso	208	Venetus A Folio 94 verso
urn:cite:hmt:comp.va95r	recto	209	Venetus A Folio 95 recto
urn:cite:hmt:comp.va95v	verso	210	Venetus A Folio 95 verso
urn:cite:hmt:comp.va96r	recto	211	Venetus A Folio 96 recto
urn:cite:hmt:comp.va96v	verso	212	Venetus A Folio 96 verso
urn:cite:hmt:comp.va97r	recto	213	Venetus A Folio 97 recto
urn:cite:hmt:comp.va97v	verso	214	Venetus A Folio 97 verso
urn:cite:hmt:comp.va98r	recto	215	Venetus A Folio 98 recto
urn:cite:hmt:comp.va98v	verso	216	Venetus A Folio 98 verso
urn:cite:hmt:comp.va99r	recto	217	Venetus A Folio 99 recto
urn:cite:hmt:comp.va99v	verso	218	Venetus A Folio 99 verso
urn:cite:hmt:comp.va100r	recto	219	Venetus A Folio 100 recto
urn:cite:hmt:comp.va100v	verso	220	Venetus A Folio 100 verso
urn:cite:hmt:comp.va101r	recto	221	Venetus A Folio 101 recto
urn:cite:hmt:comp.va101v	verso	222	Venetus A Folio 101 verso
urn:cite:hmt:comp.va102r	recto	223	Venetus A Folio 102 recto
urn:cite:hmt:comp.va102v	verso	224	Venetus A Folio 102 verso
urn:cite:hmt:comp.va103r	recto	225	Venetus A Folio 103 recto
urn:cite:hmt:comp.va103v	verso	226	Venetus A Folio 103 verso
urn:cite:hmt:comp.va104r	recto	227	Venetus A Folio 104 recto
urn:cite:hmt:comp.va104v	verso	228	Venetus A Folio 104 verso
urn:cite:hmt:comp.va105r	recto	229	Venetus A Folio 105 recto
urn:cite:hmt:comp.va105v	verso	230	Venetus A Folio 105 verso
urn:cite:hmt:comp.va106r	recto	231	Venetus A Folio 106 recto
urn:cite:hmt:comp.va106v	verso	232	Venetus A Folio 106 verso
urn:cite:hmt:comp.va107r	recto	233	Venetus A Folio 107 recto
urn:cite:hmt:comp.va107v	verso	234	Venetus A Folio 107 verso
urn:cite:hmt:comp.va108r	recto	235	Venetus A Folio 108 recto
urn:cite:hmt:comp.va108v	verso	236	Venetus A Folio 108 verso
urn:cite:hmt:comp.va109r	recto	237	Venetus A Folio 109 recto
urn:cite:hmt:comp.va109v	verso	238	Venetus A Folio 109 verso
urn:cite:hmt:comp.va110r	recto	239	Venetus A Folio 110 recto
urn:cite:hmt:comp.va110v	verso	240	Venetus A Folio 110 verso
urn:cite:hmt:comp.va111r	recto	241	Venetus A Folio 111 recto
urn:cite:hmt:comp.va111v	verso	242	Venetus A Folio 111 verso
urn:cite:hmt:comp.va112r	recto	243	Venetus A Folio 112 recto
urn:cite:hmt:comp.va112v	verso	244	Venetus A Folio 112 verso
urn:cite:hmt:comp.va113r	recto	245	Venetus A Folio 113 recto
urn:cite:hmt:comp.va113v	verso	246	Venetus A Folio 113 verso
urn:cite:hmt:comp.va114r	recto	247	Venetus A Folio 114 recto
urn:cite:hmt:comp.va114v	verso	248	Venetus A Folio 114 verso
urn:cite:hmt:comp.va115r	recto	249	Venetus A Folio 115 recto
urn:cite:hmt:comp.va115v	verso	250	Venetus A Folio 115 verso
urn:cite:hmt:comp.va116r	recto	251	Venetus A Folio 116 recto
urn:cite:hmt:comp.va116v	verso	252	Venetus A Folio 116 verso
urn:cite:hmt:comp.va117r	recto	253	Venetus A Folio 117 recto
urn:cite:hmt:comp.va117v	verso	254	Venetus A Folio 117 verso
urn:cite:hmt:comp.va118r	recto	255	Venetus A Folio 118 recto
urn:cite:hmt:comp.va118v	verso	256	Venetus A Folio 118 verso
urn:cite:hmt:comp.va119r	recto	257	Venetus A Folio 119 recto
urn:cite:hmt:comp.va119v	verso	258	Venetus A Folio 119 verso
urn:cite:hmt:comp.va120r	recto	259	Venetus A Folio 120 recto
urn:cite:hmt:comp.va120v	verso	260	Venetus A Folio 120 verso
urn:cite:hmt:comp.va121r	recto	261	Venetus A Folio 121 recto
urn:cite:hmt:comp.va121v	verso	262	Venetus A Folio 121 verso
urn:cite:hmt:comp.va122r	recto	263	Venetus A Folio 122 recto
urn:cite:hmt:comp.va122v	verso	264	Venetus A Folio 122 verso
urn:cite:hmt:comp.va123r	recto	265	Venetus A Folio 123 recto
urn:cite:hmt:comp.va123v	verso	266	Venetus A Folio 123 verso
urn:cite:hmt:comp.va124r	recto	267	Venetus A Folio 124 recto
urn:cite:hmt:comp.va124v	verso	268	Venetus A Folio 124 verso
urn:cite:hmt:comp.va125r	recto	269	Venetus A Folio 125 recto
urn:cite:hmt:comp.va125v	verso	270	Venetus A Folio 125 verso
urn:cite:hmt:comp.va126r	recto	271	Venetus A Folio 126 recto
urn:cite:hmt:comp.va126v	verso	272	Venetus A Folio 126 verso
urn:cite:hmt:comp.va127r	recto	273	Venetus A Folio 127 recto
urn:cite:hmt:comp.va127v	verso	274	Venetus A Folio 127 verso
urn:cite:hmt:comp.va128r	recto	275	Venetus A Folio 128 recto
urn:cite:hmt:comp.va128v	verso	276	Venetus A Folio 128 verso
urn:cite:hmt:comp.va129r	recto	277	Venetus A Folio 129 recto
urn:cite:hmt:comp.va129v	verso	278	Venetus A Folio 129 verso
urn:cite:hmt:comp.va130r	recto	279	Venetus A Folio 130 recto
urn:cite:hmt:comp.va130v	verso	280	Venetus A Folio 130 verso
urn:cite:hmt:comp.va131r	recto	281	Venetus A Folio 131 recto
urn:cite:hmt:comp.va131v	verso	282	Venetus A Folio 131 verso
urn:cite:hmt:comp.va132r	recto	283	Venetus A Folio 132 recto
urn:cite:hmt:comp.va132v	verso	284	Venetus A Folio 132 verso
urn:cite:hmt:comp.va133r	recto	285	Venetus A Folio 133 recto
urn:cite:hmt:comp.va133v	verso	286	Venetus A Folio 133 verso
urn:cite:hmt:comp.va134r	recto	287	Venetus A Folio 134 recto
urn:cite:hmt:comp.va134v	verso	288	Venetus A Folio 134 verso
urn:cite:hmt:comp.va135r	recto	289	Venetus A Folio 135 recto
urn:cite:hmt:comp.va135v	verso	290	Venetus A Folio 135 verso
urn:cite:hmt:comp.va136r	recto	291	Venetus A Folio 136 recto
urn:cite:hmt:comp.va136v	verso	292	Venetus A Folio 136 verso
urn:cite:hmt:comp.va137r	recto	293	Venetus A Folio 137 recto
urn:cite:hmt:comp.va137v	verso	294	Venetus A Folio 137 verso
urn:cite:hmt:comp.va138r	recto	295	Venetus A Folio 138 recto
urn:cite:hmt:comp.va138v	verso	296	Venetus A Folio 138 verso
urn:cite:hmt:comp.va139r	recto	297	Venetus A Folio 139 recto
urn:cite:hmt:comp.va139v	verso	298	Venetus A Folio 139 verso
urn:cite:hmt:comp.va140r	recto	299	Venetus A Folio 140 recto
urn:cite:hmt:comp.va140v	verso	300	Venetus A Folio 140 verso
urn:cite:hmt:comp.va141r	recto	301	Venetus A Folio 141 recto
urn:cite:hmt:comp.va141v	verso	302	Venetus A Folio 141 verso
urn:cite:hmt:comp.va142r	recto	303	Venetus A Folio 142 recto
urn:cite:hmt:comp.va142v	verso	304	Venetus A Folio 142 verso
urn:cite:hmt:comp.va143r	recto	305	Venetus A Folio 143 recto
urn:cite:hmt:comp.va143v	verso	306	Venetus A Folio 143 verso
urn:cite:hmt:comp.va144r	recto	307	Venetus A Folio 144 recto
urn:cite:hmt:comp.va144v	verso	308	Venetus A Folio 144 verso
urn:cite:hmt:comp.va145r	recto	309	Venetus A Folio 145 recto
urn:cite:hmt:comp.va145v	verso	310	Venetus A Folio 145 verso
urn:cite:hmt:comp.va146r	recto	311	Venetus A Folio 146 recto
urn:cite:hmt:comp.va146v	verso	312	Venetus A Folio 146 verso
urn:cite:hmt:comp.va147r	recto	313	Venetus A Folio 147 recto
urn:cite:hmt:comp.va147v	verso	314	Venetus A Folio 147 verso
urn:cite:hmt:comp.va148r	recto	315	Venetus A Folio 148 recto
urn:cite:hmt:comp.va148v	verso	316	Venetus A Folio 148 verso
urn:cite:hmt:comp.va149r	recto	317	Venetus A Folio 149 recto
urn:cite:hmt:comp.va149v	verso	318	Venetus A Folio 149 verso
urn:cite:hmt:comp.va150r	recto	319	Venetus A Folio 150 recto
urn:cite:hmt:comp.va150v	verso	320	Venetus A Folio 150 verso
urn:cite:hmt:comp.va151r	recto	321	Venetus A Folio 151 recto
urn:cite:hmt:comp.va151v	verso	322	Venetus A Folio 151 verso
urn:cite:hmt:comp.va152r	recto	323	Venetus A Folio 152 recto
urn:cite:hmt:comp.va152v	verso	324	Venetus A Folio 152 verso
urn:cite:hmt:comp.va153r	recto	325	Venetus A Folio 153 recto
urn:cite:hmt:comp.va153v	verso	326	Venetus A Folio 153 verso
urn:cite:hmt:comp.va154r	recto	327	Venetus A Folio 154 recto
urn:cite:hmt:comp.va154v	verso	328	Venetus A Folio 154 verso
urn:cite:hmt:comp.va155r	recto	329	Venetus A Folio 155 recto
urn:cite:hmt:comp.va155v	verso	330	Venetus A Folio 155 verso
urn:cite:hmt:comp.va156r	recto	331	Venetus A Folio 156 recto
urn:cite:hmt:comp.va156v	verso	332	Venetus A Folio 156 verso
urn:cite:hmt:comp.va157r	recto	333	Venetus A Folio 157 recto
urn:cite:hmt:comp.va157v	verso	334	Venetus A Folio 157 verso
urn:cite:hmt:comp.va158r	recto	335	Venetus A Folio 158 recto
urn:cite:hmt:comp.va158v	verso	336	Venetus A Folio 158 verso
urn:cite:hmt:comp.va159r	recto	337	Venetus A Folio 159 recto
urn:cite:hmt:comp.va159v	verso	338	Venetus A Folio 159 verso
urn:cite:hmt:comp.va160r	recto	339	Venetus A Folio 160 recto
urn:cite:hmt:comp.va160v	verso	340	Venetus A Folio 160 verso
urn:cite:hmt:comp.va161r	recto	341	Venetus A Folio 161 recto
urn:cite:hmt:comp.va161v	verso	342	Venetus A Folio 161 verso
urn:cite:hmt:comp.va162r	recto	343	Venetus A Folio 162 recto
urn:cite:hmt:comp.va162v	verso	344	Venetus A Folio 162 verso
urn:cite:hmt:comp.va163r	recto	345	Venetus A Folio 163 recto
urn:cite:hmt:comp.va163v	verso	346	Venetus A Folio 163 verso
urn:cite:hmt:comp.va164r	recto	347	Venetus A Folio 164 recto
urn:cite:hmt:comp.va164v	verso	348	Venetus A Folio 164 verso
urn:cite:hmt:comp.va165r	recto	349	Venetus A Folio 165 recto
urn:cite:hmt:comp.va165v	verso	350	Venetus A Folio 165 verso
urn:cite:hmt:comp.va166r	recto	351	Venetus A Folio 166 recto
urn:cite:hmt:comp.va166v	verso	352	Venetus A Folio 166 verso
