folio	rv	sequence	label
urn:cite:hmt:comp.va211r	recto	441	Venetus A Folio 211 recto
urn:cite:hmt:comp.va211v	verso	442	Venetus A Folio 211 verso
urn:cite:hmt:comp.va212r	recto	443	Venetus A Folio 212 recto
urn:cite:hmt:comp.va212v	verso	444	Venetus A Folio 212 verso
urn:cite:hmt:comp.va213r	recto	445	Venetus A Folio 213 recto
urn:cite:hmt:comp.va213v	verso	446	Venetus A Folio 213 verso
urn:cite:hmt:comp.va214r	recto	447	Venetus A Folio 214 recto
urn:cite:hmt:comp.va214v	verso	448	Venetus A Folio 214 verso
urn:cite:hmt:comp.va215r	recto	449	Venetus A Folio 215 recto
urn:cite:hmt:comp.va215v	verso	450	Venetus A Folio 215 verso
urn:cite:hmt:comp.va216r	recto	451	Venetus A Folio 216 recto
urn:cite:hmt:comp.va216v	verso	452	Venetus A Folio 216 verso
urn:cite:hmt:comp.va217r	recto	453	Venetus A Folio 217 recto
urn:cite:hmt:comp.va217v	verso	454	Venetus A Folio 217 verso
urn:cite:hmt:comp.va218r	recto	455	Venetus A Folio 218 recto
urn:cite:hmt:comp.va218v	verso	456	Venetus A Folio 218 verso
urn:cite:hmt:comp.va219r	recto	457	Venetus A Folio 219 recto
urn:cite:hmt:comp.va219v	verso	458	Venetus A Folio 219 verso
urn:cite:hmt:comp.va220r	recto	459	Venetus A Folio 220 recto
urn:cite:hmt:comp.va220v	verso	460	Venetus A Folio 220 verso
urn:cite:hmt:comp.va221r	recto	461	Venetus A Folio 221 recto
urn:cite:hmt:comp.va221v	verso	462	Venetus A Folio 221 verso
urn:cite:hmt:comp.va222r	recto	463	Venetus A Folio 222 recto
urn:cite:hmt:comp.va222v	verso	464	Venetus A Folio 222 verso
urn:cite:hmt:comp.va223r	recto	465	Venetus A Folio 223 recto
urn:cite:hmt:comp.va223v	verso	466	Venetus A Folio 223 verso
urn:cite:hmt:comp.va224r	recto	467	Venetus A Folio 224 recto
urn:cite:hmt:comp.va224v	verso	468	Venetus A Folio 224 verso
urn:cite:hmt:comp.va225r	recto	469	Venetus A Folio 225 recto
urn:cite:hmt:comp.va225v	verso	470	Venetus A Folio 225 verso
urn:cite:hmt:comp.va226r	recto	471	Venetus A Folio 226 recto
urn:cite:hmt:comp.va226v	verso	472	Venetus A Folio 226 verso
urn:cite:hmt:comp.va227r	recto	473	Venetus A Folio 227 recto
urn:cite:hmt:comp.va227v	verso	474	Venetus A Folio 227 verso
urn:cite:hmt:comp.va228r	recto	475	Venetus A Folio 228 recto
urn:cite:hmt:comp.va228v	verso	476	Venetus A Folio 228 verso
urn:cite:hmt:comp.va229r	recto	477	Venetus A Folio 229 recto
urn:cite:hmt:comp.va229v	verso	478	Venetus A Folio 229 verso
urn:cite:hmt:comp.va230r	recto	479	Venetus A Folio 230 recto
urn:cite:hmt:comp.va230v	verso	480	Venetus A Folio 230 verso
urn:cite:hmt:comp.va231r	recto	481	Venetus A Folio 231 recto
urn:cite:hmt:comp.va231v	verso	482	Venetus A Folio 231 verso
urn:cite:hmt:comp.va232r	recto	483	Venetus A Folio 232 recto
urn:cite:hmt:comp.va232v	verso	484	Venetus A Folio 232 verso
urn:cite:hmt:comp.va233r	recto	485	Venetus A Folio 233 recto
urn:cite:hmt:comp.va233v	verso	486	Venetus A Folio 233 verso
urn:cite:hmt:comp.va234r	recto	487	Venetus A Folio 234 recto
urn:cite:hmt:comp.va234v	verso	488	Venetus A Folio 234 verso
urn:cite:hmt:comp.va235r	recto	489	Venetus A Folio 235 recto
urn:cite:hmt:comp.va235v	verso	490	Venetus A Folio 235 verso
urn:cite:hmt:comp.va236r	recto	491	Venetus A Folio 236 recto
urn:cite:hmt:comp.va236v	verso	492	Venetus A Folio 236 verso
urn:cite:hmt:comp.va237r	recto	493	Venetus A Folio 237 recto
urn:cite:hmt:comp.va237v	verso	494	Venetus A Folio 237 verso
urn:cite:hmt:comp.va238r	recto	495	Venetus A Folio 238 recto
urn:cite:hmt:comp.va238v	verso	496	Venetus A Folio 238 verso
urn:cite:hmt:comp.va239r	recto	497	Venetus A Folio 239 recto
urn:cite:hmt:comp.va239v	verso	498	Venetus A Folio 239 verso
urn:cite:hmt:comp.va240r	recto	499	Venetus A Folio 240 recto
urn:cite:hmt:comp.va240v	verso	500	Venetus A Folio 240 verso
urn:cite:hmt:comp.va241r	recto	501	Venetus A Folio 241 recto
urn:cite:hmt:comp.va241v	verso	502	Venetus A Folio 241 verso
urn:cite:hmt:comp.va242r	recto	503	Venetus A Folio 242 recto
urn:cite:hmt:comp.va242v	verso	504	Venetus A Folio 242 verso
urn:cite:hmt:comp.va243r	recto	505	Venetus A Folio 243 recto
urn:cite:hmt:comp.va243v	verso	506	Venetus A Folio 243 verso
urn:cite:hmt:comp.va244r	recto	507	Venetus A Folio 244 recto
urn:cite:hmt:comp.va244v	verso	508	Venetus A Folio 244 verso
urn:cite:hmt:comp.va245r	recto	509	Venetus A Folio 245 recto
urn:cite:hmt:comp.va245v	verso	510	Venetus A Folio 245 verso
urn:cite:hmt:comp.va246r	recto	511	Venetus A Folio 246 recto
urn:cite:hmt:comp.va246v	verso	512	Venetus A Folio 246 verso
urn:cite:hmt:comp.va247r	recto	513	Venetus A Folio 247 recto
urn:cite:hmt:comp.va247v	verso	514	Venetus A Folio 247 verso
urn:cite:hmt:comp.va248r	recto	515	Venetus A Folio 248 recto
urn:cite:hmt:comp.va248v	verso	516	Venetus A Folio 248 verso
urn:cite:hmt:comp.va249r	recto	517	Venetus A Folio 249 recto
urn:cite:hmt:comp.va249v	verso	518	Venetus A Folio 249 verso
urn:cite:hmt:comp.va250r	recto	519	Venetus A Folio 250 recto
urn:cite:hmt:comp.va250v	verso	520	Venetus A Folio 250 verso
urn:cite:hmt:comp.va251r	recto	521	Venetus A Folio 251 recto
urn:cite:hmt:comp.va251v	verso	522	Venetus A Folio 251 verso
urn:cite:hmt:comp.va252r	recto	523	Venetus A Folio 252 recto
urn:cite:hmt:comp.va252v	verso	524	Venetus A Folio 252 verso
urn:cite:hmt:comp.va253r	recto	525	Venetus A Folio 253 recto
urn:cite:hmt:comp.va253v	verso	526	Venetus A Folio 253 verso
urn:cite:hmt:comp.va254r	recto	527	Venetus A Folio 254 recto
urn:cite:hmt:comp.va254v	verso	528	Venetus A Folio 254 verso
urn:cite:hmt:comp.va255r	recto	529	Venetus A Folio 255 recto
urn:cite:hmt:comp.va255v	verso	530	Venetus A Folio 255 verso
urn:cite:hmt:comp.va256r	recto	531	Venetus A Folio 256 recto
urn:cite:hmt:comp.va256v	verso	532	Venetus A Folio 256 verso
urn:cite:hmt:comp.va257r	recto	533	Venetus A Folio 257 recto
urn:cite:hmt:comp.va257v	verso	534	Venetus A Folio 257 verso
urn:cite:hmt:comp.va258r	recto	535	Venetus A Folio 258 recto
urn:cite:hmt:comp.va258v	verso	536	Venetus A Folio 258 verso
urn:cite:hmt:comp.va259r	recto	537	Venetus A Folio 259 recto
urn:cite:hmt:comp.va259v	verso	538	Venetus A Folio 259 verso
urn:cite:hmt:comp.va260r	recto	539	Venetus A Folio 260 recto
urn:cite:hmt:comp.va260v	verso	540	Venetus A Folio 260 verso
urn:cite:hmt:comp.va261r	recto	541	Venetus A Folio 261 recto
urn:cite:hmt:comp.va261v	verso	542	Venetus A Folio 261 verso
urn:cite:hmt:comp.va262r	recto	543	Venetus A Folio 262 recto
urn:cite:hmt:comp.va262v	verso	544	Venetus A Folio 262 verso
urn:cite:hmt:comp.va263r	recto	545	Venetus A Folio 263 recto
urn:cite:hmt:comp.va263v	verso	546	Venetus A Folio 263 verso
urn:cite:hmt:comp.va264r	recto	547	Venetus A Folio 264 recto
urn:cite:hmt:comp.va264v	verso	548	Venetus A Folio 264 verso
urn:cite:hmt:comp.va265r	recto	549	Venetus A Folio 265 recto
urn:cite:hmt:comp.va265v	verso	550	Venetus A Folio 265 verso
urn:cite:hmt:comp.va266r	recto	551	Venetus A Folio 266 recto
urn:cite:hmt:comp.va266v	verso	552	Venetus A Folio 266 verso
urn:cite:hmt:comp.va267r	recto	553	Venetus A Folio 267 recto
urn:cite:hmt:comp.va267v	verso	554	Venetus A Folio 267 verso
urn:cite:hmt:comp.va268r	recto	555	Venetus A Folio 268 recto
urn:cite:hmt:comp.va268v	verso	556	Venetus A Folio 268 verso
urn:cite:hmt:comp.va269r	recto	557	Venetus A Folio 269 recto
urn:cite:hmt:comp.va269v	verso	558	Venetus A Folio 269 verso
urn:cite:hmt:comp.va270r	recto	559	Venetus A Folio 270 recto
urn:cite:hmt:comp.va270v	verso	560	Venetus A Folio 270 verso
urn:cite:hmt:comp.va271r	recto	561	Venetus A Folio 271 recto
urn:cite:hmt:comp.va271v	verso	562	Venetus A Folio 271 verso
urn:cite:hmt:comp.va272r	recto	563	Venetus A Folio 272 recto
urn:cite:hmt:comp.va272v	verso	564	Venetus A Folio 272 verso
urn:cite:hmt:comp.va273r	recto	565	Venetus A Folio 273 recto
urn:cite:hmt:comp.va273v	verso	566	Venetus A Folio 273 verso
urn:cite:hmt:comp.va274r	recto	567	Venetus A Folio 274 recto
urn:cite:hmt:comp.va274v	verso	568	Venetus A Folio 274 verso
urn:cite:hmt:comp.va275r	recto	569	Venetus A Folio 275 recto
urn:cite:hmt:comp.va275v	verso	570	Venetus A Folio 275 verso
urn:cite:hmt:comp.va276r	recto	571	Venetus A Folio 276 recto
urn:cite:hmt:comp.va276v	verso	572	Venetus A Folio 276 verso
urn:cite:hmt:comp.va277r	recto	573	Venetus A Folio 277 recto
urn:cite:hmt:comp.va277v	verso	574	Venetus A Folio 277 verso
urn:cite:hmt:comp.va278r	recto	575	Venetus A Folio 278 recto
urn:cite:hmt:comp.va278v	verso	576	Venetus A Folio 278 verso
urn:cite:hmt:comp.va279r	recto	577	Venetus A Folio 279 recto
urn:cite:hmt:comp.va279v	verso	578	Venetus A Folio 279 verso
urn:cite:hmt:comp.va280r	recto	579	Venetus A Folio 280 recto
urn:cite:hmt:comp.va280v	verso	580	Venetus A Folio 280 verso
urn:cite:hmt:comp.va281r	recto	581	Venetus A Folio 281 recto
urn:cite:hmt:comp.va281v	verso	582	Venetus A Folio 281 verso
urn:cite:hmt:comp.va282r	recto	583	Venetus A Folio 282 recto
urn:cite:hmt:comp.va282v	verso	584	Venetus A Folio 282 verso
urn:cite:hmt:comp.va283r	recto	585	Venetus A Folio 283 recto
urn:cite:hmt:comp.va283v	verso	586	Venetus A Folio 283 verso
urn:cite:hmt:comp.va284r	recto	587	Venetus A Folio 284 recto
urn:cite:hmt:comp.va284v	verso	588	Venetus A Folio 284 verso
urn:cite:hmt:comp.va285r	recto	589	Venetus A Folio 285 recto
urn:cite:hmt:comp.va285v	verso	590	Venetus A Folio 285 verso
urn:cite:hmt:comp.va286r	recto	591	Venetus A Folio 286 recto
urn:cite:hmt:comp.va286v	verso	592	Venetus A Folio 286 verso
urn:cite:hmt:comp.va287r	recto	593	Venetus A Folio 287 recto
