Siglum	Sequence	URN	RV	MS	CodexURN
u4	33	urn:cite:hmt:u4.17r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 17r	urn:cite:hmt:codex.u4
u4	337	urn:cite:hmt:u4.169r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 169r	urn:cite:hmt:codex.u4
u4	320	urn:cite:hmt:u4.160v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 160v	urn:cite:hmt:codex.u4
u4	339	urn:cite:hmt:u4.170r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 170r	urn:cite:hmt:codex.u4
u4	125	urn:cite:hmt:u4.63r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 63r	urn:cite:hmt:codex.u4
u4	159	urn:cite:hmt:u4.80r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 80r	urn:cite:hmt:codex.u4
u4	218	urn:cite:hmt:u4.109v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 109v	urn:cite:hmt:codex.u4
u4	111	urn:cite:hmt:u4.56r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 56r	urn:cite:hmt:codex.u4
u4	50	urn:cite:hmt:u4.25v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 25v	urn:cite:hmt:codex.u4
u4	217	urn:cite:hmt:u4.109r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 109r	urn:cite:hmt:codex.u4
u4	240	urn:cite:hmt:u4.120v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 120v	urn:cite:hmt:codex.u4
u4	361	urn:cite:hmt:u4.181r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 181r	urn:cite:hmt:codex.u4
u4	16	urn:cite:hmt:u4.8v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 8v	urn:cite:hmt:codex.u4
u4	290	urn:cite:hmt:u4.145v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 145v	urn:cite:hmt:codex.u4
u4	193	urn:cite:hmt:u4.97r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 97r	urn:cite:hmt:codex.u4
u4	174	urn:cite:hmt:u4.87v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 87v	urn:cite:hmt:codex.u4
u4	155	urn:cite:hmt:u4.78r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 78r	urn:cite:hmt:codex.u4
u4	72	urn:cite:hmt:u4.36v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 36v	urn:cite:hmt:codex.u4
u4	166	urn:cite:hmt:u4.83v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 83v	urn:cite:hmt:codex.u4
u4	212	urn:cite:hmt:u4.106v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 106v	urn:cite:hmt:codex.u4
u4	297	urn:cite:hmt:u4.149r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 149r	urn:cite:hmt:codex.u4
u4	101	urn:cite:hmt:u4.51r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 51r	urn:cite:hmt:codex.u4
u4	316	urn:cite:hmt:u4.158v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 158v	urn:cite:hmt:codex.u4
u4	351	urn:cite:hmt:u4.176r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 176r	urn:cite:hmt:codex.u4
u4	2	urn:cite:hmt:u4.1v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 1v	urn:cite:hmt:codex.u4
u4	369	urn:cite:hmt:u4.185r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 185r	urn:cite:hmt:codex.u4
u4	8	urn:cite:hmt:u4.4v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 4v	urn:cite:hmt:codex.u4
u4	83	urn:cite:hmt:u4.42r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 42r	urn:cite:hmt:codex.u4
u4	233	urn:cite:hmt:u4.117r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 117r	urn:cite:hmt:codex.u4
u4	276	urn:cite:hmt:u4.138v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 138v	urn:cite:hmt:codex.u4
u4	306	urn:cite:hmt:u4.153v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 153v	urn:cite:hmt:codex.u4
u4	336	urn:cite:hmt:u4.168v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 168v	urn:cite:hmt:codex.u4
u4	18	urn:cite:hmt:u4.9v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 9v	urn:cite:hmt:codex.u4
u4	280	urn:cite:hmt:u4.140v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 140v	urn:cite:hmt:codex.u4
u4	289	urn:cite:hmt:u4.145r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 145r	urn:cite:hmt:codex.u4
u4	292	urn:cite:hmt:u4.146v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 146v	urn:cite:hmt:codex.u4
u4	232	urn:cite:hmt:u4.116v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 116v	urn:cite:hmt:codex.u4
u4	130	urn:cite:hmt:u4.65v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 65v	urn:cite:hmt:codex.u4
u4	22	urn:cite:hmt:u4.11v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 11v	urn:cite:hmt:codex.u4
u4	36	urn:cite:hmt:u4.18v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 18v	urn:cite:hmt:codex.u4
u4	124	urn:cite:hmt:u4.62v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 62v	urn:cite:hmt:codex.u4
u4	117	urn:cite:hmt:u4.59r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 59r	urn:cite:hmt:codex.u4
u4	252	urn:cite:hmt:u4.126v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 126v	urn:cite:hmt:codex.u4
u4	192	urn:cite:hmt:u4.96v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 96v	urn:cite:hmt:codex.u4
u4	344	urn:cite:hmt:u4.172v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 172v	urn:cite:hmt:codex.u4
u4	249	urn:cite:hmt:u4.125r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 125r	urn:cite:hmt:codex.u4
u4	266	urn:cite:hmt:u4.133v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 133v	urn:cite:hmt:codex.u4
u4	334	urn:cite:hmt:u4.167v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 167v	urn:cite:hmt:codex.u4
u4	263	urn:cite:hmt:u4.132r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 132r	urn:cite:hmt:codex.u4
u4	86	urn:cite:hmt:u4.43v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 43v	urn:cite:hmt:codex.u4
u4	27	urn:cite:hmt:u4.14r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 14r	urn:cite:hmt:codex.u4
u4	329	urn:cite:hmt:u4.165r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 165r	urn:cite:hmt:codex.u4
u4	315	urn:cite:hmt:u4.158r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 158r	urn:cite:hmt:codex.u4
u4	236	urn:cite:hmt:u4.118v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 118v	urn:cite:hmt:codex.u4
u4	274	urn:cite:hmt:u4.137v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 137v	urn:cite:hmt:codex.u4
u4	238	urn:cite:hmt:u4.119v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 119v	urn:cite:hmt:codex.u4
u4	300	urn:cite:hmt:u4.150v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 150v	urn:cite:hmt:codex.u4
u4	273	urn:cite:hmt:u4.137r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 137r	urn:cite:hmt:codex.u4
u4	121	urn:cite:hmt:u4.61r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 61r	urn:cite:hmt:codex.u4
u4	229	urn:cite:hmt:u4.115r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 115r	urn:cite:hmt:codex.u4
u4	52	urn:cite:hmt:u4.26v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 26v	urn:cite:hmt:codex.u4
u4	39	urn:cite:hmt:u4.20r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 20r	urn:cite:hmt:codex.u4
u4	201	urn:cite:hmt:u4.101r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 101r	urn:cite:hmt:codex.u4
u4	216	urn:cite:hmt:u4.108v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 108v	urn:cite:hmt:codex.u4
u4	7	urn:cite:hmt:u4.4r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 4r	urn:cite:hmt:codex.u4
u4	366	urn:cite:hmt:u4.183v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 183v	urn:cite:hmt:codex.u4
u4	34	urn:cite:hmt:u4.17v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 17v	urn:cite:hmt:codex.u4
u4	43	urn:cite:hmt:u4.22r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 22r	urn:cite:hmt:codex.u4
u4	364	urn:cite:hmt:u4.182v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 182v	urn:cite:hmt:codex.u4
u4	357	urn:cite:hmt:u4.179r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 179r	urn:cite:hmt:codex.u4
u4	219	urn:cite:hmt:u4.110r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 110r	urn:cite:hmt:codex.u4
u4	93	urn:cite:hmt:u4.47r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 47r	urn:cite:hmt:codex.u4
u4	59	urn:cite:hmt:u4.30r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 30r	urn:cite:hmt:codex.u4
u4	385	urn:cite:hmt:u4.193r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 193r	urn:cite:hmt:codex.u4
u4	288	urn:cite:hmt:u4.144v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 144v	urn:cite:hmt:codex.u4
u4	185	urn:cite:hmt:u4.93r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 93r	urn:cite:hmt:codex.u4
u4	149	urn:cite:hmt:u4.75r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 75r	urn:cite:hmt:codex.u4
u4	281	urn:cite:hmt:u4.141r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 141r	urn:cite:hmt:codex.u4
u4	206	urn:cite:hmt:u4.103v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 103v	urn:cite:hmt:codex.u4
u4	333	urn:cite:hmt:u4.167r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 167r	urn:cite:hmt:codex.u4
u4	179	urn:cite:hmt:u4.90r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 90r	urn:cite:hmt:codex.u4
u4	64	urn:cite:hmt:u4.32v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 32v	urn:cite:hmt:codex.u4
u4	120	urn:cite:hmt:u4.60v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 60v	urn:cite:hmt:codex.u4
u4	244	urn:cite:hmt:u4.122v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 122v	urn:cite:hmt:codex.u4
u4	173	urn:cite:hmt:u4.87r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 87r	urn:cite:hmt:codex.u4
u4	345	urn:cite:hmt:u4.173r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 173r	urn:cite:hmt:codex.u4
u4	175	urn:cite:hmt:u4.88r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 88r	urn:cite:hmt:codex.u4
u4	181	urn:cite:hmt:u4.91r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 91r	urn:cite:hmt:codex.u4
u4	293	urn:cite:hmt:u4.147r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 147r	urn:cite:hmt:codex.u4
u4	182	urn:cite:hmt:u4.91v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 91v	urn:cite:hmt:codex.u4
u4	150	urn:cite:hmt:u4.75v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 75v	urn:cite:hmt:codex.u4
u4	386	urn:cite:hmt:u4.193v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 193v	urn:cite:hmt:codex.u4
u4	256	urn:cite:hmt:u4.128v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 128v	urn:cite:hmt:codex.u4
u4	358	urn:cite:hmt:u4.179v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 179v	urn:cite:hmt:codex.u4
u4	237	urn:cite:hmt:u4.119r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 119r	urn:cite:hmt:codex.u4
u4	262	urn:cite:hmt:u4.131v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 131v	urn:cite:hmt:codex.u4
u4	348	urn:cite:hmt:u4.174v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 174v	urn:cite:hmt:codex.u4
u4	95	urn:cite:hmt:u4.48r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 48r	urn:cite:hmt:codex.u4
u4	224	urn:cite:hmt:u4.112v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 112v	urn:cite:hmt:codex.u4
u4	284	urn:cite:hmt:u4.142v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 142v	urn:cite:hmt:codex.u4
u4	30	urn:cite:hmt:u4.15v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 15v	urn:cite:hmt:codex.u4
u4	26	urn:cite:hmt:u4.13v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 13v	urn:cite:hmt:codex.u4
u4	341	urn:cite:hmt:u4.171r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 171r	urn:cite:hmt:codex.u4
u4	311	urn:cite:hmt:u4.156r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 156r	urn:cite:hmt:codex.u4
u4	198	urn:cite:hmt:u4.99v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 99v	urn:cite:hmt:codex.u4
u4	375	urn:cite:hmt:u4.188r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 188r	urn:cite:hmt:codex.u4
u4	128	urn:cite:hmt:u4.64v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 64v	urn:cite:hmt:codex.u4
u4	5	urn:cite:hmt:u4.3r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 3r	urn:cite:hmt:codex.u4
u4	119	urn:cite:hmt:u4.60r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 60r	urn:cite:hmt:codex.u4
u4	374	urn:cite:hmt:u4.187v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 187v	urn:cite:hmt:codex.u4
u4	164	urn:cite:hmt:u4.82v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 82v	urn:cite:hmt:codex.u4
u4	178	urn:cite:hmt:u4.89v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 89v	urn:cite:hmt:codex.u4
