Siglum	Sequence	URN	RV	Label	CodexURN
msA	44	urn:cite:hmt:msA.22v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 22v	urn:cite:hmt:codex.msA
msA	45	urn:cite:hmt:msA.23r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 23r	urn:cite:hmt:codex.msA
msA	46	urn:cite:hmt:msA.23v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 23v	urn:cite:hmt:codex.msA
msA	47	urn:cite:hmt:msA.24r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 24r	urn:cite:hmt:codex.msA
msA	48	urn:cite:hmt:msA.24v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 24v	urn:cite:hmt:codex.msA
msA	49	urn:cite:hmt:msA.25r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 25r	urn:cite:hmt:codex.msA
msA	50	urn:cite:hmt:msA.25v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 25v	urn:cite:hmt:codex.msA
msA	51	urn:cite:hmt:msA.26r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 26r	urn:cite:hmt:codex.msA
msA	52	urn:cite:hmt:msA.26v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 26v	urn:cite:hmt:codex.msA
msA	53	urn:cite:hmt:msA.27r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 27r	urn:cite:hmt:codex.msA
msA	54	urn:cite:hmt:msA.27v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 27v	urn:cite:hmt:codex.msA
msA	55	urn:cite:hmt:msA.28r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 28r	urn:cite:hmt:codex.msA
msA	56	urn:cite:hmt:msA.28v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 28v	urn:cite:hmt:codex.msA
msA	57	urn:cite:hmt:msA.29r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 29r	urn:cite:hmt:codex.msA
msA	58	urn:cite:hmt:msA.29v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 29v	urn:cite:hmt:codex.msA
msA	59	urn:cite:hmt:msA.30r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 30r	urn:cite:hmt:codex.msA
msA	60	urn:cite:hmt:msA.30v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 30v	urn:cite:hmt:codex.msA
msA	61	urn:cite:hmt:msA.31r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 31r	urn:cite:hmt:codex.msA
msA	62	urn:cite:hmt:msA.31v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 31v	urn:cite:hmt:codex.msA
msA	63	urn:cite:hmt:msA.32r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 32r	urn:cite:hmt:codex.msA
msA	64	urn:cite:hmt:msA.32v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 32v	urn:cite:hmt:codex.msA
msA	65	urn:cite:hmt:msA.33r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 33r	urn:cite:hmt:codex.msA
msA	66	urn:cite:hmt:msA.33v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 33v	urn:cite:hmt:codex.msA
msA	67	urn:cite:hmt:msA.34r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 34r	urn:cite:hmt:codex.msA
msA	68	urn:cite:hmt:msA.34v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 34v	urn:cite:hmt:codex.msA
msA	69	urn:cite:hmt:msA.35r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 35r	urn:cite:hmt:codex.msA
msA	70	urn:cite:hmt:msA.35v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 35v	urn:cite:hmt:codex.msA
msA	71	urn:cite:hmt:msA.36r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 36r	urn:cite:hmt:codex.msA
msA	72	urn:cite:hmt:msA.36v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 36v	urn:cite:hmt:codex.msA
msA	73	urn:cite:hmt:msA.37r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 37r	urn:cite:hmt:codex.msA
msA	74	urn:cite:hmt:msA.37v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 37v	urn:cite:hmt:codex.msA
msA	75	urn:cite:hmt:msA.38r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 38r	urn:cite:hmt:codex.msA
msA	76	urn:cite:hmt:msA.38v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 38v	urn:cite:hmt:codex.msA
msA	77	urn:cite:hmt:msA.39r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 39r	urn:cite:hmt:codex.msA
msA	78	urn:cite:hmt:msA.39v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 39v	urn:cite:hmt:codex.msA
msA	79	urn:cite:hmt:msA.40r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 40r	urn:cite:hmt:codex.msA
msA	80	urn:cite:hmt:msA.40v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 40v	urn:cite:hmt:codex.msA
msA	81	urn:cite:hmt:msA.41r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 41r	urn:cite:hmt:codex.msA
msA	82	urn:cite:hmt:msA.41v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 41v	urn:cite:hmt:codex.msA
msA	83	urn:cite:hmt:msA.42r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 42r	urn:cite:hmt:codex.msA
msA	84	urn:cite:hmt:msA.42v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 42v	urn:cite:hmt:codex.msA
msA	85	urn:cite:hmt:msA.43r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 43r	urn:cite:hmt:codex.msA
msA	86	urn:cite:hmt:msA.43v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 43v	urn:cite:hmt:codex.msA
msA	87	urn:cite:hmt:msA.44r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 44r	urn:cite:hmt:codex.msA
msA	88	urn:cite:hmt:msA.44v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 44v	urn:cite:hmt:codex.msA
msA	89	urn:cite:hmt:msA.45r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 45r	urn:cite:hmt:codex.msA
msA	90	urn:cite:hmt:msA.45v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 45v	urn:cite:hmt:codex.msA
msA	91	urn:cite:hmt:msA.46r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 46r	urn:cite:hmt:codex.msA
msA	92	urn:cite:hmt:msA.46v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 46v	urn:cite:hmt:codex.msA
msA	93	urn:cite:hmt:msA.47r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 47r	urn:cite:hmt:codex.msA
msA	94	urn:cite:hmt:msA.47v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 47v	urn:cite:hmt:codex.msA
msA	95	urn:cite:hmt:msA.48r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 48r	urn:cite:hmt:codex.msA
msA	96	urn:cite:hmt:msA.48v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 48v	urn:cite:hmt:codex.msA
msA	97	urn:cite:hmt:msA.49r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 49r	urn:cite:hmt:codex.msA
msA	98	urn:cite:hmt:msA.49v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 49v	urn:cite:hmt:codex.msA
msA	99	urn:cite:hmt:msA.50r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 50r	urn:cite:hmt:codex.msA
msA	100	urn:cite:hmt:msA.50v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 50v	urn:cite:hmt:codex.msA
msA	101	urn:cite:hmt:msA.51r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 51r	urn:cite:hmt:codex.msA
msA	102	urn:cite:hmt:msA.51v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 51v	urn:cite:hmt:codex.msA
msA	103	urn:cite:hmt:msA.52r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 52r	urn:cite:hmt:codex.msA
msA	104	urn:cite:hmt:msA.52v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 52v	urn:cite:hmt:codex.msA
msA	105	urn:cite:hmt:msA.53r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 53r	urn:cite:hmt:codex.msA
msA	106	urn:cite:hmt:msA.53v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 53v	urn:cite:hmt:codex.msA
msA	107	urn:cite:hmt:msA.54r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 54r	urn:cite:hmt:codex.msA
msA	108	urn:cite:hmt:msA.54v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 54v	urn:cite:hmt:codex.msA
