Sequence,PageUrn,RV,Label
-1,urn:cite:hmt:u4.flyleaf1r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), flyleaf 1, recto"
0,urn:cite:hmt:u4.flyleaf2r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), flyleaf 2, recto"
1,urn:cite:hmt:u4.1r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 1, recto"
2,urn:cite:hmt:u4.1v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 1, verso"
3,urn:cite:hmt:u4.2r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 2, recto"
4,urn:cite:hmt:u4.2v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 2, verso"
5,urn:cite:hmt:u4.3r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 3, recto"
6,urn:cite:hmt:u4.3v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 3, verso"
7,urn:cite:hmt:u4.4r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 4, recto"
8,urn:cite:hmt:u4.4v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 4, verso"
9,urn:cite:hmt:u4.5r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 5, recto"
10,urn:cite:hmt:u4.5v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 5, verso"
11,urn:cite:hmt:u4.6r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 6, recto"
12,urn:cite:hmt:u4.6v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 6, verso"
13,urn:cite:hmt:u4.7r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 7, recto"
14,urn:cite:hmt:u4.7v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 7, verso"
15,urn:cite:hmt:u4.8r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 8, recto"
16,urn:cite:hmt:u4.8v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 8, verso"
17,urn:cite:hmt:u4.9r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 9, recto"
18,urn:cite:hmt:u4.9v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 9, verso"
19,urn:cite:hmt:u4.10r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 10, recto"
20,urn:cite:hmt:u4.10v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 10, verso"
21,urn:cite:hmt:u4.11r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 11, recto"
22,urn:cite:hmt:u4.11v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 11, verso"
23,urn:cite:hmt:u4.12r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 12, recto"
24,urn:cite:hmt:u4.12v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 12, verso"
25,urn:cite:hmt:u4.13r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 13, recto"
26,urn:cite:hmt:u4.13v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 13, verso"
27,urn:cite:hmt:u4.14r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 14, recto"
28,urn:cite:hmt:u4.14v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 14, verso"
29,urn:cite:hmt:u4.15r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 15, recto"
30,urn:cite:hmt:u4.15v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 15, verso"
31,urn:cite:hmt:u4.16r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 16, recto"
32,urn:cite:hmt:u4.16v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 16, verso"
33,urn:cite:hmt:u4.17r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 17, recto"
34,urn:cite:hmt:u4.17v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 17, verso"
35,urn:cite:hmt:u4.18r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 18, recto"
36,urn:cite:hmt:u4.18v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 18, verso"
37,urn:cite:hmt:u4.19r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 19, recto"
38,urn:cite:hmt:u4.19v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 19, verso"
39,urn:cite:hmt:u4.20r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 20, recto"
40,urn:cite:hmt:u4.20v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 20, verso"
41,urn:cite:hmt:u4.21r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 21, recto"
42,urn:cite:hmt:u4.21v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 21, verso"
43,urn:cite:hmt:u4.22r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 22, recto"
44,urn:cite:hmt:u4.22v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 22, verso"
45,urn:cite:hmt:u4.23r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 23, recto"
46,urn:cite:hmt:u4.23v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 23, verso"
47,urn:cite:hmt:u4.24r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 24, recto"
48,urn:cite:hmt:u4.24v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 24, verso"
49,urn:cite:hmt:u4.25r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 25, recto"
50,urn:cite:hmt:u4.25v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 25, verso"
51,urn:cite:hmt:u4.26r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 26, recto"
52,urn:cite:hmt:u4.26v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 26, verso"
53,urn:cite:hmt:u4.27r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 27, recto"
54,urn:cite:hmt:u4.27v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 27, verso"
55,urn:cite:hmt:u4.28r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 28, recto"
56,urn:cite:hmt:u4.28v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 28, verso"
57,urn:cite:hmt:u4.29r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 29, recto"
58,urn:cite:hmt:u4.29v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 29, verso"
59,urn:cite:hmt:u4.30r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 30, recto"
60,urn:cite:hmt:u4.30v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 30, verso"
61,urn:cite:hmt:u4.31r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 31, recto"
62,urn:cite:hmt:u4.31v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 31, verso"
63,urn:cite:hmt:u4.32r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 32, recto"
64,urn:cite:hmt:u4.32v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 32, verso"
65,urn:cite:hmt:u4.33r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 33, recto"
66,urn:cite:hmt:u4.33v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 33, verso"
67,urn:cite:hmt:u4.34r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 34, recto"
68,urn:cite:hmt:u4.34v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 34, verso"
69,urn:cite:hmt:u4.35r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 35, recto"
70,urn:cite:hmt:u4.35v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 35, verso"
71,urn:cite:hmt:u4.36r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 36, recto"
72,urn:cite:hmt:u4.36v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 36, verso"
73,urn:cite:hmt:u4.37r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 37, recto"
74,urn:cite:hmt:u4.37v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 37, verso"
75,urn:cite:hmt:u4.38r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 38, recto"
76,urn:cite:hmt:u4.38v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 38, verso"
77,urn:cite:hmt:u4.39r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 39, recto"
78,urn:cite:hmt:u4.39v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 39, verso"
79,urn:cite:hmt:u4.40r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 40, recto"
80,urn:cite:hmt:u4.40v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 40, verso"
81,urn:cite:hmt:u4.41r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 41, recto"
82,urn:cite:hmt:u4.41v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 41, verso"
83,urn:cite:hmt:u4.42r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 42, recto"
84,urn:cite:hmt:u4.42v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 42, verso"
85,urn:cite:hmt:u4.43r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 43, recto"
86,urn:cite:hmt:u4.43v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 43, verso"
87,urn:cite:hmt:u4.44r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 44, recto"
88,urn:cite:hmt:u4.44v.v1,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 44, verso"
89,urn:cite:hmt:u4.45r.v1,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 45, recto"
